,title,price,link_item,discount,sales,category,revenue
0,"This Girl Rules the World, mã G129. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",188000,https://tka.tiki.vn/pixel/pixel?data=eFJFPapXDi4myg_Dpob8i2grIwNCItPJ2-t6Pu05YYg0qcjIIK5DG6Ozi-JyBiSsHKMJJCKe8UW0efvnjw3-8wFIlCIcUq_9qSiOMVftPDTKoDMInmobYCYzrtD-GceeJtr7AkPxi30d4VvDzSjkYm61ZVUhb6JEE3S4D2dWZMD5koylrUNEqPIpDV5wAkzDjUgAouENOGt5eYgWXOEoKWVjbZIaoLNSkuKjUfxHXHsYyOKk_mSEC68z_aCW512klezEX7Qal109PteqDC-pcuLmzp8mB81wemWnRcNK7Jyr0mdo-fPz_LDE5JuuLBPXRzpiToKWogCUU1h9JVgDHhvn168UpHLTITYUL3In8PL9SbLZPS24KU5zt2wYRTJ6oI5xHpsxH9mqg06c5FYSvETKTm3IK5YSI4jBXqwh2lmNmiRZ6GH_PPlpjMQ_YRIwiJmVph8OmhYnhA7uAQHsafOwyAHju9PNXFt0KtHGdge5whjElKj08_iXbeIYECGOOH6Y7MepejKHEwB6eFGRR8BA64YE-DH0IC9FCmGI4kFu-XTAa6roR3zfZZ9-tgnJUw7T-AzvxU23rsSYl9e0nLEe0wL-QUbFZHA4BC0rai6QGMsh5SnbapMXFZ3TtuOEW30wbz1_FFXPSGEm42VCsPTKLwhU37G3-K6iQMNE74DEwcDl2XtdrL0_rDiHjkCoLwOdVXVnhz7EsUrHmY4WikkhFG-BkeazSp6vWzSPD219IzPoXXsDBnVtN283YzWuQOzJmXTXV6wJQXOq16Znqwig6ahMdB7jUyK7Sd5bzhlw8IbMw-Qo_bRUEIDdEFaX9EXGp3bTtkmDmoBgviWethO0h7cCe1hlyxmHgv5AxVTkw_6NyLyvVfC4K9RFIpVHmBtcQttnR2mze9iSFXGuxCMPKMg6GgD9b0-SEe-oosk_3oDDBwPYvHU-7D8ZIFJfXYm1nsfQfRy9GY8sB40mp_bwVbR1bKqmgEoCCcaKc_6RX9VjMX-mJZyYAJmYXoAfKOgRQZ8hq04J7S0cDR-WdgPJAHtvZeiY41LejS5A2ytnCuLXIuSGA3QBYjnJkvpda9Ke22Zv1An4srU96nBBcSNpCqP_pmhwkBp0efpk6d-md5Vic238AvIkoTQnU2WIOmHMMfeSFfoBrF7rR5SptKaH1sUZO8EAhptB8W8EGUa-jbYKNv2dpTe6ibi2K0Ek5C0-kfMb6RsHZ51fyGzwOcT3NmxhjMILx8xUPhO4DzCzf6xpFKcPu_YlCpWBCq55RfZ1OGIE3dJKiD8KqgQ1NbpT0BhHulfQL_Fbjrgn_K6FLlgXc6Xo01n6xjHBO7D9YK1UhrVqlxSlBWuT9XfpgQd5zRpP&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=1,-6%,7.0,aonu,1316000.0
1,"BREAK THE RULES, mã G45. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",69000,https://tka.tiki.vn/pixel/pixel?data=sxbj-YjChX2oRsXOikkpI2OuOL5tKqyJvv1QkN6ScweQA3-7i3Yf6wxLQWvp2PqXTwHJDTLRrMjaB78nd8ZSQXItX5YAWDMsBSftdT4Mba-l21tAzEnsrWrdvTN6c7oGxbBjdouflpCjALIGDM7y0v72p0CANOW_80h2r4DM_HENECl8tDMGNSjCrM4RX00YUXVtZWE_3Tsd5ByibprE4LuQYIMMNNr1appN0iplkpZO4AqcxqNOYROHUthIgavgk7Pm54yYiE2J5NiruJzqpAcTn6kTJNVQIy02EnPL3x2kzLXvAnYDsUj4cdFEkLRmIfAm97zmFoFgSlznluqT768iJSkzOF5qHOxSbs82sUtMnGb-mgSuXwqAuD79PqU3pX0_cwdI8uHfkeQhBikrLWdbbuAuBjjgaXX57_yBZYPI4RxVYKkwz6QF6VN8PoyKAWnXPMK3C3IBv1FoAp3Fu_ikd70NXo3pWUYhUhFn8f-IxVhZIIn1yMhBKc5pQs6GfM1CbV7FqFzrFzI40R66SPHbjMy4GMK4G_B0arApOAGLFmYFkK3prWmn1y4DkCZU47_sY4LHFKvqw6SxpSaf2HPhUK9cfT2oTa0ZVly2T7VZGikKfgI7hIV6gpt8gDQJuhzwe3IGpvrdTcGsRm8lv8nzknrtOx-a07fi0v6eGhBAhifLioIT_sGQzFEEjLq71O2a7vNVmkDFp-vJUcUS8gCcLXBi6YXbQV2WP6ceK8d2VaAdPAMpruxlYmmOK1-EMwrfpmWmKvdYxlKNUXzux2EYC4JirlnCx29mqFgDOrEjB8nmss5er-kWMxaWqHTZWQMdJljJOMgwNOVl9HqTVQ7qliOHPkZMCRJLV6JZc8BMFkzCg9d9mEfjmpWd7xQTjRusJ1HiJE2rXx5NZgBL3WZRwzU7TwVkU_nzJsK7tjywOMq1YYFIlbmrO1DEKHzedTm0b0aR3W7aqYtsSwIBQZ6lSTmOdWCGcMT9HTU47HJHm_L57yMab2RGP7XxnZmdbYLKnaD9X1Pu6sba6kdp62szxEfFW8zzyICRxS6fi9-RYIePXnry0H5dcFKffPXaXJm4FFoklydDuzTr3CjtERYdFVLXp2lXtEF6Si2J8UeQj_FOVxqmSIxIVbTQBz5tY3emZ5QT9tzteIQm88oTlg0Ql_QhGfRcpg4h0rXwrA0EjJMasLxbvJgj73wbVMlPqZzC9BLajvT6_54k3dXoEbkxh_iCFDVn0LD1YslZF64BT4YFaGKHlZeMQFS7wGEaZY9B3lbE1qFiCx7qPSh8gktYOjbyQdF-VkwoVnaGpfstw4QKy_TKKQw&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=4,-71%,11.0,aonu,759000.0
2,"BELIEVE IN YOURSELF, mã G32. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",119000,https://tka.tiki.vn/pixel/pixel?data=LRXe28O1GFwtFguVgpC6l-jj5-Zp8JqHq33YzSuhb_Byr3Q5mTpGZDjLWprLROL4t_EUICjJVBYWA5WzET4y3QwYfPppftnA4Oqffhr_1okwbspTGmoLFG0ByRGu3Lraa1_FCx-kyCXNEEXHNKW4p5vJY6T40B97D3LOongjJFEfIGtvvJAesXBEAC-lNXQVIvhiMRN9PjXewTo91jD981KZJgyUJaP0Qm-xIGWuDg6RuWGiKkVcq-Re1X2L1_1tFMYRGjIaMfLLgJ2L0c2q_DIPTpUjXbwznh6F_xrVwplnPwHAfvBmufm39tHZX_amXkfyJ12pYQT1fzzfGAUZKblS-YXaZFxiHK_37xvX-aHmlxe-t8BwKaYc_8t92cIecc7n0yZM5bgDj-8VWAHPDnhfUXn7k23w7euJKHru86T5GvFLY1EVCuiwCO_RrsJCWpi1R154YOxA3Fvg8aj_KW8IDk0O-iYUzOaPHe1JULl3wNTHbuiu1ypCupX7rc3toUNP-sS3vtOdDZus30BYDzx2DzXu5qh-fuFmh6gfo_B-uW3TSRJUn2jI-RpLhwvMiFfT6DKRfdFIdjM6GmLOwC28Ngth1TGrK_rjQ-jiD9_-v6eN0gMAzaSo7T-78L0DbMqr2hw7C0jn7UOHKi8YVgT18u--6fUX5aJYHf9XtLAYP3PVgDcKaJ3GezeWb23eqfY5oHq8CC6Ah-cX021CpfAB3c8-sbL_5UPFF0jH8omSmR6ZZzZmy2mgzaC1JwD5rDdTjJYOmdZqTvoVTOgIwKGf-9BDcGt0F9JQco-S-VoiOcAuzgLRMJBcUlvDYT3dR5Kq-bmuoTymZ_VFY8POcL9X4xJwYUE_O304p5N5jsBp4h11UHRDV44E5cAYf5pyBIUth1kl_KzGrP8bdoCyP-xWgGqRAjcbglLCWnBiVVU11ioysrPWPS3MSaM0gPnAjAPkSO9r9jvsO6JHtZ3SXqGWq79-1EaI5dL_ekBGj34ke_m2l12QSwELbGTq1l57R12iWfi0f_xjFwUgTVIhSmgylamMDxkffC_pnKnqjhH3eJbxxjDev_n4oaQ6FXmlAGuMtlsz7YxMBRKkJliv-CsTB_vcxHGli2KM5qMWGXzbuazEqCcS6ib3V5-p0ureKF-YmRnh-KvxZMQgm6CflNcnz31HBtsMx2erobqSbrja-3LDV6UKQ8ZQQbl11bI1yq48iy4Od9tepQ0atUwB6TbJztR3yH5sQrb7goJ_k_4psCXoqREGNCAD1q8IUVndjSXubI06_F7Qz_fCPWjsFOezzGhQgnnk6OSrqNYbYQPDfj7-qdzgQUK7SCIjq_z8sg&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=5,-31%,13.0,aonu,1547000.0
3,Áo len nữ cổ tròn ngắn tay hiện đại trẻ trung len dệt kim mềm mịn co giãn dán mã VAA0316,139000,https://tiki.vn/ao-len-nu-co-tron-ngan-tay-hien-dai-tre-trung-len-det-kim-mem-min-co-gian-dan-ma-vaa0316-p196378693.html?spid=196378726,-37%,60.0,aonu,8340000.0
4,Áo len nữ cao cổ dài tay len dệt kim Quảng Châu mềm mịn co giãn mã VAA0348,159000,https://tiki.vn/ao-len-nu-cao-co-dai-tay-len-det-kim-quang-chau-mem-min-co-gian-ma-vaa0348-p204985388.html?spid=204985408,-18%,24.0,aonu,3816000.0
5,Áo thun nữ MXM cổ tròn form ôm body thun 4 chiều cực tôn dáng thêu chữ ( ANU012 ),87000,https://tiki.vn/ao-thun-nu-co-tron-form-om-body-thun-4-chieu-cuc-ton-dang-theu-chu-anu0012-p273249491.html?spid=55099670,-38%,176.0,aonu,15312000.0
6,Áo thun tay lỡ form rộng - phông nam nữ cotton oversize - T shirt ONE - 2N Unisex,125000,https://tiki.vn/ao-thun-tay-lo-form-rong-phong-nam-nu-cotton-oversize-t-shirt-one-2n-unisex-p217176777.html?spid=217176792,-49%,154.0,aonu,19250000.0
7,Áo Thun Ba Lỗ Nữ Trơn Sát Nách Thun Cotton 4 Chiều SN102 SALLY BOUTIQUE,19000,https://tiki.vn/ao-thun-ba-lo-nu-tron-sat-nach-thun-cotton-4-chieu-sally-sn102-p197743064.html?spid=271433901,-14%,99.0,aonu,1881000.0
8,"Tình yêu, mã G86. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",119000,https://tka.tiki.vn/pixel/pixel?data=WwWobgx25ZywrEE_u9wow2S2mpmPH8y7-Jdo2E9woroXQ3tLz9FWtPOYALnnInqB6d5w2r_nhgfdLv-0Pw7KJpY5yT1G8yhzKEPWw8lOIE-QSgEXywN-ZLDpHFuHj9p-wdm_b7nwnSrjiHmmuNhVo9nkhoPwki8_I0p26pNsTi5SCMp6w05PXmNST9FptQASnyAwoM0TiB6OLXUDn3EI1Td0kwTb0a2FjvxFElOhfXkYmIDUWULHnWf1dZxQqTOqV68ZO3jZwjT0IWxad1RiFHC4Jw5e7DcSLguVv_me95Lz9dwdPOu1qj02YPAdPUMM8aScFkpka7sZAb_DZ1NB2RA5DN8xeNn5xHAxCjGmiqgK-3iQI5ysQU7w2IrxQ743ZoHcqHyiteGja9e9kGOQDXWBHCXfqrW7a_eqnwLHxDOe1vJjN5yYpv1jT_XOczC9Wm1eWgYOk15kLQl5uZznC8d6iskPRBOHU6MFQQeDfTsBM4FgyDahrynxG5b7bN2r7PukCYTZ57O1cC25th0VuP6grWo781JyPQ9X59JBQuoNt3qnsCa8U8yNsW0-ENiDdn5cXxrdDpRC6urY2Wc5PR5cGjjTyBXuYX27shOFtus-8O4Spl6OY170W9XAmuVO7kxuTw6OOBsoor9WZ8ScjzFSHX5aLCXbmUbiiP0nsmlwpXWzuOY2yVnw2izFYQP_LAxuxRU0LY-XrA1rxF-9EO5VhJoJzIEmNJFcHd18lsAVCXgejlxa-BA64JpQau3A7kxGudOoaFiyy0mBEl4vxuFtUYhYmDDwUe6A9Dn2eqNvHlhPQosgEq8fc4wvq6dVnmtg3hJ43p7mDFoJFzX-LHGDHuyO0p6K5EK5QclnBhIL90kGPYn9oVYuC3IcgdRJkaK5cSiheA0mS8jsqWwQX_7fxVkmfiktCft2DjekjdDPWlHkW1FYA2iOXe7dlUrwPk5pkpme_yJnN8FZk67vdC-tKoEg9ecSNAit7I6oZpcrHYf8c7om-GI-Lrrgw-z9EJIVICNI-yCX3Lgwy4tvvucpUIKdhIdfN5Mvmq0d1vDBlXjM7xF04tvXo2xkwCFS-g3VREIUy7Onn68TsR3lX055adX-e7YplvRM9tIiaNsjPbWgxO6f7n3SQpj45ujuAhcuo6HUjDrn-rLHqxs9tO5HvvQe_4zFUqvKr9i9-xBTTEzo7pDBW1rwnhOmiN3OCBBucWifR6ZFCFOfyqv2F8wTjdNmpzDU4P2XY0TNPeFxOKMDwKIubqHS0UEZbSzlMqhHBfoibEzM_oz3puKwVFUvqcDsuOMKcHrF0aU4Ime5m80Gj2lyRURA&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=11,-50%,19.0,aonu,2261000.0
9,"Dù ai hối tới hối lui, ế thêm năm nữa vẫn vui như thường. Mã: LV9. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",168000,https://tka.tiki.vn/pixel/pixel?data=RwT1ajGXtP7WZr8SZkfOzELcbMRMuGPmPtnnWejqnb7yyNDmVKRy4Y0EAW9EVHIw_p_1o2-bfi_yyqtC_NbOgeFnn9-vfwTJSEZgny2aCG8HJnYNCQTfSRKQOzJ3_D_F_ppoxbJHYklUMb3AyoVEnm8J5VVeChZwKJEeS1leaUQ9p8yI0xiquwPjSJGWKDr5dMTb-182a03Wkg_j43Es4RQ27FBYPrLuClYyjZ9InWxwJ6mJDo1lllAcbDoVthkIaMkP1qjPwlKs9zg0aCci1l7cc77Dp6OivJRTGIK8mkTLMtSg-AuDO5rm7qmd-WbaaZfibmPTEzWY153nOfGfszUK46LkXznOnBh-Yknywli2mUgOvsHDSEC17wN2ARf7hovixzMuJIKz-IK1frjs6gy2Lm5h7Uydm1PRbY0O4omUjdqPp3ySH2Y6-PTqc1a7ZuCXSt-ooYcZzSVofazEGeNn0rpqhyHZZIxQ7zxCJc_PbuaY49QOM_5BOvfCPAP-Ezxy6gpoV5cggNdKuZ8HifN0HXlf9s_-h0TSQ-d7vem_crBeHaKTXWjy6jgbQGkWeRkLHPUi3FMKb7wqf-iiHyI5hw-Ik7FgO-R7ADL8YMLrJUHFkTMwe_CZluulDCtcvOU50PRYPn9mXuFOgkoR3TiEiC4rO06AeiS9jZRe8dveztE-7WBna3nZZDtQ7-ONRV0zF5oEHSNK00lVjjjhwvCUq2zJ2ESlebJZ6CpXCdfrgvIgzWppc2z7vbLp9z9Oe96NBNTRcLxlwiIBYLYnwTzEIhqovC5L5cKFeNaZJiiTg4wxZxZRMMKPWtGSRG4xz44ohWgCgPSsld0ncq_4aIUXh1VSjyYUPtKQ_YhaYzd4nKIJI69q9smZks9a5lpyS93SUliBEDWaiY5HcFEMnWVkNxuWFb6P-m9YEH0lClVPhUCLhxr09QAEuQ2Svr_bFew1RsoqY4d7q7LGjgu-vXw8-cxTPlS2U1VbwuzM0ZBsQtk8DdHd3uoEqFS97ue3xzPBCAL_850QkOiIBa3upGYQwKsSHqXR_kLhClgiUfqz5A9fuod8wQ3CKVvWWfQ_u0iBdc-eaA3pwO6mBPxycTD7bmi8048hG3mDsj1MoemfeN1vcrYJwAmk1qaYdj-nGe-2rAnvr84H5l2EaU5GjFhuW99R26Ef-BWtmAvfVb7lhnrONAH3JvzTXjBgzmfxrfipy435ZYDVvz1F2_oQbQp5la-12morRlm7DppaNbzPW4cvrYRbzTaHN1Rom9wToIw4al7g6qf7CDNPCd-tOPaf1GRQXE-8bXwB1LXaqKd5og&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=14,,3.0,aonu,504000.0
