,title,price,link_item,discount,sales,category,revenue
0,Sữa Bột Dành Cho Mẹ Bầu Anmum Materna Hương Vanilla 800g,439000,https://tka.tiki.vn/pixel/pixel?data=ZJ10GTV9zawDEmxs6H1WphLAsUlFmlxQ5otjsvFmZi5Jt6n2I105drcyY2t4gAF0tPbKHYbowhi1ebNxMeie9svV4bmltYvfkWhYl7CAw1I3RN0-DrfQrHTr9LTlhj8qAAnO0JmwZzbE-RdSL59LsGSHM8un7vnFtLrPcUd6bbmpSG1ONBDryxtl3sUmW_mzIP_V8npf4FBRldu2wWj09Zy6boQiPD4AhZDGIsziaemRwXyyDgzOwDr4NSYtmwwSkeYRogtN1zPp_uorQ7SpuxXlP4vNh3avT3UIwSiZECxjCeTvQt3GLhyRRcrarkV700hx0XjGiIoSy8lYQn5sdFKfyALHuLkOCb-8EueB_ysSfA3oKAqBwOduqaFlJcBM7qCUNKjFr24y947WNvdtyHVDENImVO4x9-WQSvFVWPVwHTokHL2G2a7HQ4AFKjS1ryWGPU7bSZtqePF_PASmTc-JkhDVG3C9Brb4GHSe987V98fqXTBw1Tdkamuh4kZ-QMaMJC5AEctzSwj-GPCg8z1PX7EcM8NIx3LmTzxRxDYXxe0tbOGZJPhTxG-rbFPr7kJuMLa6fKy_AItAlWmFRW6Ets7WnjdK20h2qpK6sjGo3zFerSpaLnmheNIsHXKUi3qeJl_OUsYdOPP9iVeaqYZF4LOFXN4zu1dbMIB_Zc4ZumX8RDesba8nWFWJmGpyBQaKbg6eWbzbIzfVZwuf2NLlxvwHttTWEPmE01E_7CGsUwmgK_OLMg86PjWwlmYUBOGPWn6S3_uqCCSUFXtVHUP3iHYNk9oiuM_DI_ZybE1vkC8Ngu48RUpWIYg5INbcqndHgBQORWxvbrnT8TiTc4xo57r2LLTnX3IbQ43GbOFPWamlX6JuLEdHzXxEtsXpDXNglrRkgTV_QN_QHu_gcg0ZKS70ZVqoWOssVPuRsgRZMT46AQscfv8aX86cYquTNhAENaM03ONC1YZQbR90me5UXXFEaQxJbJvV1qPiwV9yr2TIlqnT23lM3X_cnLFEfJbKK5UbZId0uF04EllHrH3a9g&reqid=FNb5QdNnAy6iPhrB&type=CLICK&pos=1,-7%,992.0,dinhduongchome,435488000.0
1,Sữa Bột Dành Cho Mẹ Bầu Anmum Materna Hương Chocolate 800g,435000,https://tka.tiki.vn/pixel/pixel?data=ABueB3jDcy6MudekMy7vTSvdwBklb82w9Jv2BM5GfUnCGAOHuVRXkZGULL7UxxEQwaE0qi12l4jcBxzJSeS9T7aaLtqvNvgU0WTUl-7KSBKrOvFmLjPC61aCfCdCmtEnvJp_jrLRJ41oFZh22rsb4UitM75Ei9LDbLE1rYb0fwg2mwEgY5x2nf1RiFk38SE8WZaAxW5rUfR3KWTvsta-Kz8tbAVfZ8mhwnPXERuiWHzD6zuV0nTDnKLnxP70ZYSr_qPrfZNycU5xxRXkxZ-efsLIXeKsOTtrkzC0G68SopdsXKAMo9_55huI9GlqvU7-WxuZbf2EK5yssDB7xeiMFAe9gDffSjge-64macfDRRPeqUvhcwvqNjhcPSikisNDVXq-g1CGy2GqZmpBCYpCRg6ad0BwekTYPDlDPtN25t6asoHB-SlH1lKX1actS-nG4qmrb6TJxfHtJzsv5zqkATh7_PUmqUdb9lvXvoNPoE7n8pb4Y8ZAJrcM9GHDAg_Q-BVszl3RSWZzzTQBwFjR7Mvq553OqWQqWC_EPV_Zgq0niqjojIqtulHgP0qrh9Nl57TslluiaTJ8GrczZvskZXozGpvjwk7oUmlHIwM6_cAfsqf4uoWk2HQ8RkLzjoClmjJRmIzIB1FNr9-e7oInzIron3nA4uxA8DU7uz98cedyCgtUD7L3X5v6jOVIomjmyTiWuJ8UiKqyoGIApD9RDA-opACRrnwQFEN8t1ulJnfkaQqAmBfJaRE2X0ce7fwg5qXVR9hyGGUM0WAXbV5wGUCA3u5PRucjxi-yFeXuN4mAvf1IqlfvEKoUuHjbIxUWE0c_qnRqVbD-uC8GfZdao_65OZ7f1c4YURxFoD7KPo0rzBM9BCgSApSCU-1nHRvILaXDVjElhd-tRL6zR3QLSL7IPn0sT7n72Z4z2tCfdW8o7ap4DVPE57lxV3OMapWn6D39TeMYbYDNN90EBhfSf_7ZNkwEBHb_aNECwP1bEdyG1jQWT9RU9AElLm3dhfzolop4aAywMRlOD0_hg0k7UCd5bxbY&reqid=FNb5QdNnAy6iPhrB&type=CLICK&pos=2,-8%,1400.0,dinhduongchome,609000000.0
2,Vitamin bầu Elevit chính hãng Úc mẫu mới,1014000,https://tka.tiki.vn/pixel/pixel?data=7XWlELVcqxDYVLSrIjYGpajqMOTBJiPoqSY6PWI1w7MalVamFKGQiryGj_t91DqlOLW07s_juUhfyPlK8BvdJh0XxSgxvNPuTP_SgYKA9_ZYmN7zn2LttTKsuu6vfNTmG0t2xn6VIzEpM7A-uNV3al1F5VdkLY6hFpgusHKDwTxdBK4XmoBVJwL3Fo0XM3e71zP3vFo9xbxQVWa-D7IY3yBNNb_BfyQ_ggRNNgqeQs8UKizhQenlJEhNF_niBFnSnWSXIiaGPRxnLw4NbB6j-jb4kfnHrm1eTM9JIVqQ1IVyIMpJ5dzvfHKukvke9OpX93Pj6VrBGyn0us6sLslNxWoTlKI5Rzukun26KnfiUKfoHMqQpJtF2MWXmqmpheyjpYpkmQ17p9_6YoBu5wqLMzjcUoCIbOZ84H6uqfdtS6sHXdkt4vpm7ehUNkL8UlUlw7Zmema3BtrvSyK46sTTOerxartnQQ7bMOCv_Hu4-7SYVPh0uvlJhEZAq-CTYs-sfZxrrNXZYHkE_FeGQjI08Ohafb1Lk2HtujlIDq8_kBwF517eZpnCpoy7znZk3-MI7fOMpKUubE4pWLVhmgvHRGq0GMslYPhrQBx-PVDpEeAWq2AqU2tXoe8dyCX0EJN0h8K6bvkGQF32MSs5Nt_k6PP4cm3kdvMZiaqFA8_0J9KXdLf1N05_o-tb2OUiSBgP3TGflmC3918adGh8IRNoHevOpafTTsHKcQp7-KlDrhoMP6bltpLOS8D4LCYXoNLF1Qi4ttkJvUn2tjji5ZPyiF07POTWI-Winyo-civ-1EVxCrLiKAlEA8sS9rMPnN7PzwlpQMS3QAfFcUhoMHXRn16kR30OS8kTyrxSBUlpVVHp8ZYGTCanAgdo9999KPbCCGkFYBVZjN-AVKBOgqB7K4uVjq0i-ca0HrR2BgQKGvBm5UIuGfqwTpisdUVsOYHpF4scDS0JJoPBAsYz__6ElXXdyA4rbrh6Nedco_i1t_w3Qq5Al24-Srdmgb38kTLeviAx-w3g4wzHDmZxAA&reqid=FNb5QdNnAy6iPhrB&type=CLICK&pos=3,-10%,270.0,dinhduongchome,273780000.0
3,Viên sắt cho bà bầu Blackmores Pregnancy Iron 30 viên chính hãng Úc,192000,https://tka.tiki.vn/pixel/pixel?data=9sbI5t0pKwmKuTqJbY6Az7DchXvPR0Ck2DCDAUq0OZ7Va-0n152gJrxP6_VeFwjuT6W5vGkjsW1wdJSBwIlNEupC6A5X3EBQaKwyoKigL8M1OcDXT_Jj2J5BeL7xn8PKE5UtDkFNl1eywP-hzHoejy0HrTQLCuCtUKGMXBiiPSix5-OEV3q_iimeYzUf0lQTycfrTcNGECuJw7LNf0mpwAo18qDfWlUIOBOHMUibPCeWgnx7mqVJRn3UGRS_4vo96zT8yAiEGmqRV2nSCkVJh1GVgJNxPhpYKay_XOYBCP_LUGBQ8QXYtEd8u4xF7-lxdOZeop-I5YSekCsHAjgfPh0OFmMHuNx_7sYoRXXdwkl9A8xju-goTr22NCkBk7q3FsB6zJd7mFmEwIdgRtQr6cGOMwk0WXfvL32Q_QXFIS2K5p40RQN3uKrGI_a2GkRZgKYGZ_q7l6hp2lSR0Yec2uDi9aZFP722ryufSYlqTPOXQ3d4ttLyx_1u298cXv8Pm4IU9EDdAAgs_HsCbf23HuMYGoR4B0QlpgQgo7zzk9qG35xs2QWyEWDa9vV8Nvf8IOy5LeS9JczsFs2FvsGTL31hGPKinwh1BC07O_AGA_MRNpkYKKZhGGOMcSTjb_DMFBnNvHjo4vmJOo5SuKRHFh3jli0OPVeGw_eJkF33COtG-_yMze2XwFEt1k3zODuJA-dFtqEe-k9qqx_9ScJCi9UaldG-Hrg3SQ1619cRfm5yUwENt3-ro3gGBDHtRJSx56jkte8OgoydwBMVVQvBXLTRs4xsmUjxQYu5nOImUTUe-v3kbXTiUdm3w3ichgxr0xvm-L0WCrFq5wntcYqiRrz2QT5bH-hBnBFK1apJKWiFlI6RPvPeGWztfhw0F3pus1cA0F3hMDF8rmFIgJBbVbb1uyJbyYPWu2vSGsX8glfQQQyAWkfQ2npTTqktc2JTQZs2r6L4RKvfL3iQule4O6mK1kiUvU_zTrOXB5Ytw16umLKgF1RCOcAp9RZYMO3EBytdzU09HsW5cpFJH6yJluSveOx75kdUsk90FAR2p3OktO8fsXDnWA&reqid=FNb5QdNnAy6iPhrB&type=CLICK&pos=4,-22%,417.0,dinhduongchome,80064000.0
4,"Trà vằng túi lọc lợi sữa, nhanh lấy lại vóc dáng sau sinh Wonmom 40gr ( 20 Túi/Hộp )",89100,https://tka.tiki.vn/pixel/pixel?data=sgah8be44zZLG2s_bQHjbO0MwgvsJv4mdzocbhLg41h52M2qPFXrEPGn5kHO5W_B5oUI3ZOKun4itMQ27KUZMHVuK_5nWUa4zXPSpajio2aBR1qOXjBYf_-tTeO5rQZ2aabPK0oGvji3eY_Z5EmZDbQkBBk7t8OLy3tral1WwhXqFFX-snf5cDXgmF8c0vaYQTPhRHA9laLbLB6ciwwW3ICrmrG3u8OoYpf6VBBiLhBOk1zUp1S5-znYmNWksORw7AaRUwcsiUDzEggAUZZk1SYSCUTkeJLx-3n4biBYsZmGSJ2nml2VYMmvXNsaiHGPobCX6x_9GE0-ItVAsVlCGznv14KMf8_ZObit9ljGsZHIctswcpn4hufnvjpBceCGfFRkwhmkwYulTfUjp2-SkglEdpeW2zU5N-mGhWDbZA-MVoOH-59ov-kJm4--X-jjotOYJ3yWQwWwgqyu-tyV613CiHKPAxfsHOAjuI4D-Dyw87uZQJEjGEvYk8nm0lv_2HFSpIqURIdCFo-75Zf2eXHAF68JgAOe7HJyhY-mBDId8WCxS9OBHGOSn-_ifgSoaTJyEN50KelF4JtFKzasoRjm85-5678LQ5YNCQ_T9P4DpeDVQKs8E3oBJnUWboXa-FqAlWFNCnMnGiZd6kF9bdIuVXQb8sqQ4Uh2c-RVjR0OFO-zbptY79mW69eJnMjSbG0IJq9sOEr4bwOXFfWY43X6xC_YL1tugPgKVuvRJXRMTRqlJXM27L5o22spsrai4GY8hio3KWcTUnBzwtdC2ENxSx9hcOpJ_kg-TtT0qvkP7t-rgroH3s0Tll8Sd5a1kfaILw1teoQWYifLtDdIKs3MmA8_tf8YtyxxbIDN1Xv0H6h2mH1ogBViHHtg6kOdmld0gF0lTEFbK2emZZDNMABlFgMCF-6mIit1NcLMI2kW5JIVVzt3Cz48JSKe5zTKLyh1IVdPkxA-3f5EQ_vgboiUMVukxdVFkZFbML9eSrAOnPPegkLky435ZJLHqbHoLH1B1xFFQ0zH_QupeoXuGCrq0fpqvNnuHA&reqid=FNb5QdNnAy6iPhrB&type=CLICK&pos=5,-10%,965.0,dinhduongchome,85981500.0
5,Bio Island DHA cho bà bầu chính hãng Úcs,521000,https://tiki.vn/bio-island-dha-cho-ba-bau-chinh-hang-ucs-p56957583.html?spid=56957584,-22%,826.0,dinhduongchome,430346000.0
6,Quà tặng từ Philips Avent- Trà Cốm lợi sữa HiPP cho mẹ sau sinh,50000,https://tiki.vn/qua-tang-tu-philips-avent-tra-com-loi-sua-hipp-cho-me-sau-sinh-p262731118.html?spid=263924932,-22%,74.0,dinhduongchome,3700000.0
7,Túi Ngũ Cốc NAVAN (800G) - Dinh Dưỡng Thiết Yếu Cho Mẹ,189000,https://tiki.vn/tui-ngu-coc-navan-800g-dinh-duong-thiet-yeu-cho-me-p44140382.html?spid=44140383,-22%,2400.0,dinhduongchome,453600000.0
8,Viên sắt cho bà bầu Blackmores Pregnancy Iron 30 viên chính hãng Úc,192000,https://tiki.vn/vien-sat-cho-ba-bau-blackmores-pregnancy-iron-30-vien-chinh-hang-uc-p57804868.html?spid=57804869,-22%,417.0,dinhduongchome,80064000.0
9,Pregnacare Breast-feeding Bổ Sung Vitamin Và Lợi Sữa cho mẹ sau sinh số 1 Anh chính hãng,358000,https://tiki.vn/pregnacare-breast-feeding-bo-sung-vitamin-va-loi-sua-cho-me-sau-sinh-so-1-anh-chinh-hang-p57793181.html?spid=57793182,-5%,267.0,dinhduongchome,95586000.0
