,title,price,link_item,discount,sales,category,revenue
0,Chân Váy Xòe New Design Dáng Midi Dài Qua Gối Duyên dáng,329000,https://tka.tiki.vn/pixel/pixel?data=Yh-1wwjnT5RMzPlkJTAg3GLUe0wOHOV1Dyls7sBxzAGUsmSv1W_Iyhw-WGQeLqjEc-8ztPNOX_3wD3mY436fPM_XmtQEqGODRPllfAk1vcGyJmK9PN2RTvi161QVrzWQdPsmZtOL4foYhV4O3WgNaKrwQtiirZC9lWu9zhhXgAVSKUOBj-QpJ8qhWpcFWTQBwi-Y7_LZRzcLBvo3V0i39iR6-dOmL-A53v7fChSAAv2pfKj5UYXvQXeORIs6dUcRdBK7L3X6x710QZ7-tsRs9ikRTJkLOel7I-7ToagEnPWn8UIOpVCVjUG528RSJaD-ZUkhskxd1K1vxYqgmwKrikYtmgZKNkgktzziV-CJUeRiwWupCPs2mGHshKSd_ZOGO8LEbbpA1jZdXmrxD3NidTXg-NOUxQn7l7P-idbUX7gnXxy2vUJ9DFZW2Uxe4y7UtufH3vMFfzuxFKdbFODlAyJndNvg90C_3w8XoTULui99rUys-qe4rKRd0k2AXEYFqw8aD5e_b0JSLNMzIfLFMmLf5Z-haHIi4-YVJQ4CCwUKvOo-GRZhh-X6M1gaL8mYQVHuNRQndEJA6BHd3HZDXLBFtRAEudEnHvifBPT9cSFVrLQmNYqdR_ssUIwfPZ0JwjsSkZKFxo0Cyycd7tDwFhS2Ed3h6_JZtSWc9afzKu9jzwG_LJukt1QcWoHaxO019sg-fpZj-5Wn1rEb0ad058RgM3tCGedQCSQe5jAlZd5q8pCb1ViQ_6LHH7VmGJ21VXURanSJVq3G2a4Wx0XljqvEQ79g42_SsbhDP6yAgUzIkBu_EBNuhY7GFilio0tAp6pq3iihzIKJojj2CkuZBnkiJZSCalMfOn4h2g66ZCKLpcP_KUz70TGmEq5uLajkjc5YVaFo3vIBdBeC76forzVaSBn-_883SqMl4bv6CiNYP0ngBeXLx7jyIGYWPVuMwCmMdkT22Enr7_jEM6pO68H9M1gAh2ynbGrfq7CHEf9XPXpRZnKojyW1-VxfEwLNQju4HbSQGKURowMlkPzil3yRg-YUJ_aSTM2-PZhJhZAV09gPXNXJe_qHEgZ7X90QSamyvm7MnPU2cevs4WjdTkTMa-66tJKByTfd0flYCy8-F4PTSKE7bBe3EvBE3he3bA&reqid=tFBJ92ptjKHTgJkU&type=CLICK&pos=1,,21.0,chanvay,6909000.0
1,"Chân váy công sở dáng đuôi cá, Lưng cao, Ôm body tôn dáng độ dài 60cm vải co giãn 4 chiều New Design CV015B",349000,https://tka.tiki.vn/pixel/pixel?data=ugmYM2Wvl8a2uXGRHE2esWZuIkwI8lnysSlACE090QkCZwUv-AkCswp_T0nd13AVo3YLn-hZjg0lQlerKAYxVrf0ZBuIhyvLcxylbJtdn7OGTSBPv1s7qSVIMDuj1z4tfP5bvrO_ccDu5HUSp0lqdz1YTwspAchBcDnR6oOlhyfQXWtANTMZqkr5cNWdlcvqmhmUAY7mSi3W2GWsx2tbBMt8y-u5K7zrXIDdGTpl8UIoJH80ggM7jt3Exx3OvYslygDsbPDlVpaDJZHYkB_aT03W5__sU-Z_b4kP5wJvGKRn5-Z7dhoGvOTyQxu6AwJ1EdzHoyjd_303yGZSbhjZSKxDTnhSsLPD8m-bVd8JQTR1V2YlKARL6IFsuu-gclAVc0OnNPf2wTaaWAiHFwak1FR1ejSthajM5kw5fRUssUP_as9a7y7qtMdxKN8gSHejRU2VPa313udFHcdIDb0fc7kv8j55l0eXVWsYr4hMR2CMH7AzBIMkMFP1jVjX7nLuZcQsSXDKnKBPLSw9OIpjr9r5gzDcUA8uZ-hVBN_SSlHEimdR-N6nuyIy5MmVGxrFLpaUAa6TXwOXLLiMxQjFzY7dljnK8OYaW-64GvT3gjf9llRNIO7Th0ec5UYEnwuIzzpaiT0iVsMISC9onEekfAUaTeR4fs0i_VaJkZ-fvuChPWoIbV0qJZQu9J7ljH5DDCT9jFtYk6E0kzL_1vk0Q9dA0uIm5Eu4xQ-EORBzEgse2atiz8l_qMBPKvUphw6Bmg3kTtFKVKKPFqeSGD6_mTYPx1Jq-2tRpSDlFl-dQXsGS4SbBbpsq7cTKI8R3iM9a6eYwZ57HUA433Dh3b2oaxbfjVOz0NlgorcRunUgOrW4vrnIuTAVVkBVQ1mzG7mz3cLatLUCNTyGiAP_qhxOShRJ17TwUdZerIjaOIeOpukvOkbbopbcYNlYYrTcC2es8_vHJPRHwSXyR46pnr6GftWhIAObPiPxtX_Q9k7507Lxw10D0R45_IdpFTe7kA6JvB3d0qXiW7aG5kex2I1xZD0f0v5rhUgomyPxxj1HutEzjyiSjMxJXxAz4GPHALfmK1TQgg-wkDyOTEB41HGY93bzRslVn28FNqAWrwUj9NoECbKTZo5WXVRDxns0&reqid=tFBJ92ptjKHTgJkU&type=CLICK&pos=2,-31%,4.0,chanvay,1396000.0
2,"Chân Váy Nữ Công Sở New Design Thiết Kế Dáng Váy Chữ A Trẻ Trung ,Phối Phụ Kiện ,Phom Chuẩn ,Vải Tốt Co Giãn ,Màu Trắng CV0072",329000,https://tka.tiki.vn/pixel/pixel?data=CYJKYOn2hjDAgXDsnWfAjLXSVaoTv79mi3xABV3wMtWfQExNTGVQUlD5p-cn00XsFck4n4WL6EU0xMsKLoQtg_4HuHRUJ6yUPCEOHDT7M8FLa9YfPXQi0j29zX8pct8d5oiKDwc6LYvel7CN2MRjy-aWme5QchpVwgPeOlzuVx375Tx0ThQknDwU8rQ3bMhE1tU3KCG4Fvw7CpqPm2k8YWv2sbR9K7bu58D2kiuL3C_lYu1bsCMWwg1FccXRqK4ESxuI0GPq_U04mFvUZrXz8Hx0FW4MsO1G5JStBcLTrKH3hPMhOEYJisE-SD4W9yzPZPF0m7OmraZ4KFM95FgRxeB2Z4-qkCPWx97xqtLpLvpgYOziSUZDcvZ0-aqEMJ5C5j59d0xXJur9pkTqW54IkCE2Jn3NI58O7DZ-LMJN2W90hhJgANlNLGAn_RRDazHrkBCGK97UB3SQ2iyTGU6fZdGkT_JAnBEzzKx_ALNES205nhBOkRkmfxOX1QCWt0s3-fofaqapxx6zpGT_zCCeystgLe1PsDVxmYCDsenngd_6S5ZUwt2wOGLoy6BUQiyBHcC5G7SJ11-pM91GDXB1qJwa7Axqujc-9WYYtb6XNMuJbvJrk6mOnnoCPaH9NCUxCARUIqs5W2K5fJ1F6cYob2YlyGBGCLxcExOsqjLLnC39LV7BlcKbp6R53ZRb95F6QmCGvpgdYHYPJJTUECVyPu-B4fJLaEdiYjqpuqv0DW7NR6zT0ZBpMHACmE9V6YgWIUwTwCRfcPCg2c-JPQIhVyCjgmRwwyrFTobFq-4xlJBk7BTqFgCqrU73ZMDhvscl_ZTtkh-ZEq5WV0QPpOUoLB5XVJMk_ULWlyQv-QdNkZSSpWWPG524xw6r9iLFAd65UHozc0XR8XJmW7UJtEAa8I6EHOBgEdl3T_xq0okWYKDvOR1HSrq5KCGF41mjHKNoKl7B-jWrwYf_6bbhIq9ohIOJScbpIkkClEEoEZSUpV9JMaK4uMQDOc_kWOr92GEeYQLYHK8v9SDjtp-3-zxtSM6b7KXuCaKZMOt_KX43-qPy0idyXsS-iqwWVaeI6n-JsXzTsmyE5HRF09_Cyx3u1-3Xvzbc4PGfgu9cENDLr13EpNtGJio4jrCILcbmuGslP81XA8NI6zpaY36V&reqid=tFBJ92ptjKHTgJkU&type=CLICK&pos=3,-37%,9.0,chanvay,2961000.0
3,Chân Váy Kiểu Cạp Bổ 7 Mảnh Dáng Xòe Chất Tuytsi Mềm Mịn 93CDS2007XT,309000,https://tiki.vn/chan-vay-kieu-cap-bo-7-manh-dang-xoe-chat-tuytsi-mem-min-93cds2007xt-p243090361.html?spid=243090375,-40%,134.0,chanvay,41406000.0
4,Chân Váy tennis Lưng Cao xếp ly nữ - Đen,49000,https://tiki.vn/chan-vay-tennis-lung-cao-xep-ly-nu-p167500965.html?spid=167500968,,19.0,chanvay,931000.0
5,Chân váy lụa dài dáng đuôi cá cạp trễ cao cấp,239000,https://tiki.vn/chan-vay-lua-dai-dang-duoi-ca-cap-tre-cao-cap-p272556413.html?spid=272556421,-37%,1.0,chanvay,239000.0
6,"Chân váy Tennis Dáng Ngắn Thiết kế xếp ly đẹp rực rỡ - ĐEN, ĐEN",69000,https://tiki.vn/chan-vay-tennis-dang-ngan-thiet-ke-xep-ly-dep-ruc-ro-p182297563.html?spid=182297567,-40%,1.0,chanvay,69000.0
7,Chân váy công sở NEW DESIGN dáng midi dài qua gối sang trọng vải kaki thun co giãn,299000,https://tka.tiki.vn/pixel/pixel?data=kTBPeiirHnauUSeVABACp_FkXoDMF-_EXqrcf4oE9ExqvHXv6LUKkQI6lLeTQPdpG8uguBYEiVxZMdwik8rbhWgbyRmJytscYApDj3f9inZcsasxnbw2q8lb32SxkLZAo1G4pcsbxdYlyutjgSauS_qj43oLBAKvOD929YaGi6k7w4GJn5vrz125X3eqoyL3uNymKB1OUAD9mZuPMebeWXuIEsghrMZ40YTWQl_MqI8ET-yBFxsgVYvIc75OBZjE7FyC6IaLSSFQOb4SuEjPEhPvztPfjEk7RZXkOuwus7ncF0UHayV-I8Aw-WJT8J_R-Ndl7KR7ULwXiwZwi7dRxOVR-nJE95gZFS38us9I1-DftSuznVojLGuFLtsr8osLxWlAUsGChtoJL0phMAyaZqzLosHt2GjTILhNe3ci4S_5DQY1LtruB1xu-jRB9y4BAEmJrdjU0pNB0LhFJbW-wtpLHExBjSJHRLaSU0BSvb-zO4EQBSvmBdE1E9-jasj-jn-7MWNQBdeZrTB6R4kxf3CvRciQyp13lixA8uh2Fl4gGMTkjOsTWjdoeWwMB4URAWuizgqtdoVv_V3-tivpd5NVPCfi7jzogBZcYjrvCeepLXXHiMtwXLK_169aVZZYaL4-ZI-CANN8sdFDN7C0zF5ajghFOgw9b8Q752-UNgjVzWLuRYVLHqvpTok716X6406ZIagROZKSd_CDoY9nNwQy0sj4HMIMY4UEQ-FDLoTGqnxckMpUwea-6LmbKwsLXAj5uu31ONg-DsAAPy9-YZBGokEgV0hlkeAD50wGdpxk-LmJxAvK_udgymHOPkmI95Hjd_HkqvZtSFFbVtaBiXtlM6ibVgI2PLfFIeo-S7sobShCjbcmZpfyx_0ozMo0MVn4JMReCx-1hlH6z3ZnMgWsW9FHyadI1JN2a-0cjPT900Tfw0-7v2huU4biIE4phddeVztC6CBmw6ubPK_ZwLn-s_l-N75gM4RccJuOhx9K8dGztCtYQraduAT0jcqxNLZ-3xIVI27GVyxXjqO9_JsezK9voGuD4XKnhs1L75BrE7U3Hg8FfDtlEejBtAjgXXq1YfEhdSczgVcsOl7GEkb8xKtD4ImjkqalAQ5A&reqid=tFBJ92ptjKHTgJkU&type=CLICK&pos=11,-40%,15.0,chanvay,4485000.0
8,Chân váy bút chì - Váy công sở cao cấp có túi form chuẩn dáng đẹp,299000,https://tka.tiki.vn/pixel/pixel?data=-XO7r25Hc9SGsvyMNycRawAjpIm6mjsmuID739N7vpGxSGUeO8GGDRGmuey47rcBztvK0AwE4lR_-plzGJwtgNXKSuslc1LHEDpWn_OPhZKiA4Jza55wAiOQCJEMPG_chTOU2pbYf-1gwnZ5bM2qOUfXiEPD2Gw6PFecmN3Y5meqT0Q9oX36yg-wnZh59VGX5t4120zYrIgeeE5HApBnDnQsLSQZqMyk4hvUOuyfD-09n-BQTFfE0ATg2DKya9uHvmOil0jwo9mGVgndsSZFygT_jNkzH7VZB25Zq2783CcissshzQIpaH90Mb94rtSLPPGuW0ZCfVQK71ZKfIIXfz1UpDTY-0RHm77Zvqukc9d5NhY8b9CWQSyLEGAbP6_Q5xQ8VQa3yRyApE0qFcOv6vksKXgG4MfReEAm7ToiC2UVbELu6LLhDS4YX_fUiiWOurt7bBrbNXy1j4aTPQKNQUt9QMx_wsrWTqob64J8jcepcyb_HPUfWQiqX0GaJqTRlDo87HBYaSvFukIsvUWD8_kxrGNzBnGQpfw-gXdYcjUYtLZzGJJieDxK9s2_pLRZbGFkNV9hZgb60nnorMMc24mtYYNKALatPICdgOXcSHzZTiK-GfZXwdX8Ipf-EJWkXvyMaMof9eVBB5hOoKPSsgO-YZ4tHXfvLsWhQilWrw2dAFRefr9wpPr-fqkFkBMYSm-lwpB1YzporjutpZNB8QOd3iNTpjEhwUKgTu1A4oG-KY4P3wk5dZhVYrQZ3ScE8PkEm1rt4i8w3m9erNVTrPOP6twOMstq4onA6COMikPCXmJLd3uyC5g-LgJuZg97AZUeFXHieoluCFIb8qmEgSLqYNvhiT4dnFGXtYhKEg0aQqimE27e20M7yp4D82gFfp4XOCuA8_iBXhbQSgi8hbZRTsGQd_-ki--yTWbGU1UPqZ7sq8LIRWOHxFnKZs4xPeNV504dolCJjbmsUJaYyiji9-fa_KqHKtu1j-EUT5G0sUUNFVPCK-p4VMIyk-W2rPy1u9zZR-zpVPoMdZK_G9Xb80C9HA7drF_UpZ5TGdetCRBFIf7zqiYaQNGs9UvWpfas&reqid=tFBJ92ptjKHTgJkU&type=CLICK&pos=14,,38.0,chanvay,11362000.0
9,"Chân váy công sở lưng cao, xếp ly siêu tôn dáng Eva Design",149000,https://tka.tiki.vn/pixel/pixel?data=wX9UOOmNQHTXCHSN9RShcrrC2_pMTwwHHfQ--UUiKOqXstlxL8YGCL5cytJUB1q60kvReThIjXExIRv6iX_dZWi7OaB-a_XKCbkloZJ1y3yMWCm2i0y1u5zfJS1vsy3j4qQ2Yti48fLb_ey7H_qVB2iggOQx_b7jiK1hvmoWhKYE8W5NXORygtKp4Q7_NnvuzVry1Cfl58ap_2eWhSuTHVQCxOQeUcL9uv6xPsXbLDoYDwOobT8KX1RuJkR444NqMJc_jIwUUwkr9GVihQVHhCDWh4JXvGWYAowMcaLlYAKlLh04I699Yora8Ks3GNajaAh1_Rzt8LlhO-5X6hp3Js7BC0V8Yoy14tg-1SS9gGMoYh3mWG9agWnmVJUdlgnprSaA_OdzEAq9u106zIsoWZohag29lpvz9eunVlGbdlordRm2U5R18lK12BVCsWK3CL9l6dx_rD-KlYD9jVWqx05fhe5ud2lSIxkdH-ElsFrXxO9iQ19cbAAGtbPAI8AmlLEDwx4-6fCNCsDaaO3XIoS5uGDo-8ba2ArHQVy-dJvTjh1H8bLzcSWHcGmUP9sapKQ7qkEFiB0CuoSOGp_t3nUOZg6JHNqo8AxEWxhGzcAlhXf7Y_R-t77YkXbsY5oPgwy-Af5ToXFCuU7QXpQrdhUhBUdfTcfoTO--tdTcjFZOg9D6KiEjpCnpIzpSxA-0a77HRT42-00XY0sfIK74L38UpxSQNvRZxVuX-zK5gAaFZtHM88Hz6uhWmPTG8UXIOvDm5KeR4eyHbKpnMe7r1qcTouOlLht_xBr5tUSdtKGJ1nDZh_19AJqJIxIE7PV7OQnwODD4R7ChAhSN8MQHLVuQlXSKEg3KxWuDic-cX-Klsp3DQIXsdqakvDaQO5vx6Sqe7RWWkDD0CJ_vzVX-T1aeWUtgyD3lfuS-zutpaH3BMtiQHUG_S1N97vscqP8rFPdTZPNo3WJPJWY1Z7drfpGF5a52hiJ44yYlyDq2ktAa_n3-LbXkvLrck_y_y5p0w4ZtoH-1r7PRrLgtNaAnsebxcRJhbmVSPqkRvsD9ybbQIC-q68uYuRdrJ1__JyQSg1lFDPYmgDkq1guG34kduz9Fa_Yrg4ycNO1vzB7QzPzqDTHZ5OfQT9Ep4-g&reqid=tFBJ92ptjKHTgJkU&type=CLICK&pos=15,-22%,171.0,chanvay,25479000.0
