title,price,link_item,discount,sales,item_list,category,revenue
Lò Vi Sóng Sharp R-208VN-WS (20L) - Hàng Chính Hãng,1249000,https://tka.tiki.vn/pixel/pixel?data=7IYS52OneVZMemIVfo1B9ZjYRkg0tpSqYA7rO5xwyrNb2KzIa7shXHPRSAUEOML7sY1rBJJmGXfmxUVUkl7HCXxFpQ-zZY5gZKNDJKxMn9KbHQY6IaabGP5H7PEmn39s2kn2SNzL3prNqWh7xQLY2Q8Lcre7_CBbsMwzHSM0z0IkFWJh3-cU8MLAnk944k_Mj_gLAeJMIm5ZpfFX3iL5A4PgNvSk4C5xqCdlwzzVq3pdDfP6QJV-IbvONAIi8Z0sFHznQmeNKxeZ49m0UMWazXzON3ExFNCeIGGFN6oXWiBTmQEN5QuKKgmB7XGL5mx_DViqrGKKKAPvf7ik4eJk2wGkJoUPlpyTZkx8c-l_-I47lildYCOA2kU1lqiIcpv_1E4lJXdvpuaLfhBsi67ahCOImVKgaVll-T7R3qYNZ_GU1W99pSfwkEGwOjdlDvowwkoeGYvVJBeGEROFGeLhwZ6c2R2Xus_paQUxdwYuL6L9nODYPFZNgdofaemE2PUU9_vNjfhaaHsGt1KHXMSsrhmaregCwnPTJIZFus-LMvkJew8ExtuL0FpwnKCfhAQjvhdG5zVhFc3o6hWlND535VrqBhAUVWTWxD8WK7Ml-WiGQahiN6PdbF_TQ34usZiL0DHDNSKXAdmvJ-NFXQBh6Jxqb5XtntamPYgpmZD9xQur7Ow5TtSbjfSNDo35ymSFbsrCnkNBwvcNUEBESWGGKrrOqgJvSMXHYIPhNjdYXaQLuCwkHtSe4H0XISE-OlurWoUszfnkJ84h9RsncBRjglPayqak2sMg9e12RARRAU_8B586KLp_O35Uhg4pgIjFwbVBPQlEiUYWlUsgB9FoG9u2MJ4DHbj43e6QGcKiapNs_-yZiz2wESkZV9AIE0YxErYTepEvU56d3ORdYXp6n2L042m210pA6_BsP-20dOulBJeQsIE1epHnITHYDsitVjf344f9mBjzWmX5lTulx1KVRa8Aja31eyQgVSYJYMv74gVTBMfXR4M2uDUhRj7nXPM_DRaucEWgESRQ_5w235GpLpDULEi3FVm-d64zpYlkwKggIInvqUO3hWBUxoRjXelCRfsWcAEy6RlTlL0k3kiFDnB1UAtND6MZnEw86cXAX7iIEzWldvkK9ybOZb43ojtn4ngiCG2lL19M0lA8yUJIXPbeW5O-IwbRvzvx3RrOYHZPQD0ZxmAXyHD1CTQqrHqPCiDt-lWhEaMgDVAgKhjPsAc57Jqp3AmFkEXpCSFFs-EdUFxxgjnFCsY9SIOl_NHZOFkEjtQqyfZzeYSzXlcgepm3oC-O167lVWzf45WAupqwHOpFTgF-1ww&reqid=gtEbJCgsSLVACVj8&type=CLICK&pos=1,-20%,1300.0,dodungnhabep,diengiadung,1623700000.0
Ấm Đun Siêu Tốc Inox 2 Lớp Sunhouse SHD1351 (1.8 Lít) - Hàng Chính Hãng,239000,https://tka.tiki.vn/pixel/pixel?data=j56Zt1bJHudMzlV1eNB50h785xtjfE5XhqtXUr5GDmCoZlE4cwHNKlNV44MT9yeI8_p7ybArVt-Wt8a9w8SSw4me06HtN_1ZP-g--h6Q58dEUVX95N6N707DSACMsLv-skfDHmTpkcs9AelShtqBXTo0uDFPBNFb29Bri8oDEEreSBlaHbVzP4we-nhlHyZcdI7HWF6mE9b20aKKJeibx4mKc8Hu0NQXpoLi5Txlhzf0GZKvRxL5uIazzK-2Uh2bpndqBo1afv7kYqNEhGr3TMQFKaGNV60sfoAerRAxUv3XSKzw1mnBTE8bLooInGlEUYvqTXEUiDZTbm1jK4qrzCj7tW9J1lo3ClptXPA0LyIQIdzAYBVt3TUmlU08eW0MuIyg3k_8yq2S-APDnrSFa6GhbFgyIbSPNBOGjgKL7ZKj6gG2WPwmWujJ1zMr5x8qpBsqTyDFJMrg3ppSaUxeKMVG0Mo_IKx34CZd4JGaNcB-xrAa9meqwxjVZvjfaTraXk6KOs3HXVxVtngDMvsTnRK7kNCCEm8TVnl-dH-vZMdmoaNO9aidb5xDuyqy49atN6hft5umRgHkblXfSO-epVx5BamIUMqa2wmjfpRgc6NNJLw_ZHfCF6dIxnxHnf8WNmZPQZapP7Yp7j0VfPak7K4ZADxomEcQu7SxyMJRSIum8CtaPYAyvzHT7zdEe2i6_0RHI1aA78aLi0v27ewpUQeYqQBJ2n2QIRcl2Agd7gBbrpLiTjRy1YMFnr7qWo7xAfW3A-mFu_nb1A7sGsc5wcJsAnnxPsDC8ukvf5IieXKqAmv0Wk99AgECmcqmk1c9WgvvWrw3JKmLmFyX6hDl9UqLb7sz7kl9bQpHxLhM8ykylfe-qwAFrBJSl1Vv-3qqSG4aJXk43G62mANgJeryW8pruOSTkfnNdzdx7utYcrJCVCgXTIQdHKzKYXs4UKWqBbfjeX3kmdtDVE822Z-awVGaqy6NmIokPtTBTE2HrQZP2zb7UgBfuoqtPQmi1TQdY-arDM4cFPYxI-0BUsuXmFdAEL30C7EF991p--5jmxUH7Gd0-meP5dhWSVLJQ5AtPy7Ll_MoxLxyOJx4yioCQHZXFHRCMwjf46U3sV_FcpFpObwS_qcy-e77cdd9MTfffVfkuwBxSZtsyD7pdZndMz7Y8DmeHnpIr3akg8kZzzRtHCPCIVvHq3otTu7uTgamlrzkkAtJvIg21MD4lSc2N7v7U7_RPdNg777qKwDw53g8k0URAsVDdfa09LuAGCPu2y0&reqid=gtEbJCgsSLVACVj8&type=CLICK&pos=2,-43%,5000.0,dodungnhabep,diengiadung,1195000000.0
Ấm Siêu Tốc Inox SUNHOUSE HAPPY TIME HTD1055 (1.5L) - Hàng Chính Hãng,139000,https://tka.tiki.vn/pixel/pixel?data=CvTdcPsLriX6fXSVKB-8Jw5Q2YUxTSGn8QxJg5Ew0xE_ZwsscofTmalKsAZ_7dA-svz_WZ7BfYC-FbfzvaZRNAk9LKSZLfn4F8R6sm2g_KpAt293hlXkf5uD-wcmn4_NxM0CGduZw63HJO3NLm2kYc8d8zdgkHCHXJ4QKPPJiNQOX4uj7L7KOfYsfQCmuYE8awkObGptS9Of_cIRu0xxaVZcvGCFi6YeT9auSL01VRUposwGjei2uRLFgV-_s3vDg_rN4wbroOwWw92aEmet5dOw_eC1HoPArju1AEXqEUOPiUv3HLyCDwtibLnhFGc1q1nJEo0OzBnll6aQda35SFRLyAB5sn-7GPY__k88DsuZDar8CHX08Vp3ozoVk_siukdxhMAcgBUT2AVXD1JKoJA7uP5XDEsWaZrrbOVZh9XIBjIAjBWhIQPaYR9oRYJ7GDhM0Mzb94fgQqT1BjMBEb9XvpOMMfKzNUq0mICGLa-UbkE0283xgNofS2gPCd3YfSMZ-cX9NRSa04bthjNHfNbs84b3bWzHACGz23wKUIzSO__TubJ1p7NUvcmyisMORXCASNA1LGK1Tv-3Ey3s71lK2upGyU38hdxa2-15AHkOoZFkCc6zGo8lp5okcCueGLUYfY8yGqJal-YrOHz2P6rBvv2gia-qWqrPgtxCCM0GQ282gEfvJ4Dx0UJ39QOgEoDQ22DD0uDnfnbHEk5A4uj6iQHm8vtsc3Nae8ABmwu7jZQRnGmVdCQn-vRKgZ2Wf7wI12ezxBSnjkRRUNhya5BC8FTQwq7lh8AX0fnLMqte55n8uuyMR8Mj55AeRPiOf3oy5mZe7BVtE_k1zm-qcDEwTRpwws3kq3mLl2sh6P0JZp-sgR1h3uDAlXRDgrMOuZeq_wcegRzOHBtxYVE91IqyTzdUgURX4JZZJp-63oJD0R5pmWfzC9WBBE_c0ffl57Sk0br2dIahZbALrrW2Bj5K9Nfl1fZO9Aihp3GmHkYgb8I8I4oxQPez5VAa1TUxIi0fVFPNf3_2uI7hI3U1qNDQaH8i0LyMBVTATVRkfMMqstatnpRDGhf8T-Vrl7yA3iOcBQrdWs-HXEHsACBNnWq8RNpXK1iKD6IjgSOgioup2yPX20ZHHlyqOaJfo5H9joVfQFEqgL5C5-bahj4Gn6pRZvBc862cduHXo1XosTeGoOxmtxWtWYoVj3DiglmimI4Vofgi6cv6A4lckaKw1S0KQEGnYXYwrHM9G2IqI0mH3lKK1h1MtKSnPc8NAg&reqid=gtEbJCgsSLVACVj8&type=CLICK&pos=3,-27%,5000.0,dodungnhabep,diengiadung,695000000.0
Lò Nướng Đa Năng COMET CM6516 (18 Lít) - Hàng Chính Hãng,869000,https://tka.tiki.vn/pixel/pixel?data=Sv35L8T3DA7e-bCSPZC0KbJt6D5NxuDjiZxji9u2QGMC8O9wIzcYRpnHhlM5rHkc5CUKmUUhoT6Ru_LT74wAYVqGNcTmZv_HGGl7mWvnGukf4twPl8zTeOH4adsIn7tTxr0_FCK2P1-_UZXukel4MxTccdbRxqf4rklXbicmGsL7aM9ypo-eJv2Za4KF6rFEtHSKxdZZogD_mzIV4jiEkVf9l0m4Z5EyP1uIlQiAbvgfeqq4PxgxcaC7r70WQCgoqgdAn56AhEpISvDFkLNKXks6S16T7dx3Zewa0dtNlxgy4bUOAHPypmZqtiDdP9FrFXdYAlt5OMw0nvKnVw8s_f4bnvbEQqligXmC2_XkWabS7443FgpyTc52bh7Ar6mMGcSYwL1KdfLwRVvgcLms2mvh8mjmAS4rPsVz7xcpgZfK2oRZhmZhSjF7JyyPgbiGYAAY93eOsDM83IPUfxpssIjidNhZXaLMn58g98ePLTloN4nrhSVpTJTu7C8rcN5-_dFTLii_4ArvIxK_mqH6Nt6Ou8gciWqRsRdP_gubKBEgXHDoN7BnfHcSezCPZ_w1uxpwm-QevpruKXMZtaa3L6BB6JkV-I9C4N_VTcnGeGQfrzPMJavZBFJHRwZticwGoITvOStn3DQi-5ThsUg2NPtkPzSWwbmvc8JdFgAFUP93piC_upAZPzBsk6jE56n-Sv_EdQR0_HHOxQyXJPXOsi_zBWQ1otUd-Xrtv8FwhfMZfscodR0mqV5RUwZkSkKq9Py-7o5h4AzwzZksMLdLldivP762rYgkwqei0RkSO8pmTvwDmHoTT3yH8Au4AKxvfeKicg8bbAy4VCSVbQJgAvu52n0Nw5Lg8Q35Djeq5uQ5XjFgp3oBu9baTkI9rVaY7jy9JaLsQopL4quWeSk57OyFhy4Vi9xGqTdO8Qh3bY63rl_75Ig6ybNKuSC4-Fm6HkVySCovDB_1QvnZFPVpRr80Hlci_or2M7071GTl9t_voE0TpbBz6oC_Ar72LHisNEwTCZg6FsecKlzGVjTnxDqtI8jzl7P9zH3Uui3MeP2A1_BVEaV3cwl5AdFzbLRaGj39o8paj6BZalyC1SehJtQGHTSGIeJjGa1JjjmeoeYuR61CI-qjeTDSDNumG3gZhaPyf_pE80CaHx_aeNB625HfbBWnWuTFyo4JZbyntzIQIP8fMhk-DiJILIGx-qTDPuk&reqid=gtEbJCgsSLVACVj8&type=CLICK&pos=4,-20%,49.0,dodungnhabep,diengiadung,42581000.0
"Nồi điện đa năng Locknlock Electric Multipot EJP134IVY - Tay cầm cách nhiệt - Nắp trong suốt - Chống dính - Đường kính 27cm - Dung tích 5L - 220V, 50Hz, 1350W - Hàng chính hãng",945000,https://tka.tiki.vn/pixel/pixel?data=0jRGH1VYsEHiB9ivpzYDxsfAQqlhIeGMVGfO7OF4hk0Cd6xqFU-e9-aQhhcehxJMvj4itRm46-h9tvg2923vCkvEoK0z0a4gUJOD-aPgBUFQoqE_gkBAVIEyCKIr9yzDrqY-fUsAs19P2jFeeIWSh-LSwplcoSdyftj0BMU_8L6_0kUBrB6URcUdVRD1O8bR81u9bEzgY-yIJVYqz9q1RDAd3xceDvXpBCDWKpsXhDY4ii0CIxf-NlZ89XZHKp3w8h0pKtLhLYm2ILuDDInnaiA211j8BDEa25HXWmSQQY35oxCAhYYtvzpKUD3qQLUdtRkPV27GIJq5kqfJc8LJ8kinNijtc9La8Yr0GQS5i6E-mERnbyB0c0xbUFyCzqnhRw1M-wYoST6X9JEwvDh8Xl7qGqPoZjgAq1t87VHDAu8Rql65DetVMqiVLIkw7NtZDK75Z_srV4ve9K3o1zMTdeE3bSwfew2DHxGljztFEqghXdBCkAcxn7XtP9z4OX8UilbQwFlFeOLtLMXa5oSQ4UnU2RUSCIDzNz6uHnMRuSboYyJlHZn7t9Zf1ZxlHAvDVSdPnZPP28-TmnSwSGCjr-ssMSCodvQlsaCKu_oezUsSSeR2DvvpRm-pFYZb5i2NWVGlbgC0Uowlnv6Rm3oyKV8VsjIHRh2ecYj4dQZXpL5CuReC8n__nB8eQKg6GHrVMLcgPYQGN0NSl5HTOuCDquj5hzOmmraMRoWWTDMYEax-lPsqR0EURyazs9y9bq_mYgdu5Tglt3_KdkoeWJudbKLyWTgG6a6M217U8T2IS0wGaJ9TYy4_m3LFVb6_epBM6TvBX47BZ2YwCm6zvSnpj0T_fkKzG5EAMdHygclOwKDn-kFNGMA9nLxq2gbqQ_LXOA3Qihc2v-8e5NXyZywjI-PcfffSWUh25qXQYFHX5e_QwiXSanE8AE2yM7oqEPgYaHIPK_9LkBV676uMSHB6gbZnrqtUurGTd9GOE4hL4bC1BPBzeIxWhkd6tzYoJO4PzQ7SfXmCX0IrCUXwbYW4en4UXBt4YuGQ1GqopW3y7Bl6noE796O-6cwO2nPAVdteU3K5fwtZYaVjRBOaopJjT_oihfrZvq5NDjpgVdQs8gw8WUcVGVaKRlvfHonF3fY4z5UZiNAbp1s1eM62tC6ATGLcts6CVqAwNPL3D6jcNVL5jPXEAEE1VOAJwJo2jz7oLRNkpCb_-eAXy0YbDuUjd3EV-6LGykRZ3vdtOM-7dNaHt5k84LjsN2k4qTjf5Uqsfc__9luvRRyd6eHVuXOiUT0gGFCDyJgEyY4ELLtIPGc3FrWz2wzcq1MjuDNY6dRGDocqeSDDLyxC0QWEHVGwxCgX3pztAO8fOgWhGNs&reqid=gtEbJCgsSLVACVj8&type=CLICK&pos=5,-50%,33.0,dodungnhabep,diengiadung,31185000.0
Máy Xay Sinh Tố Đa Năng Sunhouse HappyTime HTD5113G (Xanh) 350W - Hàng chính hãng,349000,https://tiki.vn/may-xay-sinh-to-da-nang-sunhouse-happytime-htd5113g-xanh-350w-hang-chinh-hang-p6774373.html?spid=6774375,-41%,5000.0,dodungnhabep,diengiadung,1745000000.0
Nồi Cơm Nắp Gài Toshiba RC-10JFM(H)VN (1L) - Hàng chính hãng,469000,https://tiki.vn/noi-com-nap-gai-toshiba-rc-10jfm-h-vn-1l-hang-chinh-hang-p2365901.html?spid=2365903,-28%,5000.0,dodungnhabep,diengiadung,2345000000.0
Nồi Lẩu Điện Sunhouse SHD4521 (3L) - Hàng chính hãng,419000,https://tiki.vn/noi-lau-dien-sunhouse-shd4521-3l-hang-chinh-hang-p2393139.html?spid=2393141,-46%,5000.0,dodungnhabep,diengiadung,2095000000.0
Máy Xay Thịt Đa Năng Perfect PF-X06 (2 Lít) - Hàng Chính Hãng,306000,https://tiki.vn/may-xay-thit-da-nang-perfect-pf-x06-2-lit-hang-chinh-hang-p97707350.html?spid=106082146,-39%,2100.0,dodungnhabep,diengiadung,642600000.0
Bếp Hồng Ngoại Sunhouse SHD6011 (2000W) - Đen- hàng chính hãng,479000,https://tiki.vn/bep-hong-ngoai-sunhouse-shd6011-2000w-den-hang-chinh-hang-p530774.html?spid=251421,-46%,5000.0,dodungnhabep,diengiadung,2395000000.0
