title,price,link_item,index,discount,sales,brand
Lò Vi Sóng Sharp R-208VN-WS (20L) - Hàng Chính Hãng,1.249.000₫,https://tka.tiki.vn/pixel/pixel?data=z42Ss-x0GRatUOsTdlrIMqXcOuYYhrLQ3jgOFWxjqZ7G9adKGYFrpAPBTGBElPYyg2V9C_KEuWOyr8ed1iIoa2C4iuxgqIvD_or0wEXfeeIkx76ZXS2HXfbSSszFgeyx0adPHC6zVQCXvECA0hSfqKjBr6QgP3rP5kIjfcpuwBVUjzTRkwqwANRaGWZ3Ti9ebSIafqmx2GRgcyUiHPSkI8w2pioL143pKwxapnM_BI5c1N6QNsparNRZS_E7HnD-32NrmYhXiEbSCkH7uL16IdaubhzqVOGYLz_GGG4_OyV8wiviYtRmXs-nWUAQBxKTw5O1rnSKqqXQ5sFTOc09Pxu70DGcCmQd3qwEEPfTg2fj4RsgxRd41XAiFquMY2BAgD1-vzBXbTRVpLsa1raRq3W2yFodkJ7SlpNeiJKUvV_SXjtd7S1Z5T6e6ApxoAdCyMCgaxsQ_ZHtW8F99tqYo3N--nbt3QBeBLvx5lZYSJdhdHtqNfg4X5oehdkihmbyTTSyVazq1dI2asJR2kQacR4O4tJWIh5Et7y8od6736I6rJyT1fK15KwAwB658SCfVX4KL8nO_LC6GoiKCwUaz3-ejuPZvBgoH3r2i6JCK1N6FTYCdJ--elyDqRGk6Xk-k3ic_9sEW4JOg7wkHCYjErKtYpP5DfkPXj4C7tPYTUPdytt_2XpY4jpO-vLsItk7tObZWSPucvlXqp44xR8DljDQvpHlV_5zlW1OJHRBNHo16U84aEzjCVxxe3CX1Gl5PbeNY3zB_oqsTdiJtexMN_9cCtZvsfsLoiUOSt_m-qCGe5mcH0JcqiDidMTivABYTdVqNpHitXP2w8TcWSsTXmr0JAxJlA0jM3w85w5dER5I-wAwoDSgYwpxZFJMhjN4FVbISMam3OGFP8wq0xzaz-NoXhlX_-Iq9HIo-MWPDtWA9uPI_V-WLuT59Ex2WvWSGdyabOJ6owau9urVoWwzmm2pFrXcXhSCuI5ReNioK99Ni5Of5dchnLdqThPeyNgxmpioOBw5fqO9NCkbRXXGzOy_vDOiMWNme96a9y-tEwM6cAReUHAnBauotrjHdsQvPp7PybOMc1S6JUtuxtHj1M5UGq1OAC2Iz3NVC8jBRt5dvJRt4-cNw-0VxSQOfdsR7V0D8eCoJReSO4DRe7JGEmaz5HAMV59C64HjMeXf0P6FwHluxx0DZe2eqVdHA91YKzJ6AvCXfZ-bwlsbdIk6JoMVL7PKJg_9d78l1F5I7_TYIOrYhmiw9Ils7C3b8CyRwM8uzmioh9E3u6h9EU4VlyPlpcX0pCXygqFiSE1Og_Hog_pgfHZkJV1yeX5fGVfnlTyZQkR6IOwtar7xbA&reqid=wJ9LtsHCTnNd8ykN&type=CLICK&pos=41,1,-20%,Đã bán 1.3k,Sharp
Nồi cơm điện tử Sharp KS-COM100DV-WH(1L)-Hàng Chính Hãng,884.000₫,https://tiki.vn/noi-com-dien-tu-sharp-ks-com100dv-wh-1l-hang-chinh-hang-p178034158.html?spid=178034159,2,-42%,Đã bán 22,Sharp
FZ-J80DFE | Màng lọc than hoạt tính máy Sharp FP-J60E-W và FP-J80EV-H (Hàng chính hãng),869.000₫,https://tiki.vn/fz-j80dfe-mang-loc-than-hoat-tinh-may-sharp-fp-j60e-w-va-fp-j80ev-h-hang-chinh-hang-p199639343.html?spid=199639344,3,-30%,Đã bán 22,Sharp
Nồi Cơm Điện Sharp KS-R181ST - 1.8 Lít - Hàng Nhập Khẩu Thái Lan,1.150.000,https://tiki.vn/noi-com-dien-sharp-ks-r181st-1-8-lit-hang-nhap-khau-thai-lan-p127911456.html?spid=127911457,4,,,Sharp
,,https://tiki.vn/binh-dun-sieu-toc-sharp-1-7-lit-ekj-17evps-hang-chinh-hang-p169417287.html?spid=169417291,5,-22%,,Sharp
Máy lọc không khí và hút ẩm Sharp DW-J27FV-S - Hàng chính hãng,7.690.000₫,https://tiki.vn/ma-y-lo-c-khong-khi-va-hu-t-a-m-sharp-dw-j27fv-s-hang-chinh-hang-p10282129.html?spid=196904277,6,-20%,Đã bán 16,Sharp
Máy lọc không khí Sharp FP-J30E-B - Hàng chính hãng,2.240.000₫,https://tiki.vn/may-loc-khong-khi-sharp-fp-j30e-b-p126735051.html?spid=126735052,7,,Đã bán 7,Sharp
Nồi cơm điện tử Sharp KS-COM100DV-RD(1L)-Hàng Chính Hãng,869.000₫,https://tiki.vn/noi-com-dien-tu-sharp-ks-com100dv-rd-1l-hang-chinh-hang-p178032759.html?spid=197851414,8,-12%,,Sharp
Lò vi sóng cơ Sharp R-31A2VN-S (23 lít) - Hàng chính hãng,1.890.000,https://tiki.vn/lo-vi-song-co-sharp-r-31a2vn-s-23-lit-p201670145.html?spid=201670147,9,,,Sharp
,,https://tiki.vn/may-loc-khong-khi-sharp-fp-j60e-w-38w-hang-chinh-hang-p10131463.html?spid=191484136,10,-26%,,Sharp
