title,price,link_item,index,discount,sales,category
"Máy đánh trứng Mishio MK215 300W - 5 tốc độ, đi kèm que đánh bột và đánh trứng - Hàng chính hãng",253.000₫,https://tiki.vn/may-danh-trung-mishio-mk215-300w-5-toc-do-di-kem-que-danh-bot-va-danh-trung-hang-chinh-hang-p56100002.html?spid=105028683,1,-37%,Đã bán 137,dodungnhabep
Bếp Hồng Ngoại Cảm Ứng Sunhouse SHD6017 - Hàng chính hãng,1.100.000₫,https://tiki.vn/be-p-ho-ng-ngoa-i-ca-m-u-ng-sunhouse-shd6017-hang-chinh-hang-p449515.html?spid=126035150,2,-26%,Đã bán 20,dodungnhabep
Ấm đun siêu tốc Inox Panafresh 4.7L OP47A - Hàng nhập khẩu,528.900₫,https://tiki.vn/am-dun-sieu-toc-inox-panafresh-4-7l-op47a-hang-nhap-khau-p32004058.html?spid=32004059,3,-5%,Đã bán 72,dodungnhabep
Bếp từ công nghệ cao tiết kiệm điện,371.312,https://tiki.vn/bep-tu-cong-nghe-cao-tiet-kiem-dien-p72289104.html?spid=188730510,4,-25%,,dodungnhabep
,,https://tiki.vn/may-kep-banh-my-ep-banh-my-sk-855-2000w-hang-chinh-hang-p273363812.html?spid=273363813,5,-29%,,dodungnhabep
Máy Hàn Miệng Túi Mini Cầm Tay Nhật Bản,22.000₫,https://tiki.vn/may-han-mieng-tui-mini-cam-tay-nhat-ban-p103096987.html?spid=194102457,6,-33%,Đã bán 38,dodungnhabep
Nồi Áp Suất Đa Năng Sunhouse DNDSHD1552 - 5L (Đỏ Đen) - Hàng chính hãng,868.000₫,https://tiki.vn/noi-ap-suat-da-nang-sunhouse-dndshd1552-5l-do-den-hang-chinh-hang-p557855.html?spid=190320301,7,-5%,Đã bán 8,dodungnhabep
"Máy xay bột gạo, bột ngũ cốc ăn dặm mini 0.5kg/mẻ",726.655₫,https://tiki.vn/may-xay-bot-gao-bot-ngu-coc-an-dam-mini-0-5kg-me-p36941153.html?spid=215943719,8,-14%,Đã bán 1,dodungnhabep
Nồi Cơm Điện Công Nghiệp Dung Tích Lớn 3.6 lít GUGKDD GK-1300 (1300W) - Hàng Chính Hãng,714.000,https://tiki.vn/noi-com-dien-cong-nghiep-3-6-lit-gugkdd-gk-1300-1300w-hang-chinh-hang-p126070511.html?spid=126070512,9,-2%,,dodungnhabep
,,https://tiki.vn/noi-com-dien-tu-tiger-jba-t18w-1-8l-hang-chinh-hang-p556678.html?spid=70765266,10,,,dodungnhabep
Lò Nướng Kèm Hấp Cuisinart CSO-300NHK - Hàng chính hãng,7.900.000₫,https://tiki.vn/lo-nuong-kem-hap-cuisinart-cso-300nhk-hang-chinh-hang-p184767868.html?spid=252062102,11,,Đã bán 1,dodungnhabep
Bếp từ đơn Hawonkoo CEH-101-I-PK - Hàng Chính Hãng,1.749.000,https://tiki.vn/bep-tu-don-hawonkoo-ceh-101-i-pk-hang-chinh-hang-p272117165.html?spid=272117166,12,,Đã bán 1,dodungnhabep
,,https://tiki.vn/noi-com-dien-tu-toshiba-1-8-lit-rc-18dr3pv-g-hang-chinh-hang-p205223127.html?spid=205223128,13,,,dodungnhabep
