title,price,link_item,index,discount,sales,brand
"Viên rửa bát Finish All in 1, 6 chức năng",319.000₫,https://tiki.vn/vien-rua-bat-finish-all-in-1-6-chuc-nang-p170945031.html?spid=272398393,1,-26%,,finish
Combo Bột rửa bát Finish nhật 2.2kg + Muối rửa bát Finish 1kg + Nước làm bóng Finish 400ml dùng cho máy rửa bát chén,759.000₫,https://tiki.vn/combo-bot-rua-bat-finish-nhat-2-2kg-muoi-rua-bat-finish-1kg-nuoc-lam-bong-finish-400ml-dung-cho-may-rua-bat-chen-p217751054.html?spid=217751058,2,,Đã bán 5,finish
Khử mùi Máy rửa bát Finish - hương chanh,114.100₫,https://tiki.vn/khu-mui-may-rua-bat-finish-huong-chanh-p162209813.html?spid=174878207,3,,,finish
Khử mùi Máy rửa bát Finish - hương chanh,114.100₫,https://tiki.vn/khu-mui-may-rua-bat-finish-huong-chanh-p162150606.html?spid=174878259,4,,,finish
,,https://tiki.vn/bot-rua-bat-finish-2-5kg-thuong-hieu-rua-chen-dia-tu-dong-so-1-the-gioi-p168377690.html?spid=174280556,5,,,finish
Muối rửa chén bát Finish - HÀNG NHẬP KHẨU CHÍNH HÃNG,99.000₫,https://tiki.vn/muoi-rua-chen-bat-finish-hang-nhap-khau-chinh-hang-p169737257.html?spid=207751239,6,,Đã bán 1,finish
Combo Nước rửa chén cho máy 1500ml + Muối rửa chén Finish 1.2kg + Nước làm bóng finish 1150ml,529.000₫,https://tiki.vn/combo-nuoc-rua-chen-cho-may-1500ml-muoi-rua-chen-finish-1-2kg-nuoc-lam-bong-finish-1150ml-p205509082.html?spid=205509091,7,,,finish
Combo 2 hộp 90 viên rửa bát Finish nhập khẩu Châu Âu Classic Dishwasher Tablets (2x90viên),590.000₫,https://tiki.vn/combo-2-hop-90-vien-rua-bat-finish-nhap-khau-chau-au-classic-dishwasher-tablets-2x90vien-p186635182.html?spid=207311664,8,,Đã bán 1,finish
Combo 2 hộp 90 viên rửa bát Finish Classic Dishwasher Tablets (2x90viên),590.000,https://tiki.vn/combo-2-hop-90-vien-rua-bat-finish-classic-dishwasher-tablets-2x90vien-p186689877.html?spid=207311650,9,,,finish
,,https://tiki.vn/combo-bot-rua-bat-finish-2-2kg-muoi-rua-bat-finish-1-2kg-nuoc-lam-bong-finish-400ml-tang-3-vien-finish-p168369971.html?spid=173671852,10,,,finish
Viên Finish All in 1 hộp 100 viên - Combo 90V classic+muối 1.2kg+bóng 800ml,569.000₫,https://tiki.vn/vien-finish-all-in-1-hop-100-vien-p205434499.html?spid=273857442,11,,,finish
Muối Finish 1.2kg dùng cho máy rủa bát,99.000₫,https://tiki.vn/muoi-finish-1-2kg-dung-cho-may-rua-bat-p168378514.html?spid=174272385,12,,,finish
,,https://tiki.vn/vien-rua-chen-bat-finish-quantum-cap-cap-60-vienchi-1-vien-cho-1-lan-rua-khong-can-muoi-hay-nuoc-bong-p168377689.html?spid=174315492,13,,,finish
Viên rửa bát Finish 110 viên Mỗi lần rửa dùng 1 viên cho 1 chu trình rửa của máy,359.000₫,https://tiki.vn/vien-rua-bat-finish-110-vien-moi-lan-rua-dung-1-vien-cho-1-chu-trinh-rua-cua-may-p205473575.html?spid=173257948,14,,,finish
viên rửa chén Finish Quantum Max 60 viên - hương chanh + Tặng viên rửa bát Finish dùng thử,389.000₫,https://tiki.vn/vien-rua-chen-finish-quantum-max-60-vien-huong-chanh-tang-vien-rua-bat-finish-dung-thu-p168379094.html?spid=172024633,15,,,finish
