title,price,link_item,index,discount,sales,category
"Gia vị rắc cơm 6 vị 30 gói, nội địa Nhật Bản",69.000₫,https://tiki.vn/gia-vi-rac-com-6-vi-30-goi-noi-dia-nhat-ban-p13428892.html?spid=13428893,1,-36%,Đã bán 1.0k,dinhduongchobe
"Canxi cho bé Hartus, thêm D3 và Vitamin K2, siro Hatus cho trẻ 4, 6 tháng 1 tuổi tăng chiều cao, Can xi nước d3k2",185.000₫,https://tiki.vn/canxi-cho-be-hartus-them-d3-va-vitamin-k2-siro-hatus-cho-tre-4-6-thang-1-tuoi-tang-chieu-cao-can-xi-nuoc-d3k2-p124775556.html?spid=124775557,2,-5%,Đã bán 95,dinhduongchobe
"Omega-3 Úc Cho Bé Healthy Care Gummy Omega-3 Dạng Kẹo Dẻo Giúp Phát Triển Não Bộ Tăng Khả Năng Nhận Thức, Tập Trung Và Ghi Nhớ Tăng Hệ Miễn Dịch, Bổ Cho Tim Và Mắt – Hộp 250 Viên",349.600₫,https://tiki.vn/omega-3-uc-cho-be-healthy-care-gummy-omega-3-dang-keo-deo-giup-phat-trien-nao-bo-tang-kha-nang-nhan-thuc-tap-trung-va-ghi-nho-tang-he-mien-dich-bo-cho-tim-va-mat-hop-250-vien-p119320681.html?spid=139270950,3,-56%,Đã bán 40,dinhduongchobe
Kẹo Dẻo Happy Vitamin Kids Giúp Tăng Sức Đề Kháng Cho Trẻ - Hộp 80 Viên,200.000₫,https://tiki.vn/keo-deo-happy-vitamin-kids-bo-sung-khoang-chat-p181695190.html?spid=181695191,4,-13%,Đã bán 11,dinhduongchobe
"Sữa tăng cân cho trẻ 1-3 tuổi Meiji Nhật giàu dưỡng chất kèm DHA giúp phát triển cân đối chiều cao, cân nặng, trí não trẻ - OZ Slim Store",420.000₫,https://tiki.vn/sua-tang-can-cho-tre-1-3-tuoi-meiji-nhat-giau-duong-chat-kem-dha-giup-phat-trien-can-doi-chieu-cao-can-nang-tri-nao-tre-oz-slim-store-p272310041.html?spid=272310043,5,-18%,Đã bán 56,dinhduongchobe
Cháo Ăn Dặm Mabu Hạt Vỡ (400g),99.000₫,https://tiki.vn/chao-an-dam-mabu-hat-vo-400g-p805326.html?spid=811162,6,-31%,Đã bán 1.6k,dinhduongchobe
"Sữa Kid Essentials - Sữa Úc Nestlé Health Science Cho Trẻ Biếng Ăn, Chậm Tăng Cân 800g - Bao Bì Mới [NHẬP KHẨU CHÍNH HÃNG]",616.000₫,https://tiki.vn/nhap-khau-chinh-hang-singapore-hsd-2023-sua-kid-essentials-cho-tre-bieng-an-cham-tang-can-850g-p149253521.html?spid=149253522,7,-19%,Đã bán 56,dinhduongchobe
2 Hộp Sữa Bột Meiji 1-3 Growing Up Formula (800g),930.000₫,https://tiki.vn/2-hop-sua-bot-meiji-1-3-growing-up-formula-800g-p45551664.html?spid=45551665,8,-9%,Đã bán 193,dinhduongchobe
Cháo Tươi Gà Nấm Đông Cô Cây Thị Mở Gói Ăn Ngay 260G,22.950₫,https://tiki.vn/chao-tuoi-ga-nam-dong-co-cay-thi-mo-goi-an-ngay-260g-p180238461.html?spid=180238462,9,-15%,Đã bán 120,dinhduongchobe
Bộ 2 Lon Sữa Meiji lon Số 0 dành Cho Bé Từ 0-12 tháng tuổi - Nội địa Nhật Bản,1.190.000₫,https://tiki.vn/bo-2-lon-sua-meiji-lon-so-0-danh-cho-be-tu-0-12-thang-tuoi-noi-dia-nhat-ban-p53329879.html?spid=167461729,10,-17%,Đã bán 5,dinhduongchobe
Combo Đủ Vị Cháo Tươi Dinh Dưỡng Cây Thị,237.000₫,https://tiki.vn/combo-du-vi-chao-tuoi-dinh-duong-cay-thi-p68909222.html?spid=68909223,11,-27%,Đã bán 323,dinhduongchobe
Sữa non COLOSBABY GOLD 1+ (800G),510.349₫,https://tiki.vn/sua-non-colosbaby-gold-1-800g-p16326038.html?spid=16326039,12,-18%,Đã bán 141,dinhduongchobe
