title,price,link_item,index,discount,sales,category
Combo Tiết Kiệm: 6 Gói Khăn Ướt Bobby Care Không Hương 100 Miếng/Gói,185.000₫,https://tka.tiki.vn/pixel/pixel?data=mC4O4w7mf23Pe4K84wWEruDPAmgk9uv_pjzYgGoMgCCI6DueM7fbZdL1_VV3SKOjhD6QGYrd_AUy1dSO5apd-XhETR5KMoNMkYsey3_NpCJqr8AGmWZLgySxvKP0pSA0XD2oxlJNyaCByCUCy_i0q1nff1qdyU7e3ydOcJhU5URNvNNDKNXsOS-5Yn4JC5guUAM6CvGZxu_ucMVk1o6sv85zcJ7xM4y5EQcebecQ60yz6JdMekdP74ds8g0Tbe9R2_rUP9LeLeSB4uGuUCcQhxjDnQV8IN-xhWEZuABgE34WaobR8qGz9G1kAba8nIVggSf9f7spBqAJa-0c3yacSYxzUEja3TExBZSRMQBi86Nc2qHkNPsmPKnLnBoGgHV2QbGmLtowJte2ksm6zVv4Gf_lc9U8_kqmlYWMQw9aCjTdA6XxyH8a-IJu6Vul3qAFe6QatFDQQWSZMi85k66d3w9dqMLEZVEflhkNLGwKo8j0yX9do1SdtoqkR2Iu2bRnfV_5qfJAagf20joBvHdJ0_2rJNvvj1ahFkG45mq4WRc3R-r9d_LuEYl-M8hz1XeYG6Mh0TOX9RwnK644qBnW0oX0hNSu_SOTihebffdCWN_LRWMlYemzWNplMN_eHILoQ2bqIfdsffr2q3RLy2UlYnMPW0dAXddS_lxOaIO1GCD1CU2TF7pUkhO3Pv-aBXpgZi43h6x2XHtfykGpTUxJhkiIfXL8qxHITsFsjhlNFOFK5Rpo9V6X6UeT5FU5Dzdba--LJgeFst85MbAJaCQaYTA35wZcnQ0DSkwaCpyv-fA9UntalQS1L9nOy4ccs_hq-BAVMguGRKKwSkQ0eh-i0P6pEQMolGpRQ0mb_flz1s41CSQt5350AzE_82hQuCyTeiAqK1llD5s_toTVFZD3Qy0HHHBEMDIqyIrg5d8GPxgWD9d-W-pVs13m7aaBP3xxeqcU6__PMa1zaX8IztDFViP1VYGa6OHbItFoXeSK0bIBQnqSBAc_BWlFywE2Bf8Yo1R9qumBVZk7RvjO66HwBCU30JX1dIgpDa8U1H75e0GFKAZjSrkhpV77q98NpACRg1l1GjpCEnUjLBbkNPW_G10XxCt-EdhFi9ydJjzSxMepDbSgbGS5Civa4FxepzDf-qloiRlVrRE1jp-UKWz2Ze7xdBAn6rKqb1pcM9SAbYM78yHdBBhK4iM9LFvTMFAQ53eauK7DOS1aJ4nN3YsJ-aaz5YLhlJ_652ax&reqid=zjn823admZKvckKA&type=CLICK&pos=1,1,-34%,Đã bán 5k+,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XL 84+4 miếng,385.000₫,https://tka.tiki.vn/pixel/pixel?data=KGp8MOV0pTJZ_Tl00jz_0nHTrOcVcbxvpIMGzwgVdCcRuvi8XERWxWt4LOZA-iNUV962ea2M927OgleKVW_F8reORy37MJ9XiWz_Se4EDmGxMbwDQr2NzXCJzr3TRKNH0RX6XD7lt9DxKJ3TlLsCFCMjkfSmh2b4tx3rznfwDACLuIx31YzzjeAfpi8ghTttAdH3IVhPMCL8-0hpOqLFVdia7JnSO-Mu6kLB1qQLLYBJrQGuGso4883yzwNZWiV9qGWsUCarg45XzDZ2tzknTDNnx9Dgkh57fTzotfNaVwcY9k7j5Fg_jh5t-CdywkFen_GMWFAlTBiVLdAHKLwKXxxdgQBymbG0Cs6zacHtYaB2b6dFDNepAQMKdm7Mu9JPxZy1sO_gEVjexyrH-gyONdXozxJmEYV4de4MR3XEN5OakHxP6UnDd5OCDGMQkK4pk6NyJ2G87zMiIRkkCK80D5b8Fbk2E9BVTxQ2sUPqvCZmJMQbZcwyu0L9EmmlZQsyzmyPvzZUBfYrFtJMYAgoeYQbUUR8X2izCJKCwj4mnq4fNMDr59Ppfsk2hw1IFgxyXLs20R5iqGgoyX-uxUAXkpMWIX40vYL2MvagKy7MsJ2aIjOGyx2hWGqb5aWsjXqCiMmOq8oQX3PwxeeOnRyZ47vmv0f_cbAxr8rlNbNLe9ipn_jzlsXBD3m96Nna4mLXAv0rlQzdCcidznPWP5732xz0MPBtx3rmYqV7PMn9ZepWTyazQ83ub49axtupgI_k13rWFaGaX_vxVAmfvyUFgnNw94p8uEXqpLrbZcyatPqbUv4qAffUvc-lboPggJ-kCN0g5q1yzqAnU5F2wr7AFmoiPCQFF5T_yTx9GegvAF9sHVrempAZY198Kb1vnA2oni-WnSrn7CTUXs0Nb9UEisf0scaYitJBtdznvcq9aqzwWzQOUqiKEA1z5zG9JEjYTThvQFwLYZgJlnAHk2B7hODufplnh2FeEdl7nNuXj6CyqJH7sTjUhr9Wb02x1mFl_reXW9pc1T7pku7LWSyS08EchRMTKCYQAOe1yVGH9OWIv5-qJ5Jh1NUrtZlzsOOXw0Ktq9buIezjNWeOIHwvjpiHT7jifrFRey2kFPFTzPbCTUnK_dzUz3e59WPvGdCK2xfme7uzAUF5G_8E_Mc5Gs-F-zV0jI0ytV_xCLaVUfi4bIabYwWb1jO44ikkr6qtwIn6&reqid=zjn823admZKvckKA&type=CLICK&pos=2,2,-40%,Đã bán 5k+,tabim
Combo 3 Tã dán Huggies Skincare Super Jumbo M 76+3 Miếng,769.000₫,https://tka.tiki.vn/pixel/pixel?data=gF7T4QA1_VPhY4UuPhpXyLOeAn5MSx5S0xmIP7NFBw2iqW6xO90HyGAcd1oEeOSRGI3dzOqgc70fo-jdvhtZAV9Q6oIc9mxnePkPyoKSSmygTMxA4YHtAWAmxGtJ-3RWtg76pWSiMwjrKv-CN5xbdD00kZFzeX2ioIiXU7I1Z6qGfhpOYeZeGIIbGQhl_jmFNFBCdDhTQybClb8ep3tgot5d2eewuhSkAivVFp-tKrrh_FfGAZ8i5hOjCnvfEgdidpGUKG2Q8nuLISqcLZ64XyDm9c70Vi5lr7Sq-PH5TE1D7lV948VW4XfYVzHQgsU0LTFoliHtI46yIVaD-raOjdtW_0Hm4bYwLPI4X9QbYgUNOLQNUd-uEwD6ec71MEK1PwUPyD_fC5LcTpNg52tOAdjreKJgLrEIDwD8NGWlGYpdc-PA8bJnSqTLw1PM-yjHaF9vsQ9TfmGbOJyAxGhFphXOgORHtLR7imtq3wV57sGZ0yF8uqrGkoFdHEKwwAyrP7xBheKqkQBc50GqATojSizwPJAzlxn62TKk5GznSqn396ZIIeZZabJsKvW9OwLolQD6h9PoGieUArAE_2XA4ZDvzSg_NbkNvQbGhCprFwVGhFPM8wdE7XV2MoSO_fsYzzQgNoOpWEi3CzKJxCslrCfcWAVMKO5EDaqnc2lrjX3SEsAvb_XktcpGt-P01iNn3CVm95ruMgXgiKK0Y5oMGjZFVYqTDNow2NS9h2J0v4Lao7n1b59E5xOovIj5G3m98bfJavOQzWd6kYNkEZt6zPr80K1He19eR8uWMDz7qFws0ryLe9JRHIXjd4c5cdLFer60JcwNnqgwQbVHbNcVqP1WQxavHmemrp4W5Bg2lsofRXvGtUqg3bXULKjQLp4Rx-9mnnVorD-xupUCT_OcCMj4u8JVfFPiTCXz5E9oqLbuZnJiOog_6k1KO2DsIv1FNNjKNLmtz_TLgOOcJI8cRl-hKScWLmjuJ1reEr6KE7qk2ges9PCgOO8GQBZOeqw4yxLibuFHTStZMUnK05FEsE1aWhRJZmPQK76lg_GFa4CjC_sZ_rSkhe1zRRf3_PPn7akz71JtRHzNPCCAKm3jFDOJnz3Lap9MWTE6x3i5_bTFovEZHuDKbCzIQ9HKhx2Xq_MWsGnB3I41sy56DOoUuGr4fUtbDRrnS7Lf_ld7aJcJIsI1muUgRcs2_l9d4Jfr&reqid=zjn823admZKvckKA&type=CLICK&pos=3,3,-25%,Đã bán 445,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size M 106 miếng,385.000₫,https://tka.tiki.vn/pixel/pixel?data=Wr3IN4ftujqqeaufQYOUiLpBkzTe7gxkvZAH5xIiHdIMvT8WoiB3pylqQ0m7xWoAGT2nuIBVwRWbh7b_QBSX3_TfQcmNE5yWYeL69uM7kayErtyisTqStJBq2Vufo9PUCGLAoR1uHeiwDbslw-WKKVfZaN57jKD3SFZIABaLpKGly-V70yc7UqYSurQXlcU8Q7EsjnszSRutq711O3MZoOHCcS5IzBfxg_N1k02eOmtzOyAWFe5xWmhPeMYDnb8XdEkh59F2H9oNFVhYo1b-kk3A8QgPLD01Nb27DsjcjS_OydPGbsHuyrO2dFxk3mLLGSHCGxFdJQniMC9Ycj1_ShinbWw2D45ZtC4UCK2mSG_o8C42hyduTyBJ1DpG9LxNi0_lVFJxrk5cFQF_W5N6DGyfsGzuiE1RSi-u2xS3HeEbAqOnDIXVs4DudLWsCY6iUFHMBDGeihv7i_7890lHlTyZ96lgg-ymhsdftKmm5MFhy5o2XaNzdWR6WJWG1XsUjmefssH9z8rhN6Om833NE8a5Cg-9YI02s95WX4igrWiTPECIomc6zyebxglgFezmYAByBlRhW0LDhBaziij4zo1ySyHUs9wOYRNhhtaZvLWCoolcadmecJP76y-43wDi3JLXQCjoi1JJFvEPOoWZhrRJ9hbY8qZl4ZgqQ7qGQpUGo2UzqACOkHIhecrpfv82lxxYSnJLcM6pp9YqagK0RCfMMfPZTMGrsma2s6unA9kByIv6QQOxz8LJ1FMVUXirHBXb_r83pEptZQoutniJPak87Mgnm7BzSUasbeYXvll00OqO0teTDwfQPC4v9OrB7q6RugBee48R7q1XZNMdxEKLOV-9CBIQNNO87o17bDtK-cZpI_8NxcYrnLOFNPeZZ8gnUQfHVWkgrpOaTdsmVzaMTJiZBVOcK3eY_kY7y8hjIJ6lJaECj5wDiGt5lg_7puGpiR0_HXk8RnnOUFbxHZgWfGwArFYhCiZp5BHTRXuh1Sq40ZVMnPdO_JPx8CM93YgPD9Szjn7LXBZx0Ix9PYt8KsWC55e2o0BYm8E5_X6gpU0OuYPe21gi3ZKgQNTx9qlw7nt9ERHsKm6gKyCn8w5b19LDkTEqToKMa84LiigYoy9PpReRKcva83Ztp2pbns7oqcDCM7hSuHRqguVj0Ch62oMHjF2mnNgCtMHfBHOTpvOO2UYEkSRKCYSSzDqN_g&reqid=zjn823admZKvckKA&type=CLICK&pos=4,4,-40%,Đã bán 884,tabim
Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size XXL 54 miếng,299.000₫,https://tka.tiki.vn/pixel/pixel?data=3tESOk0-FLrmxeJr5MlpMV6EiocuyROdMa3vvKp2b6tPuE6AgHGJZqszvYYA07DmOGWTwmYS_rJ1_jD7Xtc_eEgrV87RD308N5M_QtDQMCNroSBOcMm7B6X8lJizc8NUO564-es89o6Jv5AfrfceqFmFnh0f7fMMPWOB_oBi-iyk8hXH5OQZAhKw95sDhPof3Eq718cxuTpmlI5L1kO-lETcC1ptqtJkAUX2mp5s-8tj7Ov3_OV0dqMjobAivMA5R51Xoka6RwQcazjBhik3OkHH3JT8mYRF6APjLb7rnKrMB0_f1y0Ma0LTXCdJlWXJnmFdVeaI0IU5ZLUxRvmYi9kthK2MmhL-P3ZA6TXv4gOXvZKfbNDNSxL9CVcYZnEeGRgycAKYQxxXfO-3e4c-Gmb0ot44NJ9Rchwt5Lr2s_7bOMTpPXmSli26Jhv9X-hmg7n1aRCL_okcEqlKr94i26fNYXSn02tys5id1CletxbDWaZoGi-l4p6q8ScGQkK6jSu1HuGMygwFJLYD4YHfeuYgTYLouwHW7J__inX_Hojz7_wQl2RRPZCRIsYR00OgdvQco6uPKyiK99lz9hqzFSKJI9qnXeabTo0TVvYQ6BadeJCYm-KZM0S9TuHMqawHHu7T3p7cmISHaDYsTbTQ5tzdPMW4SDI7YrsBUS8tJVClEFV3TKtCEOW6P10LFBSU3_y8hIiYsr-WM_KmO6sj6b5VSj1objJqSeUWJwJ4U7kax7DfqB1983LV6pguUkrDEKkKqsAbLJDcFKm0AkzCWy5lV2LCFa-Uk7YcVXveJvFvrgfQPJyYZCQKkSZAKORV5ejzJtE6MZI2U87Dv0Jb5_liqOdcn0B8I1Xwo7BjhNLO3tkGuamE1tg3ksgsAhsHwMf3UOLvUXvrS_Ga7Tvp_lQDymsaMaAEigwPr85_RNMNRLVv9mGImBnJ3gGaByoqFhfManZM7qC6B_yqPxxm7FmLuCW_jRfGZ-fgNoRGzpBe-viHo00TgKtbEk4YmytkklRRu8YrxhUhUGfW_ykj4I1MAzHPJgifW0gy5mxqHkdPh2T9cfctPv3BSDQGFVt5k3OYPHabyTPJvVn5AiHzIKm7uQ7FuMev2eGlV6Tprb8szhbPuTr76vMegcf2zrpziGB1ohn-hoXykKs-W9dkMZ0idIipN_1bxRK-WyBTq62dMuY2zZ5eHNazQFOefl5IIw&reqid=zjn823admZKvckKA&type=CLICK&pos=5,5,-37%,Đã bán 2.5k,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XL 84+4 miếng,385.000₫,https://tiki.vn/thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882.html?spid=252608883,6,-40%,Đã bán 5k+,tabim
Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size M 76+8 miếng,299.000₫,https://tiki.vn/ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891.html?spid=252608895,7,-37%,Đã bán 5k+,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size L 96+8 miếng,385.000₫,https://tiki.vn/thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-l-96-8-mieng-p252608888.html?spid=252608889,8,-40%,Đã bán 5k+,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XXL 76+4 miếng,385.000₫,https://tiki.vn/thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xxl-76-4-mieng-p252608903.html?spid=252608905,9,-40%,Đã bán 3.8k,tabim
Thùng 3 tã dán sơ sinh Huggies mới S54 (4kg-8kg) - Gói 54 miếng Tràm Trà + Tặng 6 miếng,515.000₫,https://tiki.vn/combo-3-ta-dan-so-sinh-huggies-moi-s54-4kg-8kg-goi-54-mieng-tram-tra-tang-6-mieng-p220822718.html?spid=220822719,10,-22%,Đã bán 2.1k,tabim
