title,price,link_item,index,discount,sales,category
Áo sơ mi nam cổ trụ dài tay,159.000₫,https://tka.tiki.vn/pixel/pixel?data=xGrjwm5qk7K_-kqbUXz9nTVTDLWirZmsGn3GmFmO6djvrRcxx9SAwbhtpzaXiCaKBIB0zQ_0WnR-aOS8FuwFyEyG_wcONzRxYFfZpiPrGUvFljuGesL02osje9u9AS1pj6sFczOtsR8Ahk9hDEnWnWl0GaRv935S4y2Ge8g6EHD3ABUrvXaWeN65VKOixrXspypv6tvBIWlRR4xd4TAI6wEDf553s_h8vetgg90ePxLThei4BkiBjniAQqnFSfnDHbQNZ8O7owyXuUTXsd3eAiflTOdbEIz0dUY6h6pOl3sU8Q4aQQjQlfiK0nzTLCIMFGF-smBFBprBWDk3-JOKFGMtpDdVYID4K89ex6KA3tuQaq5T4KO6ZW9c_jCkPiznEht3HVYCUO9Z2d8-VhOanKGKxMBRog9uyC5tx_y9LVA-mFyDQOPsL5yjISE4j7bxfYvYHOIcIgzIrINJO3uBKCHzHIqkK-RG8YgJvupvoe4dthBcMRsnpbsPliMnBbsck4v6QKu5t0sUjEQd3N4gimRx1v2BQdwhwalZ8TDjLQWalZ-ODycieynlvVWgkvTDspXdlbF2tvPy2tOX6lEdLPAwKWiOTpDF3ujmzHPMaFnHEf9YLtnFsJmM8M0ZawlzGEh0vwgMnNlnKVF7vMuC4J0dQWhl3yL130w8is7PxkO3A-KJEKT7bF06t6tO7esCk9QB5Mg7GwHz4ahzhxZ0f6x3YyOxM1pzYi9W1QJCFsLzCShKcQfqLXc-FLBF8Tg3pI1QDzbkHMnIG4Fdp4jJja-NgE2dfj_0lmm8-t9Tr0oEMLqDGcuJPTZlfDrY0jVKP6NY8ufR5B5YOTBpaGZtjK9JDpFSLR3HHYwDsXtCzP9plD3Bi6kfS3cQrhx3bfxYHNmqs9K-9Hp1J_aBcPZOhJLaaBX3xXecHyXQpdGBw9GGs-2RIZ6R2AXyMwnTaUjS_L6KtD5-g379QsNTPAPZc58V9_nkKw0dctWp9J91Ih9f0jygl10aM25WicapXdmIsrIyEaJNdKkOjFhVVRKb1GHnWPqRU0xSGGpmfGGew6CT1yL2WVCJ4otANX6X1yBxG0fRd8O8u5GA9hkvrmUgDT-KtMyJowzPsTwg5nuoRlrgxdcgvyQm1g&reqid=SytNGrDvIRSIWPfQ&type=CLICK&pos=41,1,-35%,Đã bán 84,aosomi
"áo sơ mi phong cách Hàn quốc cực năng động, phối màu tạo điểm nhấn tinh tế trẻ trung - N28",211.250₫,https://tka.tiki.vn/pixel/pixel?data=gIpmLFzF9qzZsZk3vSjqahd2SIlFZYMfgpfgvZshfUdscneVzTq1mRq4SFXghEWlNE4_tpAXpLWNi1K8Rjn9wuQyDK0jw3_91swXhouDSIOfjGjvtDVnyaGUtFfbTqwv38u7GIM1d7447RiywDDGVS7G7c60UrkuqdzXIwPF-8IPzQQ4G02AQnTJ0CWIQDMmh7ZC0Q7cmD0SXILMAM_Qq_KVJQj7tZIONFQWLArxUUqfEIBJIc_XnnyI9GCZt7OcJ7vOZXywYLU4NT4QG-nKhAU81Wn5Znlufgw2D72qr2GmgulG_XOKaEyQuq6hsuolqmafOjDlK77B9cwitEl103QMUyWRMTlzsQh6BjGQIf7Ev8ky08zsaZozBoQ57MuFZJVWhxEPq0OrqiNew7-kjgHDtXkvAk9ahh8hEwUmjA18CNuhSDMm6QGI148e-ZwnqG5BxnMOWgl8LJezErRzwYCl142fJ9xzD4SrcidLDNNE-aruwe_d534LntCnxL_qncUX7Q_LaCiaGbP91qlENfwN1-qusXl8fcBEu0Fy25Lqi-gP-iqDDHziNWDO2PCNWhDUjGiFl-PoF0Qgizwq5-PE2jpII0kF_bbayvI6_QpV8PEFMuCaviHrFtKiJWUUt4LpFFsF3gSQuSzfHzviortBpKw1gl2gYt_zGf7eW-Ymw4pUeRZYjZMTsnfbZ-AU2UCJfvMs7sYMXaNLqmpiVkDRpSrNZyZPiPOmDVrqQdGewPXGe9d3_D3PrWIB954xlblskzS2TlEtFtiEfoF30frwGK4sEq45UaP4SooBP6Y8CNspohShsbahWtizjJ1MqywurM4t1Fcqdq7IIJZ-WLxMbvc22W1NnS1YLTf_A9b3kMLgnIlnHAxCOq-6gYJwnajtixqIiAGPHGZZvDXKJdEn6JnfFyzJFta1uC09Kv-VmvuQxLE2TEsq__OMa668MMU5N11xeAdr03lXgBwxId6sTXrMK6_1pvQh6_Ti4HNOEgFft3WYGiqdh-eQTx88-o8U2gqee-fT9gryJ6LH_5HgQY0culyf3OkQ6LtiIeyWtIV6tG46DpwKLibR7urDute-Fwv3SHVBtxTuRTj0SqNC9DXY1hYab-TS9LcPZ3el5gfff4tZR5MqjK7ghXA8bwIDZ41rMEu4z_kWRpi4aG0EObVbZwIoUu8AQ5vM9g8KaIIefSw4ZnlfKMR1c-E&reqid=SytNGrDvIRSIWPfQ&type=CLICK&pos=42,2,,,aosomi
Áo sơ mi nam cổ tàu kẻ sọc thời trang,159.000₫,https://tka.tiki.vn/pixel/pixel?data=JV3oZvIxk-XYFE90JVkpWUXqv059Jrrdtw88CWIH_OZ1jA-Cag7oJ7zaKepplSN7VGfAj51TwScSEpCDpqXHG_1qDdK090H-RBRWsRD_fBicIemTXfPGlLHqxtgDgRM-rxD5uQWBrLqGvbTortx3o28VDBn1YWGWlrqtAe29JP03AzRhI9J_SdfTsC_7ClPwfV9yPGu447Q_xYMiuBSMsvGBtFeGZAL6Y4yr7HW6QExrpYaPBn1bqTYLbvjfxuwK5fFSvtFYOmlgj2M5QA74cpWtup7kSk_3MpFUWUavspqG9dDc2T5uJwQtMTCzoM2z4id12AZPUlFdvm2xdplb2X2l1z7nGQxttzaj6FjY7yd9rS-h2DjPjFjUDgmqsnAcifUzzCOxfRqN8f5a-6xse24PxyBWeMUQ8fW6pvtUVb-0SgQCdlOzW94nfn5yvCjb3_gmV95HC7e0mvx5Svqd3xhNhjTedE7fuIQ0wNrVo-ARRsMqf22_3HdvrEIcUahgxw48DT4IB1kn9flGWFPBH2uBknwx7oN3LeujBSu9F1tnP2FJbGHU8faHqynbdb3Kiq2vCea7ogtLmXzkzyKCviIocmtvwWxTpsNnr6_7y_zW0fqD1dZMIaMopFKBY11WYu6m512sMlRSXlC5YtUvMdow_4l9bWfShP5E9wOMo1gr_wPUQ4kujR31oSFjomsHC3cusya6WUUvL8cH4MNg5UxMBKEgLCRvaKsfHYViWvS2RqGUrZfogb4S1x0GBVDSQbXK0w9JTfuobkUe0lSUgGgzZm6T6dMTtOoRpKIZdWrFyQJLNUHYabAIFkoEQZ8rmMKN7Qs6aijTFUzOkTqIlK6LeIAZeVHUymfVzYxmuziMZGP6JplS-IOYPA86NLl5mswSPRNoucjYAdIQMdbwER4swxMOpG-FTCDVTA00mwyW9vnX5qoZvtmM2Yz8SaBt480ReJuLMnUpWyI-y8OSIZ2VxlJrEL3_Eq0a14xVPkzmQMNg-xlvpps-Xz1Qvv9_e_P1O-Soui8soaPTIu5nGeOZ07cxZlnDnmSaF7SuXr_FHw-UMoVtzVnQm56RvAYpeYlLZjHVosuVWPcJEKS5kMmU45pStbnFZ2ZUII6udwlDVU-dVYrAi69f&reqid=SytNGrDvIRSIWPfQ&type=CLICK&pos=43,3,-24%,Đã bán 33,aosomi
"áo sơ mi nam phối màu tay lỡ phong cách hàn quốc sang chảnh cực ngầu và tinh tế, nam tính - h62",260.000,https://tka.tiki.vn/pixel/pixel?data=HUKcry64tblKBaLBWjc_VUkwrA_HkOSiGN89i4MAo1hxBCs5n9y0-lZR-ghLHyAP7dyFpOwG71dx2y3Ma9tIGs8is7YJodAKbRPgIxZ_JqTtedIa7S7Cklf8eh7P5gTu2MTkMMZnbefSvvCsnGXF2jbDcx586Yy1Zq6r_YXh0bq7PTMLdSlXnWyc3HKYAzp9uS3zySjwzBy5hF9puxKkhq99JKTyQo2tvBAT7M7oyduwXqkGfD79histYE7OrvVp8K4j29M2SbTXVsEf6lG9rAI2Quf9LoSY_7EYjrF0EuAlPIG1LliRSbwcNpc_CPoNF70EKLWAS5_hMHcrWvaierkPEXp4EtXLsnhRPe75dPfEUbD_FHvJvG13_aRfk9ecpEckmt3ghHCdA_854TY4VJLQyctsocUzYjsTDXTYmwdg1cj0cT7xDfBBtXoLLObNpVnM4q58pRsxobXZ8AFgfpRdNBIAWgP7E4NpfgoAjwWGoYOcpayUoGCYh2lLc6r-wDnGa0n_IBo7Fnj7Gu1x8gv0kz5PkkSv8YDcS6cgM8IaaRSMtSrTcCXgrngF1WRYw_lUmGiAWEQyIU5j_bR7Ar6p0g2IznJTMvtM2zNZdZlF5SWzqO2LhC90holndQEW4LH_kY6FEpXwTpSSqqNG1iZ1nzjQrBYPtHHd2mXh1locmsatVdo4HG0fypqCrTHplAjV-G_Dkux9fJoEUkbXAyl6GGbCBTP8W0b2RSVj3snRnV2MDpPjqI6YatkuIpZmu2rLw1RIKHyeaDiBlI0FS67yYIQLdngPzWiX3JbsirSt7dZVvFqZkPH68VTbSfEI5XogZewSXMddMH2emOOPa9Y9b8jiXT82rOgzJ-oiuoq5fjhRGxlZrNWMbpHuUQzsArOKj3AfuzJu3hKGtuCjTwLnXehIacCjBkPCnAQkJ2lTUZUiaDSTM1JOcrSj7VR-hqBVrTKcctc2igCI0WvuBLAlSy_zO3XJb19ngPloj0eu25GKbSZWV_J8pAT_sZn0CA_n_GgPShzGYSkC4MN19J-a9JChIIhLMvkFBseJO2mS2ZQfzeGHWaDh38vanmDlaxPbA-6cwAIVSsxp8gCPUiutmekWu7QJyc82IQXLw57zyNtNbt7JvXit9amsdEutugv3rm5MCnAS4uAxzMA_ID8XTLoX-2dVVcPG4aO5PXC2Gz1dM0EGs-bydZVaCSNPos9HtQ&reqid=SytNGrDvIRSIWPfQ&type=CLICK&pos=44,4,-18%,,aosomi
,,https://tka.tiki.vn/pixel/pixel?data=wzeVemRdLSJ4JDiDOuBXZOIl1yhcyHg9GNe75hl3ZDeGekq8jCgJFxVGphNAW_Gd_Zp-lwMYhxKFziRUDHEujP2gJXzToDXuecOkNidy384eljDG5ATrd-aV9n9Ve-x7IFeNiXzfjzDwX9HNsyUY-4FZPz9bLKzGM7NBCkWDFAXd7AKCJ4OH8it9lNLA1V_9OxWsZkoy4HboHZR_FJmQpWCRgE6AGpwH8E8wQfXJhbaqbZtLdB9s9HXVaDP8S_nEJlnFQfDGrpGLwpBzXykx_rTDS7K6_J14c2fpm930OpqQFI_T2uM9RhgbqHaGl20lWGtR9YvjGgTPOlyN_I9t9OjcdXaRP7_DKUhcGGdGSagv_hAlLTcGKxo6AUG22z34_bYrvg-qJhdVjdrhCtvAO7sPhiUtX6xEMW6HNdo_EacSfG_k3VRyn3N_Y5N5h7oRXc2bRlDx4JGXrTLlWsERmhfXQ7yK3Bk3vr9LykBrHxSsBVMeeX8K_FSP6bcZkI41_bPa9e1BQUiImYX0avVbTq2W5kjEONp11PTckFrpSClt6-BnpLkB1EHKMJsLRL779bnSIldJAHUELZIWceYAb47C0UeLDEVtze4spge7AaTR3uPhO2N_MHJX1NMUf7UA4HSrCxf3MHl943jiNinD06VqPFsjWXBQjNWD5gvZDXhI6j-jbLRWSEvozqw8yEksP3SEacxK1MJH3_0kNOAXFQMljEdlfc2R9o5VfQA6XCtmGtxPzxV9Yef6WSmjJtAeXSKwn4frmIiYN5HB3znpNQqEXygDXvEaFTbyVbTyzTmh_cmiqKu8qQKyyExLdzVK1aors2Mqcn52Ul026s1CCBIaB56C7PwvUVT9GFlXsEZ5gr_jiYOIfSV_s5soXBHO24csrLfwD3CKuXgO6z0liREbHYW22Ji0Dn7XjezrfDCCA7TiRqe9Prky5l7X5rCYGWjJjPReGOo8UQbZs-kwd8Zd2cpmQuZl4P5ptxq5akYmydQMKoMtWYdvhasmqtRbgyDnL-WXPoRD1qejuHzATZAtwNuUyjhK--pw13eLnXsAAM5b-wi6b-BDNnKPIWKgTeZDwQBpt-E1wxMgUihAV_ClGxxb-tMtvZn8nt14IXpBGj16G7OO5I8Km-YZX_4ukhexqqDIORq828I&reqid=SytNGrDvIRSIWPfQ&type=CLICK&pos=45,5,,,aosomi
Áo Sơ Mi Nam Công Sở Trung Niên Dài Tay Thương Hiệu Anton Xanh Tím Than Họa Tiết Kẻ Caro Chìm – YAT201,325.000₫,https://tiki.vn/ao-so-mi-nam-cong-so-trung-nien-dai-tay-thuong-hieu-anton-xanh-tim-than-hoa-tiet-ke-caro-chim-yat201-p163877262.html?spid=163877264,6,,Đã bán 8,aosomi
Áo sơ mi trơn tay ngắn,300.000₫,https://tiki.vn/ao-so-mi-tron-tay-ngan-p20991311.html?spid=20991359,7,-35%,Đã bán 38,aosomi
Áo Sơ Mi Nam Công Sở Trung Niên Anton Somianton Màu Xanh Lục Kẻ Sọc Trắng Ngắn Tay Sợi Bamboo- XNC141,265.000₫,https://tiki.vn/ao-so-mi-nam-cong-so-trung-nien-anton-somianton-mau-xanh-luc-ke-soc-trang-ngan-tay-soi-bamboo-xnc141-p199104746.html?spid=199104750,8,-25%,Đã bán 14,aosomi
Áo Sơ Mi Nam Tay Dài Khatoco A1MD568S1-CNIN066-2009-D-M - Xá,289.000,https://tiki.vn/ao-so-mi-nam-tay-dai-khatoco-a1md568s1-cnin066-2009-d-xam-p20525612.html?spid=20525615,9,-30%,,aosomi
,,https://tiki.vn/ao-so-mi-nam-tay-dai-phoi-hoa-tiet-cuc-dep-thoi-trang-phong-cach-p263442270.html?spid=263442284,10,-28%,,aosomi
