title,price,link_item,index,discount,sales,category
(bigsizenam <130kg) ÁOTHUN MÀU XÁM CỔ TRÒN BIG SIZE NAM,255.000₫,https://tiki.vn/bigsizenam-130kg-aothun-mau-xam-co-tron-big-size-nam-p179164529.html?spid=179164663,1,-17%,Đã bán 1,aothun
Áo thun Nam cotton 100% cổ tròn Basic form Regular,189.000₫,https://tiki.vn/ao-thun-nam-cotton-100-co-tron-basic-form-regular-p187795166.html?spid=187795182,2,-5%,,aothun
"Áo thun tay lỡ MẶT CƯỜI trước ngực dáng rộng unisex ( Đen, Trắng )",69.000₫,https://tiki.vn/ao-thun-tay-lo-mat-cuoi-truoc-nguc-dang-rong-unisex-den-trang-p82742697.html?spid=82744072,3,,Đã bán 9,aothun
Áo thun nam ngắn tay cổ tròn vải tổ ong cao cấp,198.000,https://tiki.vn/ao-thun-nam-ngan-tay-co-tron-vai-to-ong-cao-cap-p177660554.html?spid=177660576,4,,Đã bán 4,aothun
,,https://tiki.vn/ao-thun-nam-guesst-chinh-hang-xach-tay-my-p207280533.html?spid=207280537,5,-10%,,aothun
Áo thun nam ngắn tay cổ tim body phong cách hàn quốc cao cấp ATN06-Trắng,208.000₫,https://tiki.vn/ao-thun-nam-ngan-tay-co-tim-body-phong-cach-han-quoc-cao-cap-atn06-trang-p83518183.html?spid=83518626,6,-24%,Đã bán 4,aothun
Áo thun nam ba lỗ cotton cao cấp thoải mái FREEMAN ASF202 [Combo 2,226.100₫,https://tiki.vn/ao-thun-nam-ba-lo-cotton-cao-cap-thoai-mai-freeman-asf202-combo-2-p90483655.html?spid=90483670,7,-21%,Đã bán 6,aothun
"ÁO THUN COTTON NAM,NỮ FORM RỘNG,THIẾT KẾ HỌA TIẾT NẾN ÁO SIÊU NGẦU",79.000₫,https://tiki.vn/ao-thun-cotton-nam-nu-form-rong-thiet-ke-hoa-tiet-nen-ao-sieu-ngau-p114334732.html?spid=115202362,8,-37%,Đã bán 1,aothun
Áo polo nam cotton cá sấu phối tay thân bo sọc cổ bẻ tay ngắn PL05,220.000,https://tiki.vn/ao-polo-nam-cotton-ca-sau-phoi-tay-than-bo-soc-co-be-tay-ngan-pl05-p122829284.html?spid=122829301,9,,,aothun
,,https://tiki.vn/ao-thun-polo-hang-xuat-khau-form-quoc-te-bigsize-hang-cao-cap-bao-bao-store-p97057130.html?spid=97057138,10,-40%,,aothun
Áo Thun Nam - TRẮNG - M,69.000₫,https://tiki.vn/ao-thun-nam-trang-m-p22835204.html?spid=74326063,11,,Đã bán 31,aothun
