title,price,link_item,index,discount,sales,brand
"SET ĐỒ BỘ NGẮN THỂ THAO NAM THUN LẠNH COTTON ,THIẾT KẾ SIÊU NGẦU,CHẤT LIỆU THUN LẠNH THOÁNG MÁT CO GIÃN THOẢI MÁI-THỜI TRANG MÙA HÈ-JINS STORE",98.000₫,https://tiki.vn/set-bo-the-thao-thun-cotton-nam-hoa-tiet-sieu-ngau-chat-lieu-vai-thoang-mat-lana-fashion-p118588683.html?spid=118588792,1,,,Jinrinteen
"ÁO KHOÁC HOODIE NAM CHÚ KỲ LÂN MYLIFE HOT TREND THỜI THƯỢNG,(Hàng chuẩn đẹp) áo khoác dây kéo bomber đen - hoodie kỳ lân đen - hoodie zip kì lân nam nữ",122.000₫,https://tiki.vn/ao-khoac-hoodie-nam-chu-ky-lan-mylife-hot-trend-thoi-thuong-p118593580.html?spid=118593596,2,,Đã bán 1,Jinrinteen
Đồ hể thao Nam - quần nỉ phối sọc phản quang chất mềm mịn co giãn bền 2 màu đen trắng,84.000₫,https://tiki.vn/gia-re-nhat-do-he-thao-nam-quan-ni-phoi-soc-phan-quang-chat-mem-min-co-gian-ben-2-mau-den-trang-p117153963.html?spid=117154007,3,,,Jinrinteen
"Áo khoác varisty lừa chất nỉ cotton giá siêu rẻ có video và ảnh thật, Áo Khoác bomber bóng chày basic nam nữ form rộng khoác ngoài 2 lớp dày dặn cao cấp, áo khoác hàng chuẩn bán shop",115.000,https://tiki.vn/ao-khoac-varisty-lua-chat-ni-cotton-gia-sieu-re-co-video-va-anh-that-p162832755.html?spid=162832770,4,,Đã bán 1,Jinrinteen
,,https://tiki.vn/ao-khoac-du-mau-den-di-phuot-cuc-chat-p59278008.html?spid=59278014,5,,,Jinrinteen
Combo 2 áo thun cặp phản quang (1 trắng - 1 đen),190.000₫,https://tiki.vn/combo-2-ao-thun-cap-phan-quang-1-trang-1-den-p64020015.html?spid=64020016,6,,,Jinrinteen
"quần jogger, quần thể thao nam, quần nam dài, quần nữ dài, quần thể thao nam nữ đều mặc được, quần thun nam nữ, quần thun dài, Quần Nỉ Phát Sáng Gối 4 Miếng Cực Chất",99.000₫,https://tiki.vn/quan-jogger-quan-the-thao-nam-quan-nam-dai-quan-nu-dai-quan-the-thao-nam-nu-deu-mac-duoc-quan-thun-nam-nu-quan-thun-dai-quan-ni-phat-sang-goi-4-mieng-cuc-chat-p76401950.html?spid=76401951,7,,Đã bán 8,Jinrinteen
Áo thun phản quang 7 màu in hình cánh chim,99.000₫,https://tiki.vn/ao-thun-phan-quang-7-mau-in-hinh-canh-chim-p58471537.html?spid=58471541,8,,Đã bán 2,Jinrinteen
Áo Hoodie Nỉ Ngoại In Chữ Bloods,99.000₫,https://tiki.vn/ao-hoodie-ni-ngoai-in-chu-bloods-p56689563.html?spid=56689567,9,,,Jinrinteen
,,https://tiki.vn/ao-khoac-so-mi-flannel-co-anh-that-ao-khoac-hoodie-flannel-co-anh-that-p79193003.html?spid=79193005,10,,,Jinrinteen
"quần jogger, quần thể thao nam, quần nam dài, quần nữ dài, quần thể thao nam nữ đều mặc được, quần thun nam nữ, quần thun dài, quần thể thao nam nữ, quần jogger nam nữ",89.000₫,https://tiki.vn/quan-jogger-quan-the-thao-nam-quan-nam-dai-quan-nu-dai-quan-the-thao-nam-nu-deu-mac-duoc-quan-thun-nam-nu-quan-thun-dai-quan-the-thao-nam-nu-quan-jogger-nam-nu-p76402270.html?spid=76402274,11,,Đã bán 5,Jinrinteen
Áo cardigan nút bấm nam nữ mới về,99.000₫,https://tiki.vn/ao-cardigan-nut-bam-nam-nu-moi-ve-p74330759.html?spid=74330763,12,,,Jinrinteen
,,https://tiki.vn/ao-hoodie-thun-ni-ngoai-moi-ve-in-chu-rhore-p73490708.html?spid=73490710,13,,,Jinrinteen
"quần jogger, quần thể thao nam, quần nam dài, quần nữ dài, quần thể thao nam nữ đều mặc được, quần thun nam nữ, quần thun dài, quần thể thao nam nữ, quần jogger nam nữ",89.000₫,https://tiki.vn/quan-jogger-quan-the-thao-nam-quan-nam-dai-quan-nu-dai-quan-the-thao-nam-nu-deu-mac-duoc-quan-thun-nam-nu-quan-thun-dai-quan-the-thao-nam-nu-quan-jogger-nam-nu-p76399699.html?spid=76399701,14,,Đã bán 6,Jinrinteen
áo khoác dù phát sáng,99.000₫,https://tiki.vn/ao-khoac-du-phat-sang-p73473267.html?spid=73473271,15,,,Jinrinteen
"Áo thun in bông hoa chất cotton co giản đẹp, Áo thun nam nữ in hình hoa cúc dễ thương, chất vải cotton mịn đẹp",95.000₫,https://tiki.vn/ao-thun-in-bong-hoa-chat-cotton-co-gian-dep-ao-thun-nam-nu-in-hinh-hoa-cuc-de-thuong-chat-vai-cotton-min-dep-p81851148.html?spid=81851151,16,,,Jinrinteen
"áo thun phản quan hoạt hình, áo thun hoạt hình, áo thun ulzzang, áo thun hot nhất, áo thun tết, áo thun nhóm",99.000₫,https://tiki.vn/ao-thun-phan-quan-hoat-hinh-ao-thun-hoat-hinh-ao-thun-ulzzang-ao-thun-hot-nhat-ao-thun-tet-ao-thun-nhom-p76258872.html?spid=76258874,17,,,Jinrinteen
,,https://tiki.vn/quan-the-thao-nam-nu-quan-thun-lung-in-hoa-cuc-du-mau-quan-short-unisex-nam-nu-quan-lung-ulzzang-dep-quan-dui-nam-nu-quan-thun-nam-ngan-mac-mat-p95063635.html?spid=104612469,18,,,Jinrinteen
"Quần short Nam Nữ Palm Angel Chữ In, QUẦN SHORT, ĐÙI PALM ANGEL-DRAGON, Quần short nỉ cotton Palm Angles đen, quần short thể thao dây rút thời trang cao cấp, QUẦN NGỐ, Quần LỬNG, Quần ĐÙI PALM ANGEL, Quần thun lửng in chữ bao đẹp",89.000₫,https://tiki.vn/quan-short-nam-nu-palm-angel-chu-in-quan-short-dui-palm-angel-dragon-quan-short-ni-cotton-palm-angles-den-quan-short-the-thao-day-rut-thoi-trang-cao-cap-quan-ngo-quan-lung-quan-dui-palm-angel-quan-thun-lung-in-chu-bao-dep-p102519704.html?spid=102519708,19,,Đã bán 5,Jinrinteen
