,title,price,link_item,discount,sales,category,revenue
0,"Áo khoác nam chống nắng gió thu đông Doka (DBLS102) chất liệu dù giữ ấm cao cấp màu đen , màu xanh đen , màu xanh rêu",139000,https://tka.tiki.vn/pixel/pixel?data=0v0nq_Aa_fgdxgpbAvRQo_SqJCbSx9OquNY3eEXuqX93PwGcP5lwvsLqTZ3mSiRLqbrytTRNomRB2fgI5q_tPRTbEZq2yWS9bsC7iqy_P2TqVwalK72DVnkbKJNZ406_HYS2CRg3QIQe7f-JcaoRXKR0s4dJE__OueVhmtXzSL6F9vRnYewFzIdYnnodPSbyzaZMGU2J6poTa8EazDmVkBD_FvFw3DVkSpanBM_tVaoHym7EhR2ifqLCgYwAqs25bZ-w98GeCpqNcgCoMrVl36d_t8el6vK3OdL55RkhnSamblwPpGQW79SYzjoVhy5X4zOLvwBsXHyoXqqbj_6NESFreLLkpT2YYxGk4cg6IA6z_APiKYM3S3Bl8p1G7BhjxatXaEG22D2tfQ-Y_6CFmS0imViUXMlVbI3wdXVRcsGSRS-Xg-DWT-bzy9M0a8I8ODjfBbeg5ALnebnV7oMU9QdokJVCOYTLu-eQm8sZdXxdEnQyMEqQ0FA10MwDi3rRwviBqQZo59tBfDrqWJdzlS_xTKZ6LQUFivS7rwOd3ENvoHaioVn6wrh8RYqBDILgIGTIxVWhEd32tNCVXUQkSZLsS4VsVdelITLf_BV1CXFCzWXGEmTyOFwjUT63uBexwMlgLr2n_kLCY-HnYzVio1yjs39Yzr5e4oG2w4CyxVQDlhWFyaGKuPaGcn6-6v8KWY7Mm_V9vwag7nr0NvKIsX9KHzfhxda3tB1hVSjXN37thd2Zby5bBdWyc5PGiiCQjEdYtEyqIzFyReMe1wBZVoIBKHgz7VhOfORQQLTsV8eW_u980mfzTz-l2bWIvuy9RhgRscqzjf3LJfyEwtMcmthSlpaQEWgutKAuxZrvA-B83SHzwKMOs28NoQ1lOXfX6J-L9aMGzJdJGFLq2x_6h0tuxwf5UWITYvBRqGAjkL5SG5uUc0uPmzjv8fSqIm0pepGxq84K6lNrPTHhklzSTMHOYd8Su8QBxEwquKD7Jm7omLKJb4DoskqdrSN21pAwIzNxNIar0Pzol2FLEV2T9kyRea6NitQfiPMjNOeW7oleEd1uBQN_gjjF1gz1a3wJr_YIiybP0bOjkU85PVMaGjidQCZCYFwJl9J_y-KrOS3EA-VQXd6r2Z_jJlnKe6otlnk8jd1CJ7nkqmj0mVnBSwz_&reqid=f0qjNZIZgOuRRwAO&type=CLICK&pos=1,-39%,913.0,aovest,126907000.0
1,"áo vest nam phong cách Hàn quốc siêu ngầu, trưởng thành và phóng khoáng, năng động - H60",357500,https://tka.tiki.vn/pixel/pixel?data=DAu8ANgE7e_faynGww-9usbljiYiPNEP60qaQ4bp8fz1tbmHe0tqB_I1U68xZV2gVGEr09zoqa_qoHy8xV9RTASwyG_YnXwNaNWT4xoyLKe_DuH9TRPk-0RylWxwNfasoAaq2nFXkSCU13bEolhzrvN0Ob_njri5Ji-ILmRlcj_9KARp61MrpndJaSRzNfWLe6jye_ZiYmAwpTm3kEydNqmOWlJFaC2inxsqbSOqeICItMwvt2ELxKISzt9bbdR4Ao9HS1wWg0-Olcv5QwZpogfijLqn2QHrNnXwutoVJT2AiJylZvzYJQVeIyVbtQzVU3x4WdSRPVQF-NQExSMnIP1UDPtGCi5TJTmiy42zYHjzZc8U5S_PhNDn6XUGRqhqQiwY8axIQZMtaU2zTGq_0mUk_a3DuVO1GF3Ez8dkS_6yFs95Dm7X7KlkHLjbE1W3CPfo8GKFmPPWNCxr4FgZckJ-dBFFDZ2QJU768A7ykNs3aTond0j6xxR-8b9nYWBS5dfqu_1TUc2wQYAA4_ti7V3hl2VMTdcE2o_-WkoBFPqs4VFJb_ST45TXJUTqfeX4isNKzX0z0C-WM4jWCTYB29zl_Pa4gE6b33sAla74x4TdqLSZq5Buz6tKjolkUivRCqVgjTYu1YqyvQ0qpkyKvbFvDsMUEKbf-71D35RSbh4_03W51mvtkDATk_qH6EiWSILndKIjBuZDqhyoJupleiMukBV7bUWyebi3XJQsCmqvui9genhrZjwWJ0T5unkt3HKBQS81BBBEeFMELZJf_6Uc9EoQmgVYgijGnIH85hSKyEFstHIwysSF3EaIFjkWGQ7o9UyY1OolUh1FnBkX6khpNbUHlx6CTK6vP8c5FO-ybrNSezKksihShDMHJJ181dftvkO_lPwZNnLFC2BccLEsqYxKuwrvNsrmiqSA9XigCTqNUiWzJ6tWdB1jhQIKzCVUDoApwKC2jmpfqXIOiQsJPl66n43iXf7e7RUp0tbGPtQYNTgC2sJjRE9SWJ27Xuj-scMj4If63lDzZBDnBqWhwb9Kq9JfPwV0EUAk-S064fVoOE7o1LbuK1f6I-a7nBhSp_y5egYh2UDt-1tVnr5MjtkfaVSimyY&reqid=f0qjNZIZgOuRRwAO&type=CLICK&pos=2,-35%,12.0,aovest,4290000.0
2,"Áo khoác gió nam nữ Goking, ngoài vải dù, trong lót lưới. 3 túi tiện dụng. Mã akg.goking4",225000,https://tka.tiki.vn/pixel/pixel?data=h5tD2UO8fu9F6byVX9WW8BqVUYh6bl83pvwSUG5z-mtC1oguJG_NCQ9eImbz9zyWgy9-Uh5wE46F110niPb8esPpq4Er9SheYJ7qKkNB6305UtT-CndARqUjNn1TwSEmdMzJDJBjPKlypIW-5S7A-qEuEduYLQgR--8BOzlHE8INcjyBLe9ZrKnxYINcIdoN1-We-9d8Fravf12cLAHDEBRZU6Lp2d1hXNrzlbolVx0OVkGigQFl4X2qofdLI27TZXtRqCMSeXx1uRqTHPPsHhPsUBr7DPv0iXl-0pUzkw2DTRaCp_yER78kSRa98t1JPnRMimCRox2jHiYt3kPlOlAIkyjIq2zTIyHM_20Dr3ZIbkFBhvJ_FtHMOfLwGWP7fGB4Q4HXk1h7-Fczqf64yDchkIsSCtAEV1NQo9YE0upUQjm1VhTduOzfox4ODjdHIcjf_DWOK_rXFqFN0UnrlJvP4L907J89Nm0A92ogQyc44iKfgaJD0qHfQYAZ426TN555FAtF1nFYQf0R3A9rjJ7PGACKClhB9qtSKt_AUGqvcbDf0FgwQA3-5Ar5Etl8xSmUqDnzNJpiQ-xE8Md1Kt2Wcs74VC6zZZWZ-Lqb5jPnmOeA7XU4tSkp3hqGCBeagHVCETSQ53R9I0_7W-KGPKvbmBSVGxxKBs-3TGvhS2pD3xhdeuhXK3Bmp5eaRk6mP-4uKVkwsa8RV_nF3dAULMElH_VhNxY2VdfYFC1TeSvd7Z6sf8mWLx_RvtJDS6trU0T-SbFi-K6hf_9h4_vazsQuDrVt6WYItNbGIcB5bUcpKao8QY0xcfTa9HtYIQaAwCgAxsJnM4J5PCDlyEI8Cufv55KbJsVhp9bZ4NS33RdoBDg6uVquc2x7zCbooJxHyv0mpADy3dT2boFaunne2H3kj3D_StDmhbJpFaSTlEDQM1P_-LTsDpeJSEvkulSCxQc3WllX5dVQL4h1XEqtyQbGRB5sKB4uycNAasu8VNjpbTxMuPtAHNTnTyeUV8WQz4Ca4aDJJDjEcfAsiC8Qn0FTvNIriJ4grZGvglWv6Kz7irmhgNMe7ILHDtuTdDzXU_-aHAOoUBGdYJjLfMgfvnTw0mUuHWdEKAxYNv8F8a3ivk77-Uekbp95jCndTX5wPAKiXUxtlpzZfq3X66B0JOflOnHUmP3z&reqid=f0qjNZIZgOuRRwAO&type=CLICK&pos=3,-48%,137.0,aovest,30825000.0
3,"Áo Khoác Da Nam, Áo Khoác Da Lót Lông Siêu Ấm Mùa Thu Đông Phối Khóa Đồng Cao Cấp Thời Trang Dokafashion EZAD28",299000,https://tka.tiki.vn/pixel/pixel?data=QttZczGLFvAsUweJ3sLcAfUbdGZ5G-C7UiQ3Rj760FO5MerLjXE9_009oIfun08GRWyKKcsPLtJe96k67LdJTvZAfZotE-1ijPdY7AIgwIBjyIXr-Tk2_i5osI3a7DCs6owsUomxbUhWbR8HxfiAgcrTVEfpUadIvnYXM3498GwFFfmV4pxHik6JGys3mVRK7bJt9Q9fw2VkuvSN1B2oRZEdwKm05CggnOrGvHKb2reCPkEfe_04Xaz3MCkVjuJZbhzEz7qT2vbDSYU8CAPUc_4e2-aeoI2gja2XjWImyEaMy7EyaILajPhtlmZHaQLCW_zTmzulICIhP0s10hMxfqzwZC67RZ3xFpWiouL02elSjyoa-C-_rdQhw03eXpY9rb7o4TBWzXA3SHTQooqlTCmdZ8fdWlb1wByM_fVy5wjAiKiKc8m-VjTogLiKx61G8ezbv1dr7eG4g-46YabpPAqRMSb-IOfkNJpY_Gt86o46cV4IACR4jE5Q5UAYNum0S1YiPJfd3r1FoX0xo-eqOOsmrlmQxLzFvXDkiH6CFTaggs8UDTmyKP1F2kwWGCniuahnmLsWZOZuhaD4axsNqzS3vQTkdttmLJOoJCvrt6lLhI7UZWnH4zaZxp0L6EEwZbP38Ohns7uOS62TGymFLivCN5mr8h_gnuw9twOQC9WEocMSI4CnHZgwxaJAfKlaZljaKs6yiPsCt2c0LRt23HTn4aGeN95VcgLH8LY5IDXiW3MOkyKQg_7ckgxBR50Xhc-hhK_BT14wNu5OTh-Fv-U2u2dB9KX39kh39pFT4tzEPoAIL3BdWnpkzoVaWlr3hQFULDm_jOVtoBufpdObNhYlVjm6Dp1k3m45xpf1xQNlI6NGuih0ztT1O0gXMowGDHAE8c3dOJL4TTE9vzSYjLorszM8A62dR5Et_bB23f85J-DBgzIsMICJcpKjP5chqlGkVs-HjkdTNv_VQNFmwXAa7zhncIRxNr7WJj4MEQ-4GC8aWmAsAwDYccAMIvfKMHGZ2Y1-94AjveE5fOsUqKxRq4X3GpWB3wyu8PZ2QxfU1TBI7zjSsOORvpnKiv_-_WueintATVWzsGQngeoimFijLVdt4IiJIEqt0KkLoThczQ&reqid=f0qjNZIZgOuRRwAO&type=CLICK&pos=4,-48%,51.0,aovest,15249000.0
4,"Áo Phao Chần Bông Nam 5S FASHION PREMIUM, Chất Liệu Cao Cấp, Bông Chần Dày Dặn, Siêu Ấm, Thiết Kế Trơn Basic (AKC23016)",519000,https://tka.tiki.vn/pixel/pixel?data=WtpywJ-zaeVwQfs2vYujM-0Zku6nyFu_I3iYN7HBkAtAaamtWKSLVVd1LXDDuENg7b3vnWqvPhR0_GuxpYu53xshK_7GfYF2lTVFXudYPeU6rvHefHQY0HMdjUgIlnvX3c9v1iBIyt6kE2cBP88-Mi5SRTjMuI3KAfzyUSVnJOqQF_grApMVEA-ynbHdVacgCSX97ldINkNgVgFMe1u5-Ru8PsbRkd9CzVztwpCnmV1dMDoGPOpdwfoSeg6KclwjnaTJN0nefUbeBmLwv9j1vYnuvoSlVU-fEjYUXfvMQY1Ht-hEMh-21LwdFwguyeV7m6-eIj2JdVqjS-tEraKOoG6jZMRr5i_5VBs-d_xKfMLOQfOggncLiow_ywknjhq0_GW_nspFfuCTkLhnYzEUqdnbR3a8Dy_vu2AVEExYGWl347H8zMor6N-wYLQUbghSTgVTIMoCkLOTomYOJojsqOmitqFg4xVY-PyN7-mv7ZzkfBdHDHXrALKQ0J8NhCMJUMueNAzL-b9s4czN0zz3padbpiAdnc5rAbYA8O5-qiUPPu0lCZDivSJzbBYhVkugwxbk8FNg07Kyxwx14WyRDOYRklnssEoI8Z_0YwaZw3Pxy5mGfuyeTDzMZi0AH8x4NXgDnaECfrbL-dntH3YHdYMTgsf-d-_ESEJXSslkHL27G5ZRziknGhi8luco_bAgn5mhAn3mgY0mF6pZnZO65N5kheYLtbqpmP4UDaxOsNBOLlxBFDfJv73Rl3S_Tdb9e9_uNnB8zj1-6P5w2CyYLTUMgOTj9ljVJRol_AVdb0riW7JD-C5y5OgCTvqrvVPi1cBVQvMR68M_yuoL5U6alkGUA-LqTjwEDA04X9vYj6nkuiVF-nxYnvVHnORrwxLOzxwCMrbnnpndw5-V3Q1Aa_JbjfZATLJ0VSqS5Eejj4n5xQ0gl-o8pIeteaFiJXX0_NWEhjkqEIw8mJ8fGFaaxyoexySgMUYuecCG34DYf7X0__LL43vk1F_pJ-xYHCxZrf6Z_c05_lof6YLr-Pcbu95eBDknFMUsO5UQk10QZ3xoLCU1h5-CxySXxauIzO3Ap8Bem23_rOjkG9geyqXqLE0ZFWiqRkZ-7vODEsDyFrM2nQo7aBPsMWgtdSgrqag5uic54ZgagZHq9STSvMDtouZoauGh&reqid=f0qjNZIZgOuRRwAO&type=CLICK&pos=5,-31%,26.0,aovest,13494000.0
5,Áo Khoác Kaki Nam Hai Lớp Simple Cao Cấp ShopN6-KK35,169000,https://tiki.vn/ao-khoac-kaki-nam-hai-lop-simple-cao-cap-shopn6-kk35-p16712370.html?spid=16712385,-38%,4000.0,aovest,676000000.0
6,"Áo Khoác Dù Nam Phối Nón, Dù Thái Nhập Khẩu ( Tặng 1 áo khoác dù màu ngẫu nhiên ) Dokafashion Siêu Nhẹ Cao Cấp Dành Cho Đi Nắng Đi Mưa EZAK24",209000,https://tiki.vn/ao-khoac-du-nam-dokafashion-sieu-nhe-cao-cap-danh-cho-di-nang-di-mua-ezdm19-p90984718.html?spid=90984728,-33%,60.0,aovest,12540000.0
7,Áo khoác dù UV mẫu mới 2024 ( Tặng 1 áo khoác kaki ) - Áo Khoác Chống Nắng đến 98% Chống Thấm Nước Có Túi Trong Kèm Túi Khóa Kéo Phong Cách Trẻ Trung,199000,https://tiki.vn/ao-gio-nam-ao-khoac-nam-chong-tham-nuoc-co-tui-trong-kem-tui-khoa-keo-phong-cach-tre-trung-p71985742.html?spid=71985760,-39%,402.0,aovest,79998000.0
8,Áo khoác nam áo gió vải dù DOKA STORE cao cấp 2 lớp chống nắng tia UV và chống nước khoát phong cách Hàn Quốc - PS21,128000,https://tiki.vn/ao-khoac-du-nam-chong-nang-truoc-nuoc-cao-cap-ps21-p76121693.html?spid=76121699,-50%,177.0,aovest,22656000.0
9,"Áo Khoác Gió Thể Thao Nam 5S TRAINING TIME, Mềm Mượt, Cản Gió, Chống Bám Bụi, Nhẹ, Siêu Ấm (AKG22020)",417000,https://tiki.vn/ao-khoac-gio-the-thao-nam-5s-training-time-mem-muot-can-gio-chong-bam-bui-nhe-sieu-am-akg22020-p201036434.html?spid=201036470,-30%,39.0,aovest,16263000.0
