title,price,link_item,index,discount,sales,brand
"Áo sơ mi nữ cổ nơ xinh xắn ArcticHunter, thời trang trẻ, phong cách Hàn Quốc",50.000₫,https://tiki.vn/ao-so-mi-nu-co-no-xinh-xan-arctichunter-thoi-trang-tre-phong-cach-han-quoc-p53536357.html?spid=58378301,1,-5%,Đã bán 1,ARCTIC_HUNTER
"Đầm công sở dáng ôm voan hở vải ArcticHunter, thời trang thương hiệu chính hãng - A0849",89.000₫,https://tiki.vn/dam-cong-so-dang-om-voan-ho-vai-arctichunter-thoi-trang-thuong-hieu-chinh-hang-a0849-p75376839.html?spid=75376843,2,,Đã bán 1,ARCTIC_HUNTER
"Váy ngủ, váy mặc ở nhà 2 dây có đệm ngực - Chất thun mềm mại, thoáng mát ARCTIC HUNTER V20",141.550₫,https://tiki.vn/vay-ngu-vay-mac-o-nha-2-day-co-dem-nguc-chat-thun-mem-mai-thoang-mat-arctic-hunter-v20-p170423674.html?spid=170423676,3,-5%,,ARCTIC_HUNTER
"Áo sơ mi nữ công sở, áo cổ tàu họa tiết sọc lạ mắt AH154",179.000,https://tiki.vn/ao-so-mi-nu-dai-tay-cong-so-hoa-tiet-sm154-p106303732.html?spid=106303783,4,-11%,,ARCTIC_HUNTER
,,https://tiki.vn/ao-so-mi-nu-tay-dai-co-kieu-nut-ngoc-sm67-p90521022.html?spid=90521026,5,-5%,,ARCTIC_HUNTER
Áo len nữ áo len mỏng cổ tròn tay lỡ AH32,159.000₫,https://tiki.vn/ao-len-nu-mong-tay-lo-al32-p121534326.html?spid=121534327,6,-5%,Đã bán 1,ARCTIC_HUNTER
Váy ngủ 2 dây kèm quần lọt khe nhiều màu lựa chọn vn05,141.550₫,https://tiki.vn/vay-ngu-2-day-kem-quan-lot-khe-nhieu-mau-lua-chon-vn05-p106303754.html?spid=121496897,7,,,ARCTIC_HUNTER
Áo sơ mi nữ tay lỡ thiết kế lạ phong cách Hàn Quốc SM185,159.000₫,https://tiki.vn/ao-so-mi-nu-tay-lo-thiet-ke-la-phong-cach-han-quoc-sm185-p89354128.html?spid=89354132,8,-33%,Đã bán 1,ARCTIC_HUNTER
"Đầm Linen BabyDoll,Đầm linen dáng suông cổ sơ mi dáng dài ngắn tay ARCTIC HUNTER AH30",299.000,https://tiki.vn/dam-linen-babydoll-dam-linen-dang-suong-co-so-mi-dang-dai-ngan-tay-arctic-hunter-ah30-p196574092.html?spid=196574100,9,,,ARCTIC_HUNTER
,,https://tiki.vn/dam-suong-linen-nu-thiet-ke-co-tron-ngan-tay-dang-vay-chu-a-co-xe-vat-cheo-nhe-ah71-p250059488.html?spid=250059490,10,-5%,,ARCTIC_HUNTER
"Áo sơ mi nữ ARCTIC HUNTER, Áo cổ tầu ngắn tay trẻ trung AH50",141.550₫,https://tiki.vn/ao-so-mi-nu-co-v-coc-tay-form-rong-ke-caro-ah50-p149174987.html?spid=149174988,11,-17%,,ARCTIC_HUNTER
"Váy sơ mi dáng suông cổ V,Đầm sơ mi đũi túi ngực kèm dây thắt eo,phong cách mùa hè Hàn Quốc thương hiệu chính hãng Da72",299.000,https://tiki.vn/vay-so-mi-dang-suong-co-v-dam-so-mi-dui-tui-nguc-kem-day-that-eo-phong-cach-mua-he-han-quoc-thuong-hieu-chinh-hang-da72-p183315373.html?spid=183315389,12,-5%,,ARCTIC_HUNTER
,,https://tiki.vn/ao-len-nu-dai-tay-phoi-ren-nhieu-mau-ah27-p143817257.html?spid=143817261,13,,,ARCTIC_HUNTER
Đầm sơ mi thiết kế sọc kẻ lệch tà cổ bẻ cực xinh phong cách thời trang ARCTIC HUNTER AH96,199.000₫,https://tiki.vn/dam-so-mi-thiet-ke-soc-ke-lech-ta-co-be-cuc-xinh-phong-cach-thoi-trang-arctic-hunter-ah96-p152300182.html?spid=152300190,14,,,ARCTIC_HUNTER
Váy rút eo 2 bên xinh xắn ARCTIC HUNTER Da172,299.000₫,https://tiki.vn/dam-kieu-vay-so-mi-suong-han-quoc-ngan-tay-dang-rong-co-tui-chat-dui-mat-thoi-trang-cong-so-dao-pho-cho-nu-arctic-hunter-da172-p197608350.html?spid=197608358,15,,,ARCTIC_HUNTER
"Đầm suông nữ Linen cổ tròn tay loe thời trang, form rộng dài , thiết kế cắt ghép độc đáo AH200",299.000₫,https://tiki.vn/dam-suong-nu-linen-co-tron-tay-loe-thoi-trang-form-rong-dai-thiet-ke-cat-ghep-doc-dao-ah200-p255302256.html?spid=255302270,16,,,ARCTIC_HUNTER
"Đầm suông đũi cổ tròn 2 túi, chất thô đũi mềm mát, thời trang công sở Arctic Hunter AH159",199.000,https://tiki.vn/dam-caro-ke-nu-dang-dai-qua-goi-vay-linen-he-nu-dang-xoe-nhun-eo-arctic-hunter-ah159-p185920210.html?spid=185920218,17,,Đã bán 3,ARCTIC_HUNTER
