title,price,link_item,index,discount,sales,brand
"áo len nữ đẹp, áo len nữ 2 túi dáng cardigan",210.000₫,https://tiki.vn/ao-len-nu-dep-ao-len-nu-2-tui-dang-cardigan-p67208019.html?spid=76055156,1,-12%,,HaintBoutique
"Chân váy lưới hai lớp xếp ly, Freesize, eo thun co giãn",289.000₫,https://tiki.vn/chan-vay-luoi-hai-lop-xep-ly-freesize-eo-thun-co-gian-p37710476.html?spid=37710480,2,-39%,Đã bán 4,HaintBoutique
Áo đũi nữ form rộng fullsize M đến 2XL họa tiết thêu dễ mix đồ ALE17,159.000₫,https://tiki.vn/ao-dui-nu-form-rong-fullsize-m-den-2xl-hoa-tiet-theu-de-mix-do-ale17-p182783365.html?spid=182783405,3,-18%,Đã bán 1,HaintBoutique
Ảnh thật Áo sơ mi nữ cổ Vest kiểu dáng basic trơn tay lỡ thời trang trẻ trung Sm21,249.000,https://tiki.vn/ao-so-mi-nu-co-vest-kieu-dang-basic-tron-tay-lo-thoi-trang-tre-trung-sm21-p174310331.html?spid=174310333,4,,,HaintBoutique
,,https://tiki.vn/so-mi-tay-dai-chat-lieu-linen-tham-mo-hoi-de-mac-nhieu-mau-sac-lua-chon-p273433000.html?spid=273433001,5,-50%,,HaintBoutique
Đầm maxi trễ vai thời trang đi biển,249.000₫,https://tiki.vn/dam-maxi-tre-vai-thoi-trang-di-bien-p171905375.html?spid=171905385,6,-12%,Đã bán 1,HaintBoutique
"Đầm ngủ, đầm mặc nhà 2 dây dễ thương kèm bịt mắt HB28",119.000₫,https://tiki.vn/dam-ngu-dam-mac-nha-2-day-de-thuong-kem-bit-mat-hb28-p86772896.html?spid=86773021,7,-12%,Đã bán 1,HaintBoutique
Đầm thun dáng dài DB16,179.000₫,https://tiki.vn/dam-thun-dang-dai-db16-p86770780.html?spid=86770809,8,,,HaintBoutique
"Sơ mi nữ công sở, Áo sơ mi nữ hoạ tiết kẻ caro S22",249.000,https://tiki.vn/so-mi-nu-cong-so-ao-so-mi-nu-hoa-tiet-ke-caro-s22-p174027511.html?spid=174027513,9,,,HaintBoutique
,,https://tiki.vn/ao-so-mi-so-mi-nu-trang-ngan-tay-ke-caro-sm50-p149177061.html?spid=149177062,10,-12%,,HaintBoutique
Sơ mi nữ dài tay công sở,122.000₫,https://tiki.vn/so-mi-nu-dai-tay-cong-so-p27806739.html?spid=27806745,11,-12%,Đã bán 6,HaintBoutique
Áo kiểu nữ dài tay phối hoạ tiết hoa xinh ALe35,199.000,https://tiki.vn/ao-kieu-nu-dai-tay-phoi-hoa-tiet-hoa-xinh-ale35-p144162731.html?spid=144162741,12,-44%,,HaintBoutique
,,https://tiki.vn/dam-linen-nu-dang-suong-co-tru-phoi-nut-dam-nu-chat-chat-linen-mat-kem-day-that-eo-haint-boutique-da62-p183556742.html?spid=183556744,13,-21%,,HaintBoutique
"Đầm nữ, váy nữ dáng suông chất vải vân nổi lạ, thoáng mát Da10",175.000₫,https://tiki.vn/dam-nu-vay-nu-dang-suong-chat-vai-van-noi-la-thoang-mat-da10-p111418813.html?spid=111418818,14,-12%,,HaintBoutique
Đầm suông linen cổ trụ phát V hai túi hộp ốp ngực trẻ trung Haint Boutique Da72,263.000₫,https://tiki.vn/dam-suong-linen-co-tru-phat-v-hai-tui-hop-op-nguc-tre-trung-haint-boutique-da72-p183558440.html?spid=183558448,15,-12%,Đã bán 3,HaintBoutique
"Chân váy nữ Haint Boutique ,chân váy len gân thiết kế dáng đuôi cá HB29",131.000₫,https://tiki.vn/chan-vay-nu-chan-vay-len-gan-duoi-ca-cv29-p144232947.html?spid=144232948,16,,Đã bán 1,HaintBoutique
Áo sơ mi nữ cơ bản Haint Boutique thiết kế nhiều màu SM32,131.000,https://tiki.vn/ao-so-mi-nu-co-ban-haint-boutique-thiet-ke-nhieu-mau-sm32-p81135682.html?spid=81135684,17,-12%,Đã bán 4,HaintBoutique
,,https://tiki.vn/ao-khoac-len-dai-suong-haint-boutique-khoac33-den-p43854054.html?spid=56448424,18,-37%,,HaintBoutique
"Đâm thun co giãn 4 chiều, đầm suông trơn dáng dài 120cm, phong cách basic nhẹ nhàng HB17",166.000₫,https://tiki.vn/dam-thun-co-gian-4-chieu-dam-suong-tron-dang-dai-120cm-phong-cach-basic-nhe-nhang-hb17-p257855831.html?spid=257855833,19,,,HaintBoutique
