title,price,link_item,index,discount,sales,brand
"Đầm công sở dáng ôm xẻ tà trước điệu đà xinh xắn, thời trang phong cách trẻ - Xanh dương",59.000₫,https://tiki.vn/dam-cong-so-dang-om-xe-ta-truoc-dieu-da-xinh-xan-thoi-trang-phong-cach-tre-xanh-duong-p75409240.html?spid=75409246,1,,,LAHstore
"Đầm suông linen cổ tròn tay lỡ Basic, thời trang hè thu 2021",250.000₫,https://tiki.vn/dam-suong-linen-co-tron-tay-lo-basic-lahstore-thoi-trang-he-thu-2021-p101471035.html?spid=101471059,2,,Đã bán 2,LAHstore
Đầm suông voan kẻ 2 lớp sang trọng - Kẻ xanh,236.600₫,https://tiki.vn/dam-suong-voan-ke-2-lop-sang-trong-ke-xanh-p31509765.html?spid=58379416,3,,,LAHstore
Đầm suông đũi cổ trụ LAHSTORE phối túi bên hông (Trắng Kem),199.000,https://tiki.vn/dam-suong-dui-co-tru-lahstore-phoi-tui-ben-hong-trang-kem-p111231781.html?spid=111231975,4,,,LAHstore
,,https://tiki.vn/ao-vest-blaze-linen-nu-ve-vuong-2-tui-nap-tre-trung-lahstore-chat-vai-linen-mem-mat-lich-thiep-p110996238.html?spid=110996246,5,,,LAHstore
"Đầm suông Linen bột Premium tay hến thêu hoa, cài khuy ngực (Nâu đỏ, Trắng đục)",320.000₫,https://tiki.vn/dam-suong-linen-bot-premium-tay-hen-theu-hoa-cai-khuy-nguc-lahstore-nau-do-trang-duc-p199552391.html?spid=199552399,6,,,LAHstore
Đầm suông Linen bột Premium form rộng tay bom thêu hoa trẻ trung,320.000₫,https://tiki.vn/dam-suong-linen-bot-premium-form-rong-tay-bom-theu-hoa-tre-trung-lahstore-p199552230.html?spid=199552234,7,,,LAHstore
Đầm suông Linen tưng Premium sát nách cổ tàu thêu hoa mặc tết thêm rực rỡ,450.000₫,https://tiki.vn/dam-suong-linen-tung-premium-sat-nach-co-tau-theu-hoa-mac-tet-them-ruc-ro-lahstore-p206375918.html?spid=206375930,8,,,LAHstore
"Đầm suông linen cổ tim sát nách đi biển trẻ trung, chất vải linen mềm mát",259.000,https://tiki.vn/dam-suong-linen-co-tim-sat-nach-di-bien-tre-trung-lahstore-chat-vai-linen-mem-mat-p205220546.html?spid=205220552,9,,,LAHstore
,,https://tiki.vn/ao-so-mi-nu-form-rong-tay-canh-roi-linen-tung-premium-tre-trung-sang-trong-lahstore-nau-do-p204383407.html?spid=204383413,10,,,LAHstore
Áo sơ mi nữ form rộng trễ vai cơ bản Linen tưng Premium - Trắng tinh,350.000₫,https://tiki.vn/ao-so-mi-nu-form-rong-tre-vai-co-ban-linen-tung-premium-trang-tinh-p204392930.html?spid=204392938,11,,,LAHstore
Áo sơ mi nữ dài tay form rộng Basic Linen tưng premium cao cấp,350.000,https://tiki.vn/ao-so-mi-nu-dai-tay-form-rong-basic-linen-tung-premium-cao-cap-p204387773.html?spid=204387781,12,,,LAHstore
,,https://tiki.vn/ao-so-mi-nu-form-rong-rot-vai-vai-linen-tung-premium-thiet-ke-dai-tay-duoi-tom-tron-tre-trung-xinh-xan-lahstore-trang-tinh-p207192506.html?spid=207192512,13,,,LAHstore
"Đầm len ôm len gân trẻ trung tôn dáng, thời trang thu đông 2022",150.000₫,https://tiki.vn/dam-len-om-len-gan-tre-trung-ton-dang-thoi-trang-thu-dong-2022-p198613740.html?spid=198613742,14,,,LAHstore
Áo khoác blazer Linen trẻ trung 2 túi dán,280.000₫,https://tiki.vn/ao-khoac-blazer-linen-tre-trung-2-tui-dan-lahstore-p204645805.html?spid=204645811,15,,,LAHstore
Sơ mi nữ linen form rộng rút eo trẻ trung,260.000₫,https://tiki.vn/so-mi-nu-linen-form-rong-rut-eo-tre-trung-lahstore-p204662138.html?spid=204662150,16,,,LAHstore
Đầm suông linen tay hến thêu hoa ngực - Hồng da,290.000,https://tiki.vn/dam-suong-linen-tay-hen-theu-hoa-nguc-lahstore-hong-da-p204671714.html?spid=204671722,17,,,LAHstore
,,https://tiki.vn/set-bo-linen-ao-vest-blazer-form-rong-kem-quan-coc-lahstore-be-muoi-tieu-p204665794.html?spid=204665798,18,,,LAHstore
Đầm suông sát nách cổ tròn linen tưng lụa premium thêu hoa sang trọng - Xanh lá sẫm,390.000₫,https://tiki.vn/dam-suong-sat-nach-co-tron-linen-tung-lua-premium-theu-hoa-sang-trong-lahstore-xanh-la-sam-p204673859.html?spid=204673869,19,,,LAHstore
"Áo sơ mi nữ kẻ sọc hở vai trẻ trung, chất đũi lụa mềm mát, thời trang xuân hè 2022",89.000₫,https://tiki.vn/ao-so-mi-nu-ke-soc-ho-vai-tre-trung-chat-dui-lua-mem-mat-thoi-trang-xuan-he-2022-p175087096.html?spid=175087108,20,,,LAHstore
"Áo sơ mi nữ công sở cô nở trẻ trung, thời trang xuân hè 2022 - Hồng phấn",110.600₫,https://tiki.vn/ao-so-mi-nu-cong-so-co-no-tre-trung-thoi-trang-xuan-he-2022-hong-phan-p175957025.html?spid=175957027,21,,Đã bán 1,LAHstore
"Áo sơ mi công sở nữ phối cavat trẻ trung, thời trang xuân hè 2022 - Trắng",124.600₫,https://tiki.vn/ao-so-mi-cong-so-nu-phoi-cavat-tre-trung-thoi-trang-xuan-he-2022-trang-p175956520.html?spid=175956524,22,,Đã bán 1,LAHstore
"Bộ linen nữ form rộng sát nách trẻ trung LAHSTORE, chất vài linen mềm mát (Trắng)",299.000₫,https://tiki.vn/bo-linen-nu-form-rong-sat-nach-tre-trung-lahstore-chat-vai-linen-mem-mat-tra-ng-p181417846.html?spid=181417862,23,,Đã bán 1,LAHstore
"Set bộ linen sát nách màu xanh đá trẻ trung, chất vải linen mềm mát, thích hợp du lịch dã ngoại (Áo xanh-Quần trắng)",320.000₫,https://tiki.vn/set-bo-linen-sat-nach-mau-xanh-da-tre-trung-chat-vai-linen-mem-mat-thich-hop-du-lich-da-ngoai-ao-xanh-quan-trang-p181428785.html?spid=181428810,24,,Đã bán 5,LAHstore
"Áo cardigan nữ phối họa tiết tay và túi, thời trang thu đông 2021",250.000,https://tiki.vn/ao-cardigan-nu-phoi-hoa-tiet-tay-va-tui-thoi-trang-thu-dong-2021-p181428438.html?spid=181428464,25,,,LAHstore
,,https://tiki.vn/dam-suong-dang-duoi-ca-tre-vai-tre-trung-thoi-trang-he-thu-2022-hong-da-p181428414.html?spid=181428431,26,,,LAHstore
Đầm xòe linen form rộng rút eo tay cánh rơi trẻ trung,230.000₫,https://tiki.vn/dam-xoe-linen-form-rong-rut-eo-tay-canh-roi-tre-trung-thoi-trang-thuong-hieu-chinh-hang-p181428672.html?spid=181428721,27,,,LAHstore
"Áo sơ mi thô Linen nữ form rộng cổ bẻ 2 túi ngực trẻ trung LAHSTORE, phong cách Hàn Quốc",199.000₫,https://tiki.vn/a-o-so-mi-tho-linen-nu-form-rong-co-be-2-tui-nguc-tre-trung-lahstore-phong-ca-ch-ha-n-quo-c-p181419056.html?spid=181419070,28,,,LAHstore
"Đồ bộ linen nữ sát nách LAHSTORE, màu xanh đá sang trọng, phù hợp từ 45 đến 70kg",299.000₫,https://tiki.vn/do-bo-linen-nu-sat-nach-lahstore-mau-xanh-da-sang-trong-phu-hop-tu-45-den-70kg-p181417353.html?spid=181417359,29,,Đã bán 1,LAHstore
"Bộ mặc nhà linen nữ form rộng sát nách trẻ trung LAHSTORE, chất vài linen mềm mát (Trắng)",299.000,https://tiki.vn/bo-mac-nha-linen-nu-form-rong-sat-nach-tre-trung-lahstore-chat-vai-linen-mem-mat-tra-ng-p181418699.html?spid=181418712,30,,,LAHstore
,,https://tiki.vn/dam-suong-linen-co-tim-chong-tay-lo-thoi-trang-he-thu-2022-tim-nhat-p181428743.html?spid=181428754,31,,,LAHstore
"Đầm suông công sở linen cổ đức lượn đuôi tôm 2 túi ngực trẻ trung, thời trang hè thu 2022",250.000₫,https://tiki.vn/dam-suong-cong-so-linen-co-duc-luon-duoi-tom-2-tui-nguc-tre-trung-thoi-trang-he-thu-2022-p181428467.html?spid=181428475,32,,,LAHstore
"Bộ linen nữ sát nách LAHSTORE, dáng yếm nút xẻ sau trẻ trung năng động",289.000₫,https://tiki.vn/bo-linen-nu-sa-t-na-ch-lahstore-da-ng-ye-m-nu-t-xe-sau-tre-trung-nang-do-ng-p181419602.html?spid=181419694,33,,,LAHstore
"Áo sơ mi nữ cổ 2 ve form rộng họa tiết hoa vàng, thời trang phong cách trẻ",89.000₫,https://tiki.vn/ao-so-mi-nu-co-2-ve-form-rong-hoa-tiet-hoa-vang-thoi-trang-phong-cach-tre-p165046829.html?spid=165046831,34,,Đã bán 1,LAHstore
"Đầm suông cổ tròn tay lỡ basic Linen bột Premium 3 màu lựa chọn (Cam, tím huế, Trắng)",250.000,https://tiki.vn/dam-suong-co-tron-tay-lo-basic-linen-bot-premium-3-mau-lua-chon-lahstore-cam-tim-hue-trang-p200728720.html?spid=200728728,35,,,LAHstore
