title,price,link_item,index,discount,sales,category
"Đầm suông chất đũi cổ trụ phối túi bên hông, chất vải mềm mát thích hợp mùa hè, thời trang Hàn Quốc",199.000₫,https://tiki.vn/dam-suong-chat-dui-co-tru-phoi-tui-ben-hong-lahstore-chat-vai-mem-mat-thich-hop-mua-he-thoi-trang-han-quoc-p55524590.html?spid=72144440,1,-12%,Đã bán 554,damnu
Đầm đũi dáng suông mẫu mới ngắn tay cổ tròn cài cúc phong cách retro mẫu mới ARCTIC HUNTER AH197,299.000₫,https://tiki.vn/dam-dui-dang-suong-mau-moi-ngan-tay-co-tron-cai-cuc-phong-cach-retro-mau-moi-arctichunter-ah197-p215464830.html?spid=215464848,2,-8%,Đã bán 1,damnu
Đầm Thiết Kế Lệch Vai MAY HT25 Màu Kem Sáng Da - Đầm Dự Tiệc Sang Trọng Chuẩn MAY,590.000₫,https://tiki.vn/dam-thiet-ke-lech-vai-may-ht25-mau-kem-sang-da-dam-du-tiec-sang-trong-chuan-may-p272320118.html?spid=272320122,3,,Đã bán 2,damnu
Đầm xòe gấm hoa vai sang trọng 2521,400.000,https://tiki.vn/dam-xoe-gam-hoa-vai-sang-trong-2521-p87446459.html?spid=87446463,4,-12%,Đã bán 1,damnu
,,https://tiki.vn/dam-body-dam-om-dam-2-day-dam-thiet-ke-dam-khoet-vai-dam-du-tiec-p134025545.html?spid=134025580,5,,,damnu
"Đầm suông trung niên, đầm linen dáng suông ĐŨI VIỆT thời trang thương hiệu chính hãng D60",219.000₫,https://tiki.vn/dam-maxi-ngan-tay-chat-dui-mat-vai-mem-khong-nhan-mac-sieu-mat-dam-suong-nu-form-rong-dang-dai-dui-viet-dv60-p180102611.html?spid=180102623,6,-12%,Đã bán 15,damnu
Váy hoa nhí chun eo nơ cổ,119.000₫,https://tiki.vn/vay-hoa-nhi-chun-eo-no-co-p191816244.html?spid=191816247,7,-7%,,damnu
"Đầm váy đũi nữ dáng suông dài thắt eo, phong cách nữ trẻ trung nữ tính Đũi Việt",296.000₫,https://tiki.vn/dam-vay-dui-nu-dang-suong-dai-that-eo-phong-cach-nu-tre-trung-nu-tinh-dui-viet-p215746640.html?spid=215746644,8,-7%,Đã bán 3,damnu
"Áo sơ mi váy dáng dài, chất liệu đũi mềm mịn, áo váy nữ, form dài rộng kiểu Hàn Quốc, NeSa Shop AKH.35",101.000,https://tiki.vn/ao-so-mi-vay-dang-dai-chat-lieu-dui-mem-min-ao-vay-nu-form-dai-rong-kieu-han-quoc-nesa-shop-akh-35-p146635392.html?spid=158214541,9,-7%,,damnu
,,https://tiki.vn/vay-dam-len-body-co-be-coc-tay-ke-ngang-hang-qc-p122592546.html?spid=122592553,10,-12%,,damnu
"Đầm váy sơ mi nữ ngắn tay, phong cách trẻ trung Hàn Quốc, chất vải Linen mềm cao cấp, thời trang công sở Đũi Việt",263.000₫,https://tiki.vn/dam-linen-suong-p263202817.html?spid=263202827,11,,,damnu
