title,price,link_item,index,discount,sales,category
Quần bơi Nữ BIKINI PASSPORT kiểu Quần Lưng thấp dây thưa - BS235_BL,190.000₫,https://tiki.vn/quan-boi-nu-bikini-passport-kieu-quan-lung-thap-day-thua-bs235_bl-p202560034.html?spid=202560035,1,-35%,,doboinu
Bikini đồ bơi 2 mảnh bèo yếm cam đất,250.000₫,https://tiki.vn/bikini-do-boi-2-manh-beo-yem-cam-dat-p87437467.html?spid=87437494,2,-29%,,doboinu
Bikini đi biển cho nữ đẹp,300.000₫,https://tiki.vn/bikini-di-bien-cho-nu-dep-p87438009.html?spid=87438011,3,-10%,,doboinu
Đồ bơi nữ cao cấp dạng một mảnh yếm phối áo tay dài cover - màu Tím - VS187_PP,860.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-mot-manh-yem-phoi-ao-tay-dai-cover-mau-tim-vs187_pp-p202560095.html?spid=202560101,4,-25%,,doboinu
Bikini phối hoa hồng cao cấp - B481,298.000₫,https://tiki.vn/bikini-phoi-hoa-hong-cao-cap-b481-p13736607.html?spid=13736611,5,-25%,Đã bán 14,doboinu
Áo bơi NỮ lẻ BIKINI PASSPORT kiểu tay dài Basic - màu Tribal - BS202_TRI,280.000₫,https://tiki.vn/ao-boi-nu-le-bikini-passport-kieu-tay-dai-basic-mau-tribal-bs202_tri-p235879930.html?spid=235879936,6,-28%,,doboinu
"Bikini, Đồ bơi nữ có tay khóa kéo màu ĐEN FORM SHORT sành điệu kín đáo co dãn thoải mái",268.000₫,https://tiki.vn/bikini-do-boi-nu-co-tay-khoa-keo-mau-den-form-short-sanh-dieu-kin-dao-co-dan-thoai-mai-p185909130.html?spid=193734381,7,-15%,,doboinu
"Đồ bơi nữ, áo tắm, đồ đi biển nữ duyên dáng kín đáo",185.000₫,https://tiki.vn/do-boi-nu-ao-tam-do-di-bien-nu-duyen-dang-kin-dao-p81312695.html?spid=103125855,8,-16%,Đã bán 20,doboinu
(hàng cao cấp) Bộ Bikini 3 Món Siêu Phẩm Cho mùa du lịch áo voan ngoài đẹp tinh tế,295.000₫,https://tiki.vn/hang-cao-cap-bo-bikini-3-mon-sieu-pham-cho-mua-du-lich-ao-voan-ngoai-dep-tinh-te-p186190456.html?spid=186190473,9,-15%,,doboinu
"Bộ đồ bơi nữ, bộ bikini hàng cao cấp có đệm ngực",328.000₫,https://tiki.vn/bo-do-boi-nu-bo-bikini-hang-cao-cap-co-dem-nguc-p114290981.html?spid=118164201,10,,Đã bán 3,doboinu
"Bộ Đồ Bơi Nữ, Bộ Bikini 3 Món có Đệm ngực hàng cao cấp",347.500₫,https://tiki.vn/bo-do-boi-nu-bo-bikini-3-mon-co-dem-nguc-hang-cao-cap-p176717174.html?spid=176717176,11,,Đã bán 1,doboinu
