,title,price,link_item,discount,sales,category,revenue
0,"Áo Nỉ Nam Dài Tay 5S FASHION Cổ Tròn, Vải Cotton USA, Mềm Mại, Dày Dặn, Giữ Ấm Tốt, Thiết Kế Trơn Basic, Năng Động (ANO23027)",214000,https://tka.tiki.vn/pixel/pixel?data=8YZnQevndkSQJX3R3xIl5wzI2z9eqUjuH6A_Fm_Te5cat9omFlOxeoRb-fjBmDSffGnf8ZBZK7sH_vARvckFVjCY0MFEMsu1ROmh6-uN-NchB0oNijKQhnzaMwJT3L7audCLWNV4jTzNadaCprqMo4u8QdjN6ydKsCNleYcAYQSzxYzu_06E8sUooumqlHr5uW_w4yOdoPhp2geUiDojBynZtikYigYCR4dV4eEkbuz_cOlQfb6ZRQce-nvm7bcn05m-HqyUVUEeFZ-8AMuXCta1CLripPFjiy1Yonjsl-qe8WqcfQazgVHX2C2O0OE45z08YliYeufHrVwWMflgckXe3Yf6KI4eZ-Vlp2fYcC3KeJcYIjWv2B0JwJq8JQT1Z1fRI-XPa04LnU8F7dmA3kMHBf7H0FvuW3Pyzo2c3uyYIukUQtIAK1tpLxX9gc3-ftG9fBDybKky6qpPBUx1GDJpY_3FSxHKPtGZIagIZBF-TuFHZaW_OdhAMwiYGdgmweRBP3SrlkTse0oSjtuF5EiYuo0KVtTrW2gPgNowKch27Yy3B5xczlzUJ8UjG1t1Mmj203TaBDvLZ_UzKsRp0B04P4_P_ZaB89xSv8OWMcxoxrfZRI3fATRhqF-Icxto4P-zqcTzW09ms1TOXCyIwUZ1Kw_oIsSFcWv_dM1O_WS2hwFDuJ-nyGd8crXxVGUNDyi4NlBtMNc2UyO43Jmx9R9SRxVGa0TrwarNDkpOqKx1r4RcdclLSqLOE0XuASQMKhVgew2G-yIc4Hy6cfEWicP3UgJNklF2D-yMPea4FwBG76A3F-pJGdYeBLnS0sJ2W5ac54fJguxP6iS3C6UfrwLTI5sym_3ffoSKfnRN0vslIEu-c19XxFmJb0MMWEo5UYDgCxPRTUeChtxiqrc1JkyQFLbOB3r3vrkZ5tDczAv5oa1BO-Cl77ZqhYhDWENLZl5ZNoWVdlDIxHE4Y5smcqxkunPdNvsW7b5_pmVz_kEwp1RGAMfmyD7IqBd2m-yuqrOZSStgUgTXBvH-GLSWXz66SgmyoaieduEZP8uaqZeVkS8866VADNSMpPpaCUzsnRLiUvX9PdouSx-YxgH3H5E_3gKedPSlA425i-8gzbAHXZ3bUElf2SbT8Z8eGkcVQt5BmVMqtKU&reqid=dLlTViaWrPGdN31W&type=CLICK&pos=1,-35%,7.0,aoni,1498000.0
1,"Áo Sweater Nỉ Nam 5S FASHION Cổ Tròn, Vải Cotton, Mềm Mại, Giữ Ấm Tốt, Thiết Kế Can Phối Tay, Năng Động (ANO23004)",189000,https://tka.tiki.vn/pixel/pixel?data=pDIHSaiVxedehcbCFUy7-WfQtrzm5AFtJuyFa7LbWOyLzuVKDMCB_mMIaTmMqrifM3QNDKkm0bbn-_RK1dxa2NiDX89xJsxnrWBNXsPh-giGspKiRhxxddcrEzLpu40kfM86yZdSEcF_jBbK_6F9MCUCjonbciZKJiE68ea_3Oi-Mr3hL3z2niqQLNQqGL3o1n7g3yYLz4INg8xOsE_47cB6cAXU_DHHjuKnCZE4BUXaFUl9AEdXon5lRRTIhnL7dhCAgVXuR97Gwymdxg8BigPpGTAZOj0s5NUc_w-nJxkdQhMw8BfV4uNxJsJ1BIIs6xL6qhDEsO4a05jhNaihxDiEC2xn8crOyRvgzAXBd8YHnpjDfyyPCmkjaiPeUHFTwc-59-3kxovQkZcL7AHWjV50aoNd2xivxlr9n-9Nre9i7RHYUOvAEelZFrxiJSui7W5A6Z_CDhHgEY94oRml1rXWaYke4gO7YSQGZhv3AhGfRSXy5U9bsrswiHbMJQvE1nxT8Ntm6suDZB4QbQdTYhI70_yVftCQ3erFgxs2Z34jNwhScgghMahXr5VaYFIdPQ3m79-N1VHzh9B3EHlIpq9YwhnFmN9GhkQ9_UORMS17pYeOByYnTmajzaCecL3shouNQL0UD2wSfcYibigM9mrdia0-qornENiTKvvXh8HPM3GGEQw40T7tN3pESKjppb6LmS0Jun6-oadYVm5iJm-22SDS5DBBy1InJEGYFp-NeBcXeqYJQ-k3cNrDm8-bdnkE-NxlKbEBeqY9glPQcT88LuGJFXkTO7aYx-eKjtCDAQmF0k4ylhOVCD0ZBcGcEA8NIw1_PNUYfU9XqsTYIkpsh2kaOyRt1o2JC7YWcP7B2cEVLVLBlaKK2Qh_N_ISiydnvnt6Sqnm9XNbjTs5VDxuyA0Wl_le0cNeAuqrGqzhELjIld2XPVYtSm6MCDg5WiDvnWsMCoM3yBBq0mvOFcLnpym_0f23g193dvrKUP3f1Zckb_LQiKSFcayGqAE52AyZa-qDsrMvaGOcoarUGeoZ2d56WBvDeP5gO7QY1SybnumCe7-rZY9xyjQEgIK5Q8uhmwsTFRWm-tZ2StZJBtHdHnfZM6hpnSpRYYEUfUuQyZgBbs12_fKuOKZoTQ&reqid=dLlTViaWrPGdN31W&type=CLICK&pos=2,-43%,5.0,aoni,945000.0
2,"Áo Sweater Nỉ Nam 5S FASHION Cổ Tròn Cotton, Thiết Kế In Trẻ Trung, Vải Dệt Hiệu Ứng Ô Vuông Nổi Phong Cách (ANO23017)",292000,https://tka.tiki.vn/pixel/pixel?data=i0GLNhUT4DmVVum7bXAy7We8vyCPV0iB-qJtORC0aF0ZXMPfsHd3VMWea9QMv9dD3I46997mrqFgDKRlpJXJDvpy8Vw-N0rEB-Mkjmztr1n1ibe-phT9ZL2KFPGLgQk9N4vtbHBEXdIX9rF1He6V3UzkE7VBiTc3OM0nlwbt6uYTCFdGwZ1pgJacvYzUeseaRMzr1S1_qIe-5D88RdBKWYi4O2DEn0ilKV_w3Mff4LtifAvh4W1IpzuSzZNgM4Ew6YNZ2n-sXzdJachYGeAxfvZnlXdD0G_amSia05sNYmPCNMm0C2lZonxEn7zaw_fufS_c8tVbX_K39b1L_1ZA4fV_CwTwv9WbKvTMNsZDARCdKP7CdhvE6jHqwddzifY7AQ2Mz_fztO8C35evsjNIfvrSmVgZFh2FsQYuW1meSOq0VU_gU5ZK-76X_yc0JvY5FFQjpaSXavDQKbjuI0lpcQz54Xu6QLrisWpL93P0Wx0e4WLfMXc7k_UyTpPNj4f_Dk45QA8FTlDe0g9pS_CTVFgPPp4AqCfG7lGnYhzyO12tLp4Xujwoo5RQFmqbDtRWH4ir5R_DzQQ4wwvMk4-0O3TVBLTATrOe5AZmTPOC935qs0FBpp1FiK29PH6FbM_-aB9p6tNeP1ijWtPv8UULHIC2koKc_KyD1s6-HHuhDUdJjwsReR39cUdWLFytO6V4IX2aRDAe6CnkJlpEQdrX6afjryscNTMpKxze2NEfJzfzQEh74TUzPpiDLQXSmOjdRXTqRdhTWJROXCbTMEj17hwCmalO-aPYSnHdrRFIsqkDhjALVD7ozFKi0Q4bfnWH5ygUZmD53SCfGkj4YQDO256IqbNO_XrTFv1r72Z3LujczHQe3d7ivlPVQPOFSCGkPJ_sfMv5WTPoBwgW8eYk_1q-XL-JLwomXsC8dOPuoa7qaz_61zGH2DLatB-PDV3tKixkQQcJldQU166xJTwQRFHudh0Y73E29hN6DuzvMBQFz6Z0MQR5v-8DfvHeqqesf5hxGdmExgLPvDYZR2de2jrJiiHGSm0F7KVBAR_4n1v29D8FmhrhjTvef6LEITYkPAHvprR1mN1KS36HRC76hwIpQegK-4vzji57rBr3UyQ2cleqdFBYco5LxAt5&reqid=dLlTViaWrPGdN31W&type=CLICK&pos=4,-35%,2.0,aoni,584000.0
3,"Áo Nỉ Nam Cổ Tròn 5S FASHION Nhiều Màu, Vải Cotton USA, Mềm Mại, Thiết Kế Trơn Basic Dễ Mặc (ANO23627)",259000,https://tka.tiki.vn/pixel/pixel?data=S6eSVe13tdoDQdDYji0Hs9aUo0Q49EKTC-EskgVQh1QsgjROMNuMVPm_NApCkFic1u77OA31Gbr2oEg1WlU0T4xU3qvRCBRVkK8fttDzbvF78M5cKiOqwlyWSRGHUJADiRemm7tBMQZeyOLXUhH9CJJQWVWeH5ZAsY-cBEJ7fDGGbLJ4vbUMhmQVcCWDHdJuDUrD6YpCcmDHbMVazprDI-TmavgnvLu_4nByTXVtr_myUz-79Nbmun2yqyI7hGtF3YwaYd1FaXxdXXNnb-X0YYLwtCA3bQ7HpVvbEe_F9DO7mY9e7xfKEuM7II66Wg89dV684JCh4qjaYFl6mhfLGFgPBPUgAedRXt2Mb_czobMylYDfEA2p2AwPOiBhSmaR31YR_ku0SqpSxEBBd6lihWAuow8gPCERFshRTbd42OsSNI7vM9XIZhhYAoEW7eIBAMfCdOQkUKSFySPOuniM3PJ-pZehsCN367Jpp3XXb4_p3R7877TmPBxdkNtYFY3MNCBTAqmkGm6AiBSHOxJwb37ZTbdBuYDOUTaG-jqgW9TcbvlA6McWNim97ZOKpGG0LjLAwRXoPkmbwDPN7IIEGLzQxWefv7VToSC3XbVhbdLxOixO_VvgZqSjR8FctMBZ_P8qF9Kc_kGsklgtiVGbxbGVz3w6ElpQ-gwpJrdogzy1Y7bl33HCRp6jWBCH6ebTXdZhjgDhWncAtWnNKmgAxv-MTNiEzOzd7BFeFoArhKBEsF4VwghoV5C6KCmjD4I6n-sPlcelRni0c1_yy70zuIjA_TOpZtFW4Y3zZjoq1Q_Zn1jkh84mphOdKrjYb7sxwEjK1ainRx-6Cd3_hVniOgonb2ujPkwehXxvarBQC3HqYQro37omeOkfoEFnUK73eZjnYYk1EMSs_cZ8fOoNi_-9-vsPRqojESdxeHUUiw0j3Ies0gKUw4iDaPAl3DMQkGsALeASz9BPKrcNYrzhqLJiFdBYSV1Ws8_d19Hc0HK_8HiKWBJnDrY0YA9hK8oR6BRARlVfgyVVZKQQCLjVuxeb42NehNEtAFolRt0W6PmysuDfpOP_0oC-hk1gBtL0I1U2uGiBD9Mth1pORybBCb_c5G0mMotx7ihnmQ&reqid=dLlTViaWrPGdN31W&type=CLICK&pos=5,-35%,2.0,aoni,518000.0
4,Áo Len Cổ Lọ Nam SZone SAL222 Phong Cách Hàn Quốc,129000,https://tiki.vn/ao-len-co-lo-nam-szone-sal222-phong-cach-han-quoc-p56919853.html?spid=56919870,-24%,601.0,aoni,77529000.0
5,Áo len nam cổ lọ mẫu mới LNA13,270000,https://tiki.vn/ao-len-nam-co-lo-mau-moi-lna13-p141665125.html?spid=141665149,-35%,6.0,aoni,1620000.0
6,Áo len nam dài tay phối cổ tròn cao cấp mẫu mới hot trend 2023 Micado,189000,https://tiki.vn/ao-len-nam-dai-tay-phoi-co-tron-cao-cap-mau-moi-hot-trend-2021-micado-p142781683.html?spid=192934362,-35%,129.0,aoni,24381000.0
7,"Áo Sweater Nỉ Nam 5S FASHION Cổ Tròn Cotton, Thiết Kế In Trẻ Trung, Vải Dệt Hiệu Ứng Ô Vuông Nổi Phong Cách (ANO23017)",292000,https://tiki.vn/ao-sweater-ni-nam-5s-fashion-co-tron-cotton-thiet-ke-in-tre-trung-vai-det-hieu-ung-o-vuong-noi-phong-cach-ano23017-p273282306.html?spid=273282348,-35%,2.0,aoni,584000.0
8,Áo len nam dài tay cổ tim phong cách Hàn Quốc,189000,https://tiki.vn/ao-len-nam-dai-tay-co-tim-phong-cach-han-quoc-p33754891.html?spid=33754915,-40%,118.0,aoni,22302000.0
9,"Áo Sweater Nam 5S FASHION Chất Nỉ Dày Dặn, Phom Ôm Vừa Vặn, Họa Tiết Thêu Nổi Bật, Màu Sắc Dễ Mặc (ANO23012)",266000,https://tka.tiki.vn/pixel/pixel?data=NuymsAc_-gWuhWVzIH8v0J-6M6wn6XMiwwZiWYpSPLdAz6Mau3gTlkNsWrS3KhgWJtbxmGySfQhC1hWKkCOpgQVqgTRz40xa0NZ8Ao7obVU07fxeCxgWzPvp0gVd2H8l3eDywZo1rYgplefZTauP3xplOjr5FC0xvP4JngjOWBl6DSOWqJwGdV-znjC6J5_dnrK-VpR8UdzfCmShHddDv6fTYtdh_SQH8LpsDZVSn0GonZ4gWUBU1TH_spG-aQmhCcG8kDhz6B6JwghydMyzUrjMv1Sk1q3qYTbgDJH9drQGMd_IzJ_Hqe23zZOAZw4_j3TZG3sG2bKavnBghz7Y19q2505Dv4Sd_xX_qNjwoFHVkgDOpiTtEeWONlbgNp1eWy_W54FU4a__Wus7G4xzBvrXEJUuLsvMPhoimOxJEBR8BXlCBuMCm8T1qPO_GXJ6PELVqm8XDlupZN-19HK4bOplhaP0pv8KefiHaruCieA4sES64Eobil1mD6Nz6_eZ7oLNU8UT_DOYOcvlG6Lhdyq_Kiq3fzI9fp0jRPFnIgDU-w9u4N19zu6XeKjdFb6Qbv4xoOM3i-0VRSMB_U-q08wP5nDN7h-BGA-4kdv-_CD3VBmywht1g-ILcb3rRmy5whRV5wTV-RoACm1dRXOD4cA_xY2P9eR4kPWEoi9WG5ySXnbW6K7E0rxHopDISfyMrUOIkaTlnrQI04EliYB3Py6Zdz_Wn-unAvN3JG6fSpGC2sWu2DA48fLmJS7pGUoAdsMq9XKXcLDm-CRD7hHUBGsvzA_QbavcqQ6y7xSyQy-Pg5vUeub7AmkP2bLH1y76EI-93mUmab0B5uyVKAIpaGiTnPJZ0EYJrVQUPSZ8YC0zcV7xfzgvo_0LpAMFRnv8TFd8Ce42fvDuUkcf9hSDAfucl49Od2FK_MZ6C4Yo9UUkT3zQREPHAYoRqiSZGERNlmjM90OgI6DwKEQxahkIOdMxYzpiACrju1_xemcAPXFgxZ2MlmC00FinanfgaNaFv838cXakJHUutUJAU0afrrsxWiT2CpwVk9tvuw5b-UZPnE9luOz1-ExXZTsSHHMlB1LcMQ6Rr46rCwcj7BrW14Ha_wiKbWJosIXPJ8EBs6w2yw&reqid=dLlTViaWrPGdN31W&type=CLICK&pos=11,-35%,2.0,aoni,532000.0
