,title,price,link_item,index,discount,sales,category
0,"Áo khoác gió GOKING 2 lớp, form unisex cho nam nữ. Ngoài vải dù, trong lót vải cào cách nhiệt. Hàng Việt Nam chất lượng cao",235.000₫,https://tka.tiki.vn/pixel/pixel?data=xlY98fkU0QdStWH0MWrlCX6sQpwYHmmuUiM3f0DRcEaBCoGHP1bu4XP_awxBnvE8XpEYtqPy92fx49NN6JFEQADk0myax5eyPJE6i8PkzEpNNy33LW_N9ePNRLkUrduntlPg4UZ6UJ9ycwG6ztQi_Ui4Y-38siGxwo_NU7Zj5lDytvk1o7n5QteGFHletz2ejz-S17SLAalg_XthliCd7WQ6jQLKUhI8mPjSH-p004soYouU9VO1PmangOJ56QuCn1kB2BZy2GVLBphX-9EOw7My0fhXJcwZtT5jtvqtDfTZMttG3TdTlllcFZi4X760Gy3DnURAr-RPEqHtX-Pu3JgrnwFM4xjxBpnOa_E-o67Pwz_0VWbWTmql8zc-VxPre0qUVG-hvULNz11TPIWz7cVTQVbzD5jE0dTIVKghSwO3wx1gsWn_Zyq0f9z2duPIVj_dhU64U4_YYWi4ngtTiTTZY-hsNrTl4jUkvjYsbuXsm1SVtyOcyWLiZ-bC_KUF2JaNbu_jDkjm4L2eTvw11Clqh16EXXFX9KJAQpE7zBk2YnLlNQYukmgaW9OgqS825Z11JNyaPUrt5NmdnkPEvDoLUgUKOLImFXeAfaqjCn_WXvPxXsBCvISYizLimfDngz4hr1wr7ssgPCMv6WbjWn8-T3yWHcot_hYu5wUuO4-Qf1QZyFiWC2kwnLFe_8ncR00ygakSm--_FQlMGMz0feIEzSDkIka0XRWRudG1L0Jr2aJetF2b5Zai6Rg582MuuHT0DJQV5Q7xMK0RpNm8dub_I-IUqVaNPeYVbIQh8GY_7GUJdUb3lA9azl-6dIEC11CzWNfZvAXqVImmQlkFxn_5SORiGKv3OXO2uWDTCN8xIbAKzqjzFXlnJ4uVd0tOkJ9use5aOIQLPAc7YvRYVbZ_SnuDsOxwn4NJZO0wUnpUtQRRq8Vb-_feWGY8fedU8j_D2nuIIv5worNvspnF7SjQic5Jwoq6BMASHD1qC75OV8px69Ll0kKBMsRIa1ya8tgAdrr7MDTFr3oJ7J7tVCLLJqcfGxy77MguMvmBhjWy7E_XyeDBbbDlFhtv3O4CBSudiXoVc0iOY5TpRS-ShQzURb1bcR6sBFYX69zONioyBxMdcv_saO_OPId4ocUx3BEY-Z1Qx1KL5j9gFN7WBbphfJVWw3D6&reqid=EgaqY4bXIoCsb2vz&type=CLICK&pos=1,1,,Đã bán 80,aokhoacnu
1,"Áo khoác gió cách nhiệt GOKING, form unisex cho nữ nam. Ngoài vải dù, trong lót vải cào cách nhiệt, chống nắng gió lạnh, giữ ấm cơ thể",235.000₫,https://tka.tiki.vn/pixel/pixel?data=vHcpn6EMVm9r0j_gDxXVyGHoHCiCECKPgvQXTxH08NIWQiE8E713hZL8tdeKkUyvdGIItDHp9bf__AqZpMIBkhp1HNL4lNeLP7qPmKAA64uUjtoL7RQcuXGOl2q4VdGEUSQjakDl5thacL-wqQkul9TB633NTaiYsLEQ85S5SLJanAX6voFECHQdG-pFreWbVsDnzweTL86kz_Tp71RP5S8mqQ7nkV-OwcPEjNGmkLXUiEC429mcSpQh70L6IPDazSkoBiZU-8ItUtXEfLcdF0Z0OwicdBQLPsbkHnglGsbgpCjsTiYGtO2t3kiAYJlcyoe6LVH7kmxGv-Zl2IeJkgDE0yFP8GFg_PYHbDgOQDVdcPThs8-Xe59Gka41SrzeSSvGHiX0PqUttmx4aKuVioBAy1T6kC3RgmogcS3MBF-famVrpiNzfcIGQe-Nq1oQ8scKt6FoIMOXvA3j3JkVrYuMiNRqyRw0ff62IqHo0ZzoO52Lc-oYoWyRmFDhtYEiLrOgc-5oXkLEXd_qEUfGJ1inWWooDBh6kZDkSiwsczzbZDmp_LV_QACcH0Dwc6AKs6CtZebi30lni3fW4zaU36NL-Rfro8-V0k6H67993nEa6HVBlxoXdR4NSR9xMrt7GlnJZjivZ6prfE2105GmD5S2DBFMAvK7Qui5p8WL9zFpRBGrRTd53BLydMn3O9vPJ6h5BPHZK8JYjLLickWc0bMb-QHGnygfF7EZynbicLy0uOaIyWOpZIjmpSD_cWg-K14P0TbU0aXJmYeH2ruswKeVM-li5HdKGDaVTVD5YMEN2ai30gm5zObF_tuekzOHM-3oX1vBcTXIvK1ZfffGj7Rh3A8HOTpySbB8Dsk_Zl9hEbQG8o0WLolcu6Ys9V9QmHcokDwbQEPxOTidlv-Nv47uq0K_D-nvbkx86FbqB-8gbIgxSRmnhfRazreXEHUf13t9QmhLex3lCcvojDP1jBhhTe6RDLel7HuKhnttuwXyIC7ZAM0fhVm04FPA-OJsvGq8LOJb7AuRdkgzjNc6c9-w2Pp_xvYs_tcANJ2aOI7qLz84-z2iIFQhaHw2NFQ4bD0bwpu4HUE9JRtm3C7I8cjVcgZzoc4ooQthKeMTnhPX6hbnp6td6bZJvEnyPVv1X1ykWbxSe5DjBFt29ZksCn0ibmQ2oBDzDLhZJM2XYhbnAh47mNU&reqid=EgaqY4bXIoCsb2vz&type=CLICK&pos=2,2,-44%,Đã bán 89,aokhoacnu
2,"Áo khoác gió cách nhiệt GOKING phối viền, mũ dấu gọn gàng, 3 túi to rộng. Form unisex cho nữ nam",255.000₫,https://tka.tiki.vn/pixel/pixel?data=xR58NASNnvnZMIfnIwCsxrY093t2PO5xP57wweZCUGl6a314s5ZTyD9r6NcEvHB6zPnDnCBVzIJn0cBvP34SEQWnHpLHr-RUdgQ7PBB7Vf-1sUfssBJzJ8LyxEd_o1JZxuw4mGXqg9WIhgCZpdWsMteWHp0jLhu5yTKqos4J_l4PONZENwq0Qqu_ZE8Rzo-TO0-FIdthYZonBID4MFxNI6i2mEPjtMgA9tb79hgLiKubi2v7ExeSKNEtR9dGel-Rv30Mstm00iVJGLiEYQhikohyMNkjRlcr1CwfZqIYsttJrg1sE21MHR01xzt7oD9QdkIS9Cun412G3hDt2Ka9NS7kesVqHUJ-eAagBxCvtPyJh-tqGXkdkbBxscZHtpWHhzDirCco4PQGlhpRfK2zvfbTrKpKGOc2LxXVzQNl-xI1DQgLVByIRBDX-rW6L6gcg_IIAwvVcO3xDbRxu_tRCjqOY2o285xDhwh0U86iOfrjzQ9KtpnUdL2E2d147-riYnDSgDv_LTB2lrMOW5FQwV2JfalKUEC4ossccsSrvVf2iYC9VW5Hkd7NNssxM2RBSeXWafHxvXrGBcjwIv4KR7t4T-68Lf-9NazSzpCen1u0rbigWss-MxSaD9J0f-iNeEhfm-3vKFlJrg7XXMXp6mUoLD-MOJnohyZUULu6Na6DlMef1gvDXvNI6Vq5Tz5HAh7SiYhaCYvxSJx1DDtKX9ebRNshphHGaKyvGW7A7b6nGpYBCw7RBwm_pZJJgyvmkLCTVnmwQuYqkT7hnl1iWZstIFudCvkDE0Ibz0XMDJ1RkxVzgxbCDl-vHkSsAxKY6QE_GoAkED4uWvj7AXoL8zp8OmJYIwy2egQ08p6Dmpuk6TFqztbj-7RFq2catJNOH-Vq-Dnwx-fCR3bOD-BRHzxwoCFUedEQbCEPavJniKgf7JScbPGIegR2SP0qZliVZiYo4wyDfW3cZ7aojpk0ovXrkP5p5PaWL2KGx4gPqyMvuU8d5jausaGgm9mRxNpkuOcALCIjZt5Q7WqDi-29MIfKHra7I3W923SN_vLUSlr9tMbVb2f4xup5JdDmw_uRApXmDWk32xruwyYHn2wX8ovY_bMU3JnJYH1EFEDp5Nppetjz_eXaj5wMZXime0TmLAWoRSRXohYyoTnDZTf95Ni5JCXMXZ4nvis7jg-xB7zaoQ&reqid=EgaqY4bXIoCsb2vz&type=CLICK&pos=3,3,-12%,Đã bán 102,aokhoacnu
3,Áo Hoodie Trơn Màu Xanh Dương Cao Cấp Dáng Rộng Unisex Nam Nữ Mặc Được - MM,120.000,https://tka.tiki.vn/pixel/pixel?data=uA1THT8yBf69BRgoVKP5Tg_hUJlKLCyJuUJk_RkQyI1g2VgRw0HrnDaSXB1oa8WGBRMZ5_9ogOvWCO2tXoZyGkvWrR6KDVfcXJD0gtpn_LnONUCHQpz_fHhP90kcP0hJiVd2-76DYOMSaU9htjtVStDL7QS-3hExujnqRPaTiQSZn3JQlHObYByKfFg1B3wqFfStIHlKqL8OwawWXBWjN0-lebwCAmvO6wE3TSdQ-ehrOUeXDCIACgCEBwgvpxkRLHQGktTY6G2t_QlPnEnpSmW2cIuK568ovHpJd0JoEjncwLWn6Q-YlaKYAJzholfXkcwTPKwI2nwTCeEWpigsFQKIGzObbnV1cdpgHwAIlquUtFuEfarK6hJcnVWUY_EMtzyIpvA6lcRRs6ddkl4O3Y6I1wSyDGHCqVDdMpZMxZ-CVYOjEF863AiOO2g3mNdrsGFvUdR8A0-UuUugs7yms4Jrbe7gBlAbwPy23wkvfVNKHLSi_Qe3J-_ki1KM2zcQvAWF7DJJAsrw8mbmKrcZpgdr8NlARwGJE9s64oEgYRsYOeXc0WrVnHmqn4u8lBGWeLLhbEgxCiqDewwAyhy31QoVGfyFxuQK2LM9gJuSIRp3VedAhcG9YIWy0pcXReXB4AiM2KXsHYlpiMdQDPWzKExkIyf1HL-HOEiWwSNxBfarz7rXKhsFfTnEDVS0a_8KR3dowjPQfQORJqXyewsVr_-T48w7VZooStNM1ryExzOveR1zxsrDRU2SCud5_cfejsGrCCEzlCvhCQ6clTXd3Ycf68nKVUH8zZHFE3oGOp_CzG1BhDvJ_SuJLzGfYVWPZ_fRL1j2fhGKIw6szVNHFAx-SpZc3UVId5mvDm_u9cOV-O_5VgCUK9JHuAKvx-YaD5HRaqY56S7c6kQSCkhSk4O3xWkDZ4WPLcN5BT2Ttfke3nbbz3o6Jm2EzV0TD2VdBzO9B6W3ROTjeapOlaNtvWwTPlPqWZwEesK0Dlhh-Dxe6fJQ7jVB7qKKi_Fyg4o6CmA6kmnJGCgwWYSg36YPztmlDheRHlO3K656xcRAE86fMlRM3FtYDi9hreNuxDXmOuY0_13MWHRhQlPnG5R97vZ7aNepRQQ6hFIAMsTv5endd0AioyRLg22F5v0i_i1QSA7cwdpA888ZaS8UAkPg4QZ7BdHNSnIHbCssnDy4CtvoeGWtDsii&reqid=EgaqY4bXIoCsb2vz&type=CLICK&pos=4,4,,Đã bán 1,aokhoacnu
4,,,https://tka.tiki.vn/pixel/pixel?data=LzBbBKjwN5CgFt1B3PrstG_F0ab4E-yJ8jBKWcdaqiSuPVkIoswCCxX10ndodjoUlXoKnQ6I0eb_G2zsRc2U36qRo7bZHRPPl51_XSmE96FClFUW5izW2q-u1qnYk6qt6cXLYH5Igkqn7pzZ73As8693W8ZFXam9u-vn04bdwbS-Y2A3GYQBdQy1efyoOiA8-1gls77neccgEzjOAqVmsbgyaX8TcDn-sBdaxwGLpkQXS0z-7gmGg0UMURmWr7uJ5ScP3_Jnr1BtVPJHpuiZjXb-Lvcu5ERt0KLgZqTrBN23o09BPTtG6TpjPiMqfUy5vJoLjuz5-IhDKf49fyzd2A4NdXHBYAEe0Tjfyly7XBBxqV_5cCXdkgk1jVEJUFWeM4vGQCTW3lA1ideRIK2d9WjD8oKVGYZt5ss5XWdSQipDOwzOCby8CpWuCAadUaGyBKoo7lzZgUmO1zC0sgOz_WddRu-LhuEeOEfuTxCnN8eUledETptFyLzhS6Ahh7Rq-ye4xUc8jpcvhx5d781GZpypuM5UXn5Jd_N3WovJKzemKFpU8mrEGyBAez7Mr2bOZIH9NyJ9hEVIErqDzBogil50ElJTXFHZxjWumBw6IAFA48NmpLVejWryIgBVgXl4reV_fTJDaNYPb5kG5sCq3Kjl7vHZj11n5dYONWA3KNnohiaZNIky0FQffOTE-YJioyhaPFrT5nEy5wZ9MpRqRRKQRgm2WCnONHc1FuojeYy_ddR5ax3IyAttSTgspTK_XlPxscRRBU0sxCN4kwUbSMMXYWX8wnwJss2RDOe_ank_FMy3DFFTNKq2fAO6QLbLzc4ELd4zvaJcgNomEq-LrwXzO4uZEgxNWmpS6fSTh61LIhr2mRQmUcqeJh8ntMnw3snnvD25xI2UjKGL7kx9Bqua48hzSC6TgrUBv4UPfiTGWOnX_F3APB1R_C-UZYRHulH1HW65A0IwLhd-VoaCJ7NWzsB1jNF0OEbv1HmpzpfCA_dhD5ZMdLx6vFKjZIkQXQMKOCsaeFuuSNK0yIbk1UCAWKHGFsxsYoy71T_IForsNKOr__AhqYbVyEu9qHBYwvxpNDtJDJBvzxdefdbm6dkPCRnfT15y6xXfGbOAhMmuD2cySorqwkv-2gEQlV1aVtOlP01-03il717oDSYf1kQVdTqELqGpg4o&reqid=EgaqY4bXIoCsb2vz&type=CLICK&pos=5,5,,,aokhoacnu
5,Áo Khoác Nữ Cao Cấp Chống Năng Form Lững 2 Sọc,150.000₫,https://tiki.vn/ao-khoac-nu-cao-cap-chong-nang-form-lung-2-soc-p87670862.html?spid=87671086,6,,Đã bán 8,aokhoacnu
6,Áo Len Tăm Cổ 3 Phân Hàng Loại 1 Cao Cấp 344,55.500₫,https://tiki.vn/ao-len-tam-co-3-phan-hang-loai-1-cao-cap-344-p197913047.html?spid=197916024,7,,Đã bán 26,aokhoacnu
7,"Áo khoác len cadigan mỏng cúc đóng dáng dài, áo len mỏng dệt kim dài tay cài khuy nhẹ nhàng cổ chữ V freesize",189.000₫,https://tiki.vn/ao-khoac-len-cadigan-mong-cuc-dong-dang-dai-ao-len-mong-det-kim-dai-tay-cai-khuy-nhe-nhang-co-chu-v-freesize-p201672923.html?spid=201672930,8,,Đã bán 24,aokhoacnu
8,"áo sweater, áo hoodie, áo sweater nam, áo sweater nữ, áo sweater nam nữ đều mặc được, áo chui đầu, áo sweater in quả địa cầu",89.000₫,https://tiki.vn/ao-sweater-ao-hoodie-ao-sweater-nam-ao-sweater-nu-ao-sweater-nam-nu-deu-mac-duoc-ao-chui-dau-ao-sweater-in-qua-dia-cau-p76257707.html?spid=76257709,9,,,aokhoacnu
9,,,https://tiki.vn/hang-san-ao-khoac-phao-nu-dang-ngan-trung-nien-cho-me-ak134-hang-quang-chau-cao-cap-p86880952.html?spid=86881015,10,,,aokhoacnu
