,title,price,link_item,discount,sales,category,revenue
0,"Bộ mặc nhà cho người già, quần áo phụ nữ trung niên chất vải thun siêu mát",107000,https://tiki.vn/bo-mac-nha-cho-nguoi-gia-quan-ao-phu-nu-trung-nien-chat-vai-thun-sieu-mat-p253090279.html?spid=253090289,-5%,11.0,botrangphuc,1177000.0
1,TÚI NHÍ 2 ĐI CHÙA # Bị,25000,https://tiki.vn/tui-nhi-2-di-chua-bi-p254108943.html?spid=254108974,-67%,72.0,botrangphuc,1800000.0
2,ĐỒ LAM CHO BÉ IU # Mẫu Bé Vạt Hò In Hoa Sen,80000,https://tiki.vn/do-lam-cho-be-iu-mau-be-vat-ho-in-hoa-sen-p199059670.html?spid=199061541,-50%,3.0,botrangphuc,240000.0
3,Mẫu Cho Bé iu # La Hán Cho Bé# Quần Áo Bé # Đồ Bộ # Trai Gái Đều Mặc Được,73000,https://tiki.vn/mau-cho-be-iu-la-han-cho-be-quan-ao-be-do-bo-trai-gai-deu-mac-duoc-p254109097.html?spid=254110043,-46%,3.0,botrangphuc,219000.0
4,Đồ Lam Đi Chùa # Cổ Tàu Viền # Đồ Bộ,155000,https://tiki.vn/do-lam-di-chua-co-tau-vien-do-bo-p254101974.html?spid=254106919,-36%,4.0,botrangphuc,620000.0
5,Đồ Lam Đi Chùa # Tim 3 Nút # Đồ Bộ Nữ # Quần Áo,181000,https://tiki.vn/do-lam-di-chua-tim-3-nut-do-bo-nu-quan-ao-p118015508.html?spid=118022241,-48%,15.0,botrangphuc,2715000.0
6,"ĐỒ BỘ ÁO QUẦN ĐI CHƠI, ĐỒ MẶC NHÀ, Sét bộ áo đũi cổ yếm kèm quần sooc ngắn y hình",156000,https://tiki.vn/set-bo-ao-dui-co-yem-kem-quan-sooc-ngan-y-hinh-p164010764.html?spid=164010765,,3.0,botrangphuc,468000.0
7,Áo dài cách tân Tapta nhung kết đá xinh xỉu AD023- Lady Fashion,240000,https://tiki.vn/ao-dai-cach-tan-tapta-nhung-ket-da-xinh-xiu-ad023-lady-fashion-p213721801.html?spid=213721823,,4.0,botrangphuc,960000.0
8,Áo dài cách tân nam chất gấm thương Hải,380000,https://tiki.vn/ao-dai-cach-tan-nam-chat-gam-thuong-hai-p121648921.html?spid=121649151,,63.0,botrangphuc,23940000.0
9,"Bộ quần áo cho người già kiểu dáng sang trọng, đồ bộ mặc nhà nữ trung niên",249000,https://tiki.vn/bo-quan-ao-cho-nguoi-gia-kieu-dang-sang-trong-do-bo-mac-nha-nu-trung-nien-p252725448.html?spid=252725464,,3.0,botrangphuc,747000.0
10,Đồ Lam Đi Chùa # Mẫu Nơ Và Sẫm Tàu# Đồ Bộ Nữ # Quần Áo,156241,https://tiki.vn/do-lam-di-chua-mau-no-va-sam-tau-do-bo-nu-quan-ao-p118023023.html?spid=118029198,,52.0,botrangphuc,8124532.0
11,ĐỒ LAM ĐI CHÙA Áo Tràng Đài Loan Cao Cấp S2,179000,https://tiki.vn/do-lam-di-chua-ao-trang-dai-loan-cao-cap-s2-p199068055.html?spid=199070618,,1.0,botrangphuc,179000.0
12,Áo dài cách tân nữ tết 4 tà tay phồng chất thô tăm cao cấp,110000,https://tiki.vn/ao-dai-cach-tan-nu-tet-4-ta-tay-phong-chat-tho-tam-cao-cap-p176055199.html?spid=176055205,,2.0,botrangphuc,220000.0
13,Đồ Lam Đi Chùa # Lãnh Tụ Phối # Đồ Bộ Nam Nữ # Quần Áo,102000,https://tiki.vn/do-lam-di-chua-lanh-tu-phoi-do-bo-nam-nu-quan-ao-p118026605.html?spid=118033942,,43.0,botrangphuc,4386000.0
14,Áo dài cách tân lụa tằm đính bẹt kèm quần,400000,https://tiki.vn/ao-dai-cach-tan-lua-tam-dinh-bet-kem-quan-p145279299.html?spid=145279337,,8.0,botrangphuc,3200000.0
15,Đồ Lam Đi Chùa # Bà Lai 2 Túi Áo # Đồ Bộ # Quần Áo Nữ,157000,https://tiki.vn/do-lam-di-chua-ba-lai-2-tui-ao-do-bo-quan-ao-nu-p118022753.html?spid=118024182,,68.0,botrangphuc,10676000.0
16,Bộ Đi Lễ Chùa - Đồ Lam Nữ Đi Chùa Đẹp Cao Cấp Trang Nhã Trang Phục Truyền Thống 2021 Dành Cho Phật Tử - AL009,228000,https://tiki.vn/do-lam-nu-di-chua-dep-cao-cap-trang-nha-danh-cho-phat-tu-al009-p107035770.html?spid=107035780,,57.0,botrangphuc,12996000.0
17,Jumpsuit Nữ Kiểu Áo Cổ 2 Ve Phối Tay Chất Tuytsi Mềm Mịn 62JNS8003BT,209000,https://tiki.vn/jumpsuit-nu-kieu-ao-co-2-ve-phoi-tay-chat-tuytsi-mem-min-62jns8003bt-p235368469.html?spid=235368479,,1.0,botrangphuc,209000.0
18,Bộ Đi Lễ Chùa - Đồ Lam Nữ Đi Chùa Đẹp Cao Cấp Trang Nhã Vải Gấm Lụa Cao Cấp 2021 Dành Cho Phật Tử - AL007,195000,https://tiki.vn/bo-di-le-chua-do-lam-nu-di-chua-dep-cao-cap-trang-nha-vai-gam-lua-cao-cap-2021-danh-cho-phat-tu-al007-p118036075.html?spid=118036209,,10.0,botrangphuc,1950000.0
19,Áo dài gấm lụa xước hoa mẫu đơn đính ngọc trai cổ AD017 - Lady Fashion,230000,https://tiki.vn/ao-dai-gam-lua-xuoc-hoa-mau-don-dinh-ngoc-trai-co-ad017-lady-fashion-p208285044.html?spid=208285080,,2.0,botrangphuc,460000.0
20,Bộ Trang Phục Cosplay Cổ Trang Trung Quốc,300000,https://tiki.vn/bo-trang-phuc-cosplay-co-trang-trung-quoc-p251998295.html?spid=251998296,,1.0,botrangphuc,300000.0
21,Áo dài cách tân in bông chân tay lồng đèn dễ thương AD020- Lady Fashion,210000,https://tiki.vn/ao-dai-cach-tan-in-bong-chan-tay-long-den-de-thuong-ad020-lady-fashion-p212601109.html?spid=212601113,,1.0,botrangphuc,210000.0
22,"dây viền thần thánh hỗ trợ may cuốn lai, may viền tà áo dài... giá 1m",22000,https://tiki.vn/day-vien-than-thanh-ho-tro-may-cuon-lai-may-vien-ta-ao-dai-gia-1m-p149452796.html?spid=149452803,,20.0,botrangphuc,440000.0
23,Đồ Lam Đi Chùa # Lãnh Tựu Nam Thêu 3 Túi - đồ phật tử,231000,https://tiki.vn/do-lam-di-chua-lanh-tuu-nam-theu-3-tui-do-phat-tu-p107037070.html?spid=107039416,,29.0,botrangphuc,6699000.0
24,ĐỒ LAM ĐI CHÙA Tim Phối Kate Mịn,199000,https://tiki.vn/do-lam-di-chua-tim-phoi-kate-min-p199060588.html?spid=199065943,,1.0,botrangphuc,199000.0
25,SÉT BỘ THUN MÈ IN HOẠT HÌNH GẤU TANBY CO GIÃN BỐN MÀU THIẾT KẾ THEO PHONG CÁCH 04 TÂM SHOP,32500,https://tiki.vn/set-bo-thun-me-in-hoat-hinh-gau-tanby-co-gian-bon-mau-thiet-ke-theo-phong-cach-04-tam-shop-p249233616.html?spid=249233658,,1.0,botrangphuc,32500.0
26,Sét bộ linen thêu hoa áo cộc kèm quần ống rộng trẻ trung - Áo đỏ + Quần Trắng,420000,https://tiki.vn/set-bo-linen-theu-hoa-ao-coc-kem-quan-ong-rong-tre-trung-lahstore-ao-do-quan-trang-p205012746.html?spid=205012748,,1.0,botrangphuc,420000.0
27,Áo dài hoa gấm lụa vân gỗ truyền thống giáo viên may sẵn - Áo dài Việt,492000,https://tiki.vn/ao-dai-hoa-gam-lua-van-go-truyen-thong-giao-vien-may-san-ao-dai-viet-p272160823.html?spid=272160829,,1.0,botrangphuc,492000.0
28,Set Đồ Nữ Áo Peplum Quần Ống Vẩy Chất Tuytsi Cao Cấp Mềm Mịn 53BNS2001ET,1030000,https://tiki.vn/set-do-nu-ao-peplum-quan-ong-vay-chat-tuytsi-cao-cap-mem-min-53bns2001et-p259615666.html?spid=259615668,,2.0,botrangphuc,2060000.0
29,BỘ THỂ THAO NAM NỮ ONLINE FORM RỘNG CHẤT THUN MÈ CO DÃN 4 CHIỀU KIỂU DÁNG BASIC,73000,https://tiki.vn/bo-the-thao-nam-nu-online-form-rong-chat-thun-me-co-dan-4-chieu-kieu-dang-basic-p249255517.html?spid=249255593,,1.0,botrangphuc,73000.0
30,Đồ Lam Đi Chùa # La Hán Nam - đồ phật tử,207000,https://tiki.vn/do-lam-di-chua-la-han-nam-p107040848.html?spid=107041902,,28.0,botrangphuc,5796000.0
31,"Sét bộ đồ đùi bigsize nữ đi chơi sang chảnh, sét bộ đùi nữ sát nách mẫu mới siêu hot",149000,https://tiki.vn/set-bo-do-dui-bigsize-nu-di-choi-sang-chanh-set-bo-dui-nu-sat-nach-mau-moi-sieu-hot-p194456479.html?spid=194456504,,1.0,botrangphuc,149000.0
