,title,price,link_item,index,discount,sales,category
0,Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng nhập khẩu,3.590.000₫,https://tka.tiki.vn/pixel/pixel?data=dlRu7TWGN8dMH4iBE-ZbRNfo3OqF7wBjDu7pfeYrnDFjkgcgRl3fSCKnz8NxJK2ZiP0OmHCcQdNnXTSmrSlOI0x955d91_qAfBB1knn0vDgMXMbq8sVYSYmvFOrt4jkL4eVTRQJR0MZn7bePAVmUkWLTPDyjm70lPKeUtXrVvwIA9ixH0aJJIs0sU2vpOKWzHrlnedmhC1sbh-mf8cCXKwtjv2CqgEUT17rTbmI0y6cZ8F9A_q9Zus449bIHFLK3q4PTJjFjfx1F0UUk650C0ngPkVc10DVZcQf5dZWPKL45GzlXYavYn3v3Q80TR6wWUc5_-R7FDj7t7zYm-AxT-k0yMmmRO8Y_CMqETb695KZwc7xZdcJPvHhcCpQjQHwni8hcLTYSz_pHJ3xz19EbOC96JynigCXRCNcGVPnJDCialHGthclQz8nnzq7kcCzi5dhmIhclvZtDHiNQQh9ijghQcBQ3x2R7ckDyNOcampd4fa2WtwBEutzekJmkFbmvvuG9FtLQ3R1Fj4qBS0yBPz-yO2kBcBJ5QqnnNrGSkm7JOOAjNv1RfMLZ31WzNeFxJdNy4LHKmWeshBgqeta2kfKKIpR_WkYKKoSUVUaynPllPTurJNbBq-rR5HyAJ0X5hX0l40pfw_FL8g7sEnOfefv2zzilWbxikeDGEiKGLnh_gdLp_ge5doScFVQHBe5DjleeVUcCQMShGamTL8ZF5h2oQFFozqnBKXS5jeUFr_fjHKIkX7hCz4u1XiFmcB4n_x92qm7GCuC7VxEboOlI2TmvAy99XLIQQtoJ14dwB8C1z4cbpUQ_ttCzdHSe1fUZWyvw_l_tjMx9jde--N4gsm38ef3Khp29ehlfo0JMctrUojOPUs11Xnxflhuku1qau9ndWkTM8gePtwEvM4DQgOAcWKnZtSQL_pDy7f80Z_vqR1n7XNgCPdWEU4XGYbov-rkEnK8n3HiAdSAEjb_zw_yvbSWhZSLs1U80GvrjdhK_Ez0TQ41EKUTdtzyxEg&reqid=ua3aa7LUiYVyD9xs&type=CLICK&pos=1,1,-36%,,maytinhbang
1,Máy tính bảng Kindle Fire Max 11 inch - 13th - 2023 - Ram 4Gb - Hàng nhập khẩu,5.490.000₫,https://tka.tiki.vn/pixel/pixel?data=Lo3S6_Y_xhNLgp98VYbedGa1JgZu0v6xexujuEWGzc9OuSZfzPZTvH4wxqudReeEV2D9ndtTc3v4l3Tc4q6X3NMpaOSEdbqvS9VcWp3MMq8NkwZOBzznEqdN2XMllX5QO_8nVMs50bMPMcHIcoshXwXKDm8n0yxXSY401Ylx0trvvndC97dPZbeNbYXZZr1YIrNdHpnlmuCY2NR-_m3RysgdG81ZrREDlCDRYF33WI1V8FM-6fijS88h0v9_TtxZCZhTQ-1qX7P95dZWvcd4n0Q2T0Rb7ywtrBQRZs7Vynwkq7zgIeqc5JAnqJw0_VW4QqUzH172sHBSiPBPisEzONAizZSBRqYuaeNJC_ASjrSWsg191QJADKAsjASR8Mc4MmTqhdfDyXWODGdUCi7Lj2YQEmn7lXgbQadKS9iFDd1UEydnCRylZ-FzP205KFPl3MrZIwOBF9afMXU_U9Rk4eAi_CwtSTgiogxKqJ8cye8LMuBh5CSJERlKSGKps8CqDFnkGNphO_eSAeFQBhmGw9IENpKBmJzuhFVATGpssPouHpiYS7HPPj2AQxynxs_InrJDDy1PgULond8zuUgieHklJfHI1Nlr2gKSEgAwztl_rpZD6q9tjw-WspxP22DJAZ49INrJwHeVRWjKHHwnfRI4R1_yB5f3Egm8zu4Uluvx4aoX3RE_4I1F9XnbVOCF2upIweIJe1lQdtus8Fb0TUzgXK8XUy6cmU71Kum0XUW686eyNFAez5vqHS1HsAKYAcWFR3PGYi7DSVCCAEV2y_zXhIHROpstfU3V02m6a9o0bezo284fjHH8t5ane-RYH5GZNQFadjnGtSSMHikHd37sq73dkqnPxTTquCWJE1yn_yARlq__e6Hjik4tC_MDTvDROb2D-9mZAOdkXBhb7Om3xeHMYUbuerWPZp1tq4zxz3mtt0uSgDgIf-law7FTrGLuO4WWRdVPaIxS9D8uL9G7T1vESyE6ZUN2FiYmPYzw0F7CCC-JAYtvfJOeC3vJFUnvLjA9X74&reqid=ua3aa7LUiYVyD9xs&type=CLICK&pos=2,2,-17%,,maytinhbang
2,Apple iPad 10.2-inch (9th Gen) Wi-Fi 2021,6.990.000₫,https://tiki.vn/apple-ipad-10-2-inch-9th-gen-wi-fi-2021-p183330021.html?spid=124939771,3,-28%,Đã bán 3.1k,maytinhbang
3,Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng,2.840.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-13c-6gb-128gb-hang-chinh-hang-p273348837.html?spid=273349889,4,-19%,Đã bán 54,maytinhbang
4,"Apple iPad Pro 11-inch M2 Wi-Fi, 2022",19.990.000₫,https://tiki.vn/apple-ipad-pro-11-inch-m2-wi-fi-2022-p205815593.html?spid=205815597,5,-7%,Đã bán 299,maytinhbang
5,Apple iPad Air (5th Gen) Wi-Fi 2022,13.650.000₫,https://tiki.vn/apple-ipad-air-5th-gen-wi-fi-2022-p184253251.html?spid=168721270,6,-20%,Đã bán 742,maytinhbang
6,"Apple iPad 10.9-inch (10th Gen) Wi-Fi, 2022",10.550.000₫,https://tiki.vn/apple-ipad-10-9-inch-10th-gen-wi-fi-2022-p205815576.html?spid=205815584,7,-25%,Đã bán 206,maytinhbang
7,Máy tính bảng quản lý thời gian sử dụng dành cho trẻ em Masstel Kidzone-1 đổi 1 trong vòng 100 ngày,1.990.000₫,https://tiki.vn/may-tinh-bang-quan-ly-thoi-gian-su-dung-danh-cho-tre-em-masstel-kidzone-1-doi-1-trong-vong-100-ngay-p273684137.html?spid=271521000,8,-11%,Đã bán 11,maytinhbang
8,Máy tính bảng Xiaomi Pad 6 (8GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,8.790.000₫,https://tiki.vn/may-tinh-bang-xiaomi-pad-6-8gb-128gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p271364652.html?spid=271364654,9,-38%,Đã bán 8,maytinhbang
9,Máy tính bảng Oppo Pad Air (4GB/64GB) - Hàng Chính Hãng,5.590.000₫,https://tiki.vn/may-tinh-bang-oppo-pad-air-hang-chinh-hang-p195317118.html?spid=195317119,10,-39%,Đã bán 54,maytinhbang
