,title,price,link_item,discount,sales,category,revenue
0,Điện thoại bàn Ktel 645 hàng chính hãng,398000,https://tiki.vn/dien-thoai-ban-ktel-645-hang-chinh-hang-p170165701.html?spid=170165703,,54.0,dienthoaiban,21492000.0
1,Điện thoại bàn Panasonic KX-TS500MX-hàng chính hãng,300000,https://tka.tiki.vn/pixel/pixel?data=5OUqcQTpZ4ImZOJWZzNeM96WKhuVluHwBw5alH11oH-yDAiYHKq2rnhlFIAQhmb60q0pdn6U1hD3_enUTiDrVqVBaNIWGVd0S5-iCOJ14pzN-rKI9u9pyHN7E3XE0Y8iEPFb8dD17K-KU6el4Lm_w89rMkx0EPWDthWF0dvSmffaxMBGRuppe32o5eofpMVATdmAo6Bp4RnQnQwP15KllD2m5LJPLaBbXkCIQOI4LgnXSUedJv78shCvGsFBAhXj5DvvOPuX0gS9ubLPbloHTt1tHLr2xVMQPh7-d2sefw66jhTjimzuc6Y-alpvHeQoS9SPpWcBclhfwQ2X4-xF4qG0w5nhrj2a8jHgqhxJzbxaCiT0JBOAEPT2enty8yAtOoS2driMrOTgKey0eA7giufMurVpXh_hT2TxlJrTBGFMB5luz7kIFlV-YblVfXNJ-FAiG-YEnEEHchT1LixudzwsJcZNM5rHtj0qwQO8NsgErcfRlRv43a1Uv3S0Y2wDXNr9uJTP310HXdzDrsPRY7WsnIZkKN7vCgTIAX5V1maRFovMrOOkSvJu8FbFS5Q_RfRQvZQhoqGUiMRaUS7j8AxJcX6NR2XUgyThtONjc92nvHy70difzSMfYoEjDz3dkPv9L-9IWpSy4OZ9f6AuMNPSZfIus7EEgveUNV0XCdlAlcAr7gNFKbwVk_ZORvBT1ohpflYH-rQ2Rn08cnHBY3CiziBhVMqzV9awuJ_0z95h2FrFWQ-8sovth2BPD7e5fx7n7fciiuGrnM7uNRpsx03fV9niVcNSnUnxdi5eJED5yTUwpSVOyMP_6DV7gUSdhrMMm5ZObXedlv9IRF83fhi7uq-IFNEaeiW2QID6rU0Odu_zsWD8tESvt38rLKye0NaPKGu_E3QshQCCMX_xEn65eW_k34agHDCIbLkBocTF3jZW3mZXtMSCPP2pOHb-FXSS8q870LosRbNpHy85oFnXPLIdy1dxmfdN7HDhibKzbVFDEgPfXvLMUUERtcEulx6b87s2HDLsF31qnoGplc81yRewxYowufbO9XvRHUdt0Q&reqid=1X0O2NUoWRqr7Onv&type=CLICK&pos=41,,820.0,dienthoaiban,246000000.0
2,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,588000,https://tka.tiki.vn/pixel/pixel?data=_iHHRzHIZx1fVM44EO3L2-PWrcwk2kYLNnRCFLx2T0skmcIvB46upsumfAG4Z2dfeeYZwFpoYxjl1Lo_cAh_63YpWXMS-oLKQi_PBVN-bJUvFZxFtDHD42U97HknAg1cGj3RuKT9R1l3R1EfzcUczhWEKg24x019J-AFb7dgAPxbLy-7qGOBuw_YlwYucDIIVHjL8H2pQPdO-sk6BCE54qdiyhGx5rJ9Z9WJXst1dR_qXuLWGpZLbXRi6_8Hhfzcu5BqYZCyAnPi1tdNMJj2fu18iPieIRKRSa2FZem90CDlPrHDtKjxLYKkdhI8nkDwLgm22ctLzkHRfk232a26MFIH9CdJ-3bxgHziv5MgV2z9n8cGRwzMYfAnlAiF7JRhcTN1Eead2zcGViGij9MMAX_4rfXcJQXVzHdvg7Owxi1yPxz8xpWdoXD44JdqrgrZPX2GdOJnQr1zpupQx3Yar-90awJMgG9Utn_Da8Le4Coin6cJVTWAJjXo21n3gJqc4kLtSCayCJhwzTn9xMNwU_U8C_mm008LBq5KU41SttBb61q76o4gANcXKUh-yA5dOT_Ekw09snM_5EHU3bJAWEwNE1t2FfMRf8aV8FSH0SCVzXUhw1c5N95w0m8K86aTkcnYfSiLUehk0GlW9mnkShSdBYpU8yVwh-s5yAXwZQGTVCAQKy-1lhnzVOoCALff1wWtmPvhkJ9QU6TdLb_qu509G5wqV_JLavkT428G_nmADmVj_jDBGnwhr25HUn67FYdlGMt5H0EoASOcAmAjsZaA4ZUZD9dO3GFOnwOtx8nzceWbzV6qIyx0XjJ40tVSuUHSNz79udbhtQdKRQIWrEBP6uKHodOWW1Z6aYw7RGdMpmCqqfQkT-Sa6BN9f0ENvkbZHSGum3oPTdCQE6Suo3vtEleUv5ujj9HLxS19kg7P5-bRVDPT5TsLI2YUsJ_VPG3mWqJlVcoOBrlirvxekYV_5pHPri-nP0vcVgp8RdSoUQ5J768Psb4YqR-l8FrLdolgp9NjI75S7d01hll80ZvWkRK3Vm3oVFccYi2t2RnHjKfyK89A33aV_U97&reqid=1X0O2NUoWRqr7Onv&type=CLICK&pos=42,,246.0,dienthoaiban,144648000.0
3,Điện thoại bàn Panasonic KX-TGF310 hàng chính hãng,2290000,https://tka.tiki.vn/pixel/pixel?data=gViYg3zMMx5o66KPJGjcLXA2_T7LdEO0QSgT5q964BFXO6QfP5yeBmO4t2_U2O71w-mKcI04jHGRZhtSNxVnMfEU3N3xbckg0ogjb969qXhwLlE4f57LZROK-TPprly9YbABVdZZnOYXdY3XzNwLnRF4_viR8eEFUq_o_in1zdc9JlpokXdXDPDDzQyHRgqMFJV3rxPVCIChK1AvuXGwLvGmZPS4N39uZpLBPa1i2puBlliKZ_GGttRexcLhRaGLOxsRtvdv5IowOAxO-eTMnHWx_g1l3GUrNFrKx-10cEgt-C_uNcTYKJXnkj1VLPMWDsfA7JEWwwZ1aXnEd_7LnshFYWObMbugA58caCBNqqjIijdH8HyJpIPkEs0u2tBymRyIpx1pwrh_ooMJ0QB0rt3OCoc2BTYzg8b9PyneYzIQG34JupR_g2bNPSOWMqUzrNv1nEHo4J2gXbblNCLVQuXLDT-Ea5imMURkGAXriQcQov8RHOJ6dj_0sUceblRFwBwNxl-a4AAskTqS6h9qid3zZmf6VK6S4RAPXVUtsKmZHZ33Ve2_0SK3Alb0o_XD0VBaZ9rUAWgCO7j6B4pfQKvE_hJ0zUcYWMtaDHcOB7JMJ3R_qHIcH8OWPGb0GmDeaxrBvP903E-K0DMo8NPUuTLpe60BOBJvWoQ5VdNGsRc7FBqgaGM5upR6pYC81l3uiXheZPI6VKj0l-RybzyiSJAIQakaNq3J4thFR786HGFyH1kIBKCABRWySFMEyHNEdcFN_6iSk5Oh5rHda_RyIDYv6HRpbzvBoBVpf81GsyjYKVhC6vSTmCnMqi9hqM8VS_IwVhaJn4g8vPZKcVksbXeMW1G39fM5pUH9khJVTeur87zeS17ZT_wQMQIqXxeButItKX8nhaBgHuTPoWNasFdwE5lTEY-RHasH2i6ooMQVWh60umSZn8XUcB22zvXJgvcbdvuloxUt56TD_aNtRr_cdwbC88a70t_GeN3b4HKf8BCRTGgLxnSvraR6rakM79stj1gJ6RQYxD8_xfdCk4YhgsNeL5-33vAWhaBF2Mw1TDgO3zhr-xGXWcvbfg&reqid=1X0O2NUoWRqr7Onv&type=CLICK&pos=43,,34.0,dienthoaiban,77860000.0
4,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,620000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p125171841.html?spid=125171849,,26.0,dienthoaiban,16120000.0
5,Điện thoại để bàn Panasonic KX-TS880 hàng chính hãng,1250000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts880-hang-chinh-hang-p16521748.html?spid=43336431,,3.0,dienthoaiban,3750000.0
6,Điện thoại bàn Panasonic KX-TS580 hàng chính hãng,999000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts580-hang-chinh-hang-p170727305.html?spid=185711237,,1.0,dienthoaiban,999000.0
7,Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,380000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts500mx-hang-chinh-hang-p157835051.html?spid=157835053,,7.0,dienthoaiban,2660000.0
8,Điện thoại bàn không dây Panasonic KX-TGC313 - Hàng Chính Hãng,2100000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgc313-hang-chinh-hang-p23142193.html?spid=53536558,,14.0,dienthoaiban,29400000.0
9,ĐIỆN THOẠI CỐ ĐỊNH PANASONIC KX-TS580MX,940000,https://tiki.vn/dien-thoai-co-dinh-panasonic-kx-ts580mx-hang-chinh-hang-p11415485.html?spid=53635663,,28.0,dienthoaiban,26320000.0
10,"Điện thoại bàn cổ điển, điện thoại bàn tân cổ điển, DT122",2200000,https://tiki.vn/dien-thoai-ban-co-dien-dien-thoai-ban-tan-co-dien-dt122-p52481412.html?spid=111520049,,2.0,dienthoaiban,4400000.0
11,Điện thoại để bàn tân cổ điển phím quay DT11,3500000,https://tiki.vn/dien-thoai-de-ban-tan-co-dien-phim-quay-dt11-p257861524.html?spid=257861527,,1.0,dienthoaiban,3500000.0
12,Điện thoại để bàn Panasonic KX-TS580 hàng chính hãng,850000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts580-hang-chinh-hang-p16518729.html?spid=43982425,,3.0,dienthoaiban,2550000.0
13,Điện thoại để bàn Panasonic KX-TS880 hàng chính hãng,1060000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts880-hang-chinh-hang-p192694043.html?spid=53635751,,13.0,dienthoaiban,13780000.0
14,Điện thoại bàn Panasonic KX-TS560 hàng chính hãng,688000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts560-hang-chinh-hang-p170727266.html?spid=170727270,,48.0,dienthoaiban,33024000.0
15,Điện thoại để bàn tân cổ điển phím quay DT15,3900000,https://tiki.vn/dien-thoai-de-ban-tan-co-dien-phim-quay-dt15-p257866809.html?spid=72194097,,4.0,dienthoaiban,15600000.0
16,Điện thoại IP Grandstream GRP 2601 hàng chính hãng,880000,https://tiki.vn/dien-thoai-ip-grandstream-grp-2601-hang-chinh-hang-p198868735.html?spid=198868736,,2.0,dienthoaiban,1760000.0
17,Điện thoại bàn có dây Panasonic KX-TS560MX,730000,https://tiki.vn/dien-thoai-ban-co-day-panasonic-kx-ts560mx-hang-chinh-hang-p11376644.html?spid=131391454,,12.0,dienthoaiban,8760000.0
18,Điện Thoại Bàn Panasonic KXTGF320CX - Hàng Chính Hãng,2350000,https://tiki.vn/dien-thoai-ban-panasonic-kxtgf320cx-hang-chinh-hang-p4065607.html?spid=77768129,,9.0,dienthoaiban,21150000.0
19,Điện thoại Panasonic KX-TS560MX -Hàng chính hãng,675000,https://tiki.vn/dien-thoai-panasonic-kx-ts560mx-hang-chinh-hang-p117929538.html?spid=117929539,,6.0,dienthoaiban,4050000.0
20,Điện thoại để bàn tân cổ điển chuông thanh bàn phím quay mã DT10 dùng sim di động hoặc dùng cáp nghe gọi âm thanh rõ ràng và để trang trí (điện thoại bàn tân cổ điển),2320000,https://tiki.vn/dien-thoai-de-ban-tan-co-dien-chuong-thanh-ban-phim-quay-ma-dt10-dung-sim-di-dong-hoac-dung-cap-nghe-goi-am-thanh-ro-rang-va-de-trang-tri-dien-thoai-ban-tan-co-dien-p54882670.html?spid=55089791,,7.0,dienthoaiban,16240000.0
