,title,price,link_item,index,discount,sales,category
0,Bộ 2 Chai Sữa Tắm Gội Toàn Thân Cho Bé Johnson's Baby Top To Toe 500mlx2,227.000₫,https://tka.tiki.vn/pixel/pixel?data=e8eHa9KIrSVZJd5fG9melTSwNRiCvijOHPWWJf7rVcdFlvPrCcjfH1wkhTWh_K2RAVGXeSB9xP8Xjq1dBH-cGlHdGSxqRI3E3keiM_57DX2Ko4Gmcc8kXkpI7_Mi5HQ4OQmYRi7B1RNKMQPA_IOFBExXvmFtbEycYIhQW7ahCt-VoReBh5jLwJevFxW_IIZ_xFFeg2EYj5FnxeCuQ_4g_LTgJ8pBaBlo5u0xBjnsavp_Si6WAonM9skT7ynexbEFqTMrBYz3Nxs_t06YoqwEcrx9UvostLp5gRuBsf8DcWJDr67ReTRbAT7R8OLIX-h5ii5sDEfCqEMGLJJRjxXZmhkXJzz1w0GLWXAsDdUiOWdjcX5U2qHDWG_pP3LUPfRY-fBULW1t3_p-HOX2qPxpCF92__6Xe8DPCdmHP2ohEHeIf8Mj4y9Q21VPvRX7YVUAqjYBoZJo6fNbpnlGxpVTwfgAI3qQQPxRKXvOnmXBxurbxeeCBqGYPbH68ggf6mLlIuigUT63PcvP7h1m7HSRxAFsLplDe6bvYA9CVtFg0eJugQ1ypUUFpdgIc7dr9TZ8MmjNz3YnkJ_CXDzEnV4WMvSgTfn2I4wnt7_0kPQBtNCjhUZV4rKaPXlsdRlzXZxY7SlOJvpeNbP6jthLd_g-1h5ku3xbkLMUd2A8BSfQDAyMRa0yBsr11SIXhoi4McKDba44gV14XuL3Dky_S2NTL4k22uCFP7FqQ-Lod3v518wSAtH1ILsD9KDRzxGp4AbEXzFNoMJ9DejXRWyzA_aOpYiijUj7t_lcaPe98F-xlGoXajjm5yHwnWDOJF9cSQcJr_ddQK7BzoHoQg4tpIFdqWLedQ7wc0RRjYofmlc2HrahuR9bY4oWZP87KXQzMSMQQ-Dya_N3S4zgeU4eGw5chANKbzBcZ9CaPj5dMZtTSLZYqSNeV9X8u_OgHSsE1TZKIdn5SEaLrxUFfOuQxG9NHrWxOmsuojBlll-Y91ezHoWupTcMoLUfApLMO6TG_9N6RfcMBcJzSd7a7gL-oPWrtZIgGKvdp6vbJCN7S5BAqj_1DRWgJD5OheH4zdYCtoNNtaORpAaFY-MFuWylXx9uprnxxl9W0d6LMq4wciV60lqaQjg-CZxGSoqgZETPfQSuuj3eJgwP_DGrr_1L2TVv1_ZLM820eN3H7cWmuQ3tEC9axJa_hL5r7sDQ6AFGGmC3-VH4hwc6rCDymqNxvsnm4jjo8ZOFK55PAewONq3nspL5i_dDplr3YDINB1wd-IM0JG4PJtfVt5--4-SQ6CgaHOgR8PK2JnmKYDazPeIYZmkYmQkhyJmdWTrYrND_uKjdbk6c&reqid=anrR56uNwywCuVoc&type=CLICK&pos=1,1,-27%,Đã bán 5k+,dodungchobe
1,"Xe tròn tập đi cao cấp cho bé, khung xe kim loại chắc chắn - có kèm nhạc, đèn",306.000₫,https://tka.tiki.vn/pixel/pixel?data=KRnnA1nwp_gfKIIDlQDef_nZO95djoczTw5BfMDprOPlJjP0oerbKdTazPFcIdNHrG3Mt4Ii1EVbmS7gnQH288vUHobKDbh8pK2OripVohIMS3vjPPs2RazRzmk0Ew9D-dZegOj7XdE5y-mUNnEahG7sf5kCyXSF5tqJkRM0P_8ewiunMtdG_zW7eYs_F2nalxja1cW95qHZ1SFG0faP_b_tnksidnBJXRn0iKnEzQ8g35apqfeckmoKVUXfgX3dJuQFj8Ug4UeVSDCkNWIuasgtjYyn-uxIttFrhe5plEfN7vfJgk4LSHfDoVzGNlTz92YKmqOIa3VnBj16Ca0S6DZiCkzYf7NvzgbIeJvK_6bVUFOITXMTv49u_GmmI02v4QGpx6Pz9hOj9eRyrauQ4ghbPhc70qpz6U4OrzwAJb9_nAlFiXfK7ZdWOdNFAstigB47p53NNDiBZ_xtMz2LUjZiMHO21hHyzL8k8hYBQotU302v0E-7LmqUcU23swThGeCXSeeIDS71VSkrbWbu8cWJPHx9mHaoNTveRABs98cGE1jUxaOe7ijmdxdo0IdMaRvGSbV_hGLNt19Q6X9f6ExIodDerdFoA-O2kFqnewwE5lMHgBgnR9irb0zvetwA_iBzbLD9X8yv5OaCylq0v_3q214pEIuWxUXb-oUZVahC8ppNM5E4jRA2EosYS-JfHEHbLOS58Gcdm8ZoGIy2HckNlYeGiFVtK7mmTitYcVG6nxfeYgvdOxcx7-ImPGJ2jLZ-aic-2ZVs9c6wMunfEuWesm1ItWYHf6Fz4HE9AIHSJbfTRrVrtBU3ma1-lx4XPwpNVLh_7r16oY0knTo50Fd3VrqL_JtZjfWxt7lHGuAI0bggRTVDiaXQ_A6p7ZioojpJR1eKuFGvmdg2eKiY6XZRjAhBFhqr_S3pv8dRs8WAVemJ3hZ6tjgEm3-zybSs9zJdzvNSeP8fDNOauJTbneoip3pCytTAd1mhHFG6qBlm2NmrwTALodSUWJlnNTuRGwg7b492-SqRYWOLtniqnPx1J2PjSHMeUoKMkDznyp-1VxyBh5RxrMZxPczU925I0hrSySCjYP2vOP_AoYfnPcG_e5YJZFIvZef-ZjyWPrbMJ07v8FC539du7YBSpCtSYkpkn4iTYxQKwuHvqePyMSYGPU7XsIZlz3r7o-pst0cpDrlnWgaJnAxu0vEgicAMpngoeA&reqid=anrR56uNwywCuVoc&type=CLICK&pos=2,2,-41%,Đã bán 31,dodungchobe
2,Dung dịch súc rửa bình sữa & phụ kiện Pigeon 500ml/ 450ml túi thay thế,82.000₫,https://tka.tiki.vn/pixel/pixel?data=xmWX_qsCINDhu3R-5ZiC4CbT81AsOQjdQme4IKb-aBxxQluKyMGlM4jERxlZGCikc8Oyj337ScYs07mJ4RPDC9bHPrs7yLyP0Esl1Q_7AXHfdivhY4Ss3QxUBHZhQJzQkDaRFJs88MF0XOXnzQe4u37XQ0X_SbiCi8dYBWCvDGTOasd0akFsMp8vWKFZZAIT_tmuxHHrsxlTCXavADU52WfXOmg24sauScnajOxpzMzeI9--JQ1fQrxBQHvYAKzQu7gN-N4sIbENSCNjsj1XHWG0uL7FqOUU_kNoPif2WsQYr3u9vFjOLq05ehSjKjn7hTcWiE1g1iXQwX4gmqlYGAD4qb0SETIKeyLsnTmKyZbVccNBgfraZlG9uMT1N1nJKImitJkWlBAf8nU65rP1kqC4UMN_pb8ko0nvH_OiPxU885XzQPjkYaoOUyEGnAJM57iTcpjxF_LOijFeUnugUmbqnyEE53DNKzsl6-xfnKfaZkqYIExeAqqiSl__2YCORmnAi3A_1g9odJTt2K9gpwZ50PlXMrJ9XpIoCXqlUworRjoGQyRi-b-i78Rk3Jf9WdSWnNse_Tzd6XS17ueJAk92M09eirwaZp6GrOF3zocpb1GoDC6BI9g844zU1d0lgXPVXUDOWbb-b_IhLeczVTWjPOwywgTFsgNutFy47stzQbwGJ6H7tTLktn_S8gWjqypqJU-bJY37ooXlbiCKKc_JvlJ27ttgultqS32iY5sErpta1-vgxByH4xRTo84C4dCTD5b0nw-jx6eSRarbqE1CPrw-zSvpVW275S6Su6dqlredWDfzdV-Lw72hGul8iscbpKVshMQwNdd5wJTu0YddtXZGUOAVWaf3o7UF70J5DGP5pssqEUgMQgEMhMc3bikiFo5Y_qJvPwSBGLXF6ufX3IXnvdjKdZexW-eKyIgAk2gifEFf91CI9Vx2pdBq8ZbyK-qGuQP7Ajn13ReLHWRDfgZOgSPbW4XhzkQRtQ-KQmTDew3qm_Rw5148tActfI6bS2qY4GuL70C-E4psc6qK3tHxn8Gu6kTQv6emDRmHgTfom3S6qc59OlHm_QTyA_jEFs1YD3ha2DDgQ5CLumapIatI1EYXOPKY8gTKtOlJI4uPMtTAWB9xSuFaYnSVYHCWrWIBhk-yU1Vd8re5rZaFMdl3cQhWJUetH6k1hKqZFKJmin3HKC4qEQ1fj9MnGRPgzdMbKNICWJcdGPFeUWLALRi0vsZ2f8ATKJZg7CRdlStKRWgc4WBL&reqid=anrR56uNwywCuVoc&type=CLICK&pos=3,3,-20%,Đã bán 174,dodungchobe
3,"Xe đẩy cho bé - Xe đẩy em bé du lịch thông minh, gấp gọn đảo chiều siêu nhẹ XD918",431.000₫,https://tka.tiki.vn/pixel/pixel?data=yK6FjsluyW9Xna3NNaKTwUzBHqEybZbdBoodlFA7LkxFOWJVNcB8JJTNpxIsxv2a3tKkQ0gI5xv5x5M4qpMJiDv-O-URTJL6MVleVb-_Q9QkBs2m61cWWnQY6OdaX19VsWw22whdM-KV-hPwiGKoHR7PAFDmZUoPOmrrwNJIpWj-3JaSaz__zD1wzdDPRoRNtUdbvzkv-pah8b9m8dtDTJrM-0_8ySDTU43Fp7Vg5KJoE4CPHWnFhyTm9uvqJmZ7L4GXGoqxWVMDCZVgk-yR0iRLXskxr3zZoQ8O6TYNN2aQXVWz8W8zj7uG_ThM8eT_47KZ4L-7gsutwvOzwEftEvCWOdo4Oz2CSIHINXhijkfEhQwqJYt9CRLsBL7VZYO0Te039ePZWNrrr-yEvLPXomzTzjaaByJ7XCKu0dITP6Qg8GkQwIo4Bd4gx4oEqI6Cot-crCSOc1ioK1tZ0o-xXalNus2PqI1yPAzM-5SVatmDKZkUiUkMaMPUp3uKCOgbE3hG0eBRtMwIy5xs9zbotWunxEfYwwHCeBguSbKJWm3PF4oFzG4zYoiMk9pcYpcORLvU0vWjrQoFgSFbEBcuFvQYVyQqmPtqhSLP3YsJi82bv6yTV3L8gctWV9mFaPJpcPQ-ADN68ayJ95LTkfz5uqSofeMya2WPSZVO8pdcLGCbNQvo6xFC1wf1p3-RIp1pyWc-a_unKCmR_KfnscRj66KAcS9ASMYePonS3J10DaU3GVhr7asGO7bh0WmAAL_54MVa9M5497m232clRovjmwp-5X7_n5qQ29qiRf_0hRZykK976jkDVSwL8-mp13M51LJlSHN97qBiPJvNLkxTNhRAIackFFdSqLMZRkkFd9XsBuhjGr5Ys79RYpnK7Y3PyheamqAYJT6l69IMjdQyNdqGYWh53RWlJSc7v7eqB6Sl4shvKxv9oLWylyusLWOP0w-xp-3_8EzEuqCG-InMuTfNhXKe9QgG31jdqVgc83ncBxKA_EoiFk-n6n1Koy7md42baEnwp6L9DMDUz9i4wUwA30KQpV4PI4YxnQ4izonCSMDy0UVlPMoFbC5HagvJw3v4WCwnZWkPQVexHabbLYaPKGVjOkSyGW6MWbdFeqeDnR0-5qCSnR7S3TgE55prjcIUG1LFr2B-DyoyhcDH0yUz_t_Z0zyGORD0a1cFOImJN42d-rORLYjtBvk-w_3G&reqid=anrR56uNwywCuVoc&type=CLICK&pos=4,4,-26%,Đã bán 38,dodungchobe
4,Đai đi xe máy cho bé cao cấp Chính Hãng Vinanoi,120.000₫,https://tka.tiki.vn/pixel/pixel?data=mNm5AFErNtGCoKAZE_mdfiuvKEMI0OIuKzb9HUlWfeyINhv_eReTN19v6UPHvs-3QDkQao0p2R4-M-p1R_Nwtn4HTdmYptmGqrwuumslyljTBNtp_IQOXSz903M892h7u-W5tZAJpyaG-ltMVFhuFNLGmn6LZOW9MRReoBjDFoO1NG6KO5Ur74pw-LTmAqCorH3eP9aqh8yYA2hJgCVOmPiGo_Lpz3To6QhTgzh36cIewkKHymDQp6J67qtxopXM46fr1MZBO96lor7VcFOkn-lD7GV5bnIfPi0YscJOAUXRJ287qlwpegtyda8stwYCzOGU8b3576A9fgK43b9gX9-owqyR5WjIyjk4nN57TH0oG-p3gs1GRlpYFxsqIXE-cfmyAC0Fd9ZmR0QnNAy5LlHBIDA7uezFFddyEihVgSpkakwq-M_4eGhxgM1-9rAjgBnusc_mOcyntApDksSPQWEHebkWkvt0tcRghB-o9jA6Z3sBrX3dtgxZYAiVGm94qvo2LD_YyXAoiQS9mbOe7KFNplTlppyr0iHrdZTJycRKtXZY4bDKzi2EsiKBKiuF-jRcagI-l_I6y-co3QoG9YytJWueDIjUEorqYAdlO65u4uafnEq8vHIKaT4sf0rB5cex5WmXrsLl2bbaXDOTDXQV3w6rNIZMHw4Y2LDZ6lpbZ1vZS2RnOMWWn3CCJAJbDsu6ElHp92u7iWuZF6hytySedS1UXB9EIVY-AcEHgRD9MwYzfWu-ij1UnTQH317FQlRA6aZEZBZQ88gA6hYjmUp9q8MuNxNv2RLOmnf3EPmB6WRhofVjEiTglhXbe0KAbX1szT2V85xChEJ60BXuusPYrvFCZkb5Ki4NlgMiv_kPvOYiWaazhrqlLNBVxI00SDg_JKpKevsrQfNXL9G7oWvSMZlRZ11x0aZGjMhJH-heicWysDM4qeIImH8bkASOWODncHOfC6B-Aj71p64HZPx79azRf_xu0EfTS9fzfqccoV5GfE1va4hexShbDCCkM41fMHOZGXvd8LRxQAl8DdWRuDOH4aFMsGi5FeU4hRSxL8BrKBJ62pSHBJmc62TNnhkfyrFI0TdvjsUH5M4sdlCaBdgojTbs4x43mYBuf4QlDoQXj1K_x3qkCuSMa_kbEnGxUKf-Yi5gzrg8IZVnkh2M9DTGC2txe3LRMTCsb_E&reqid=anrR56uNwywCuVoc&type=CLICK&pos=5,5,-4%,Đã bán 24,dodungchobe
5,xe tròn tập đi AA1 cho bé- Song Long,212.000₫,https://tiki.vn/xe-tron-tap-di-aa1-cho-be-song-long-p44192455.html?spid=44192457,6,-29%,Đã bán 333,dodungchobe
6,Cây súc rửa bình sữa và núm vú Pigeon - Tay xoay hai chiều/một chiều (HSD:08/2024),54.000₫,https://tiki.vn/cay-suc-rua-binh-sua-va-num-vu-pigeon-tay-xoay-hai-chieu-mot-chieu-p104159464.html?spid=104159468,7,-22%,Đã bán 384,dodungchobe
7,Cuộn 2m Mút Xốp Bọc Cạnh Bàn Ghế Giường Tủ Bảo Vệ An Toàn Cho Bé,65.000₫,https://tiki.vn/cuon-2m-mut-xop-boc-canh-ban-ghe-giuong-tu-bao-ve-an-toan-cho-be-p197329427.html?spid=197329429,8,-20%,Đã bán 704,dodungchobe
8,Combo 3 Chai Nước Hoa Cho Bé Johnson's Baby Cologne Hương Phấn Hoa Power Mist Baby Cologne 125ml,189.000₫,https://tiki.vn/combo-3-chai-nuoc-hoa-cho-be-johnson-s-baby-cologne-huong-phan-hoa-power-mist-baby-cologne-125ml-p215122578.html?spid=273546306,9,-15%,,dodungchobe
9,"Bình rửa mũi cho trẻ Dr.Green Kids, kèm 30 gói muối rửa mũi, dung tích 180ml, đầu rửa silicon mềm mại, phù hợp rửa mũi với trẻ em",179.000₫,https://tiki.vn/binh-rua-mui-cho-tre-dr-green-kids-kem-30-goi-muoi-rua-mui-dung-tich-180ml-dau-rua-silicon-mem-mai-phu-hop-rua-mui-voi-tre-em-p56433290.html?spid=56433291,10,-14%,Đã bán 426,dodungchobe
