,title,price,link_item,discount,sales,category,revenue
0,Quần lót nữ không đường may iBasic V188,75000,https://tka.tiki.vn/pixel/pixel?data=SQgHQ2IugvcdvbxhtJiKo8_m4sjV27Jep2O8jbTRL0E7im8MzjXoJyY72XcLX5wIR8Op8W8ssNU1jl-jcbeG7fgxlggV5SoSy242ClGTwPsAFN3Bl4C3IvtPzfbfxrvwOZCl_EZy7VzHMHZXUTVH17GfnWVmeQlzpPjtB0G0K2wYPArKAN9EVdA0qzDgrv64wQGT6xbOijbeSpc9bw5vYhwimGtRbiEPQ4hwzzCtGLBvcdW0lWxcrgLb2qRwalZR-1Ge34t7df2qV3ucmslt5z3Bh8VlTsnw1kWlM9EJl1AlIa5GA9KxrHOe1EtIywlslRLLaQ-m8ntFQ2c6HKjJnRyMazMJ3NKRrlqNXjq7WyuzPTODBKPXe5gblghsQpe-lCyR7oD-7WmJ4jcSWZOVrVZ3Vik12nYU1RfigOEUrrQjsdeE61V5Z2Ps1mKHKPz-SRrYzw2p4g--FzlJPl_UZUvUfFA3OOD8LGT81WwBhYppyHjAYF-przfxtmSawbmRFZRouYxa3Jn_qPu6Z34OuK9jx35Qy0tVJ4r571wskFG-d0nYLkak2-be_YgTvyS8cwTNxnLSHtR0GtWV3thK7mwuT0utaTb1NJwluBmTcMN-0vjBKhPwIbPsJcFKeahGWnjVCuWxHuj4yPxitwdiQmXSx715gpP7j_OW1d0rRoggWOI5xSOYfvH_5ocS0Kg2M7KWrEm5egVFLMgPc1AP_cRcdLbKBrYeHA_PzjlEtADBw5TyeHnJbEVT66QSJHdo8X2HBtbvE5nWDaTpJDdai7DxEuses5vtXuzWj8QnM2uzSwothIO7cCB4n0SXFya72mwLewm4Wop-dlZOgKTnsYCTjb2tlxSPxxfXyTE8iy-lAVprOOlfQONAMw3dzwbgP65eAhfni7cxN3C4WvMl9QbmgtOQYgLmCltUSQd7U1X_TXUYDdUwb_1qr5CmdD-4uqosiYWh8gTPyC9Jlo8j20s9_5zhXchDuWa6vx8b_N02I1Vy_unSi6kNHkA4vGe2TApr0MHLu3C6200piQNzgGZ1Pp_21boErmG6FiFxGwJzc3vPtCufVOgfBIPR&reqid=xZlezvWrqwtZhXZL&type=CLICK&pos=1,-16%,385.0,dolotnu,28875000.0
1,[MUA 2 TẶNG 1] Pack 3 quần lót nữ không đường may iBasic V188,178000,https://tka.tiki.vn/pixel/pixel?data=63FvNXYts7ItkQsxTncIKDAs97l2F5E7CLtKVoHWVoVShIfHnMHvzxRfR_P_JMsu9I7P-rFlKdrqJQayr7b14qWg0x485z_NkPDdwj0u39krT86FYC7wf73BR6s256eakEpBjkfTtv0iTC0ilfkbIO-TB6BfQ2fuEGvaDtCaNFKjECSxZLSyizbEbFD2V8qeYeKj1-dckBM_jMxvxHfCg-ftW-14HArykIqeJWdoDj42JxmhMPRL9l_KBVEuHZg8JnJ8T3lJyhDWE4sF8M8ZPhTTiFIn8tMzT9BNChcUSnt340kurQ_MiyifvXeF5XeFWcxU7D1LQzC11FPoLJ5zH6RTazUK80dNC3zDLIQ5R0O1rjzdUooSkN-15fGh2Sw371RDkOhcOdPDq2GkiOcpWA-DNkEZkHClIwnzdpornlu7T1bL-Notih3qKP_tV4u1zAdh021h1Z61AFwGGpy_5oKrq3rtWpaQbB8WrnZx8vQVE-g2_hKhecQQvOs9elVpb5EWX3kO2kq4SdVnYYnKbEFm8HclwbLm4M4kkXoMqQ-QIG6SpvDNeu8dddcZEzkeUqwF-APtBgSOC7sNSCQSN1NA96Fj5drei5EppDr66ms4LTMNYK62yWu9970am3d2-hND51wd21V1AJ7IGuUb_OgOIkJcIb0TGyRcq_Dh1YrvOyUKysqUCe9v1gMkQ9JL0HUSN5DjLj8OsAyLDZEeXgGWbCt3kxGAEr3IwHkF6AtrfF5zLDonwr53PSLfMDadn3JSPXhysX4IU8B6EUqlVIJoTBWGDRM97TXTfrRtc02lb_unXDRy6YAkV9I6Mco7mpdxJdzceeVUeNYDjQX_lKcIkngnCic5cJFKLvzogxeT-uCV3mhiIp7Vlp7UcM40q6whT5hYTlfY58NO-QeIs3yy0-2LZu86SzGAQb1JWDUqYliFMJd0LiXTwLdYR2r477pd9EdgsONPhJL2QtMVxVGk2cbY93-J7oIpy_HW34xd5byo52HkUX0M83DbetXyvs0K7_k6xQdh4M-o6Uq9t6p4fkkO9pkHm6Zl34di9ENBePpDYS6DFusVWxtmlFKgtsqywBoeLu_4WKPbkMF8XvM1qKjg&reqid=xZlezvWrqwtZhXZL&type=CLICK&pos=2,-33%,18.0,dolotnu,3204000.0
2,Quần lót nữ không đường may iBasic V189,75000,https://tka.tiki.vn/pixel/pixel?data=KjyISf13dcWRoTS6OqSfuSQdW652y-Nd0ywEWibNWfM-i-KDJOnU5UVybdnua-_ZPnwPtRmyCOq7kOW2ZYP5PE0JSqFY9ADCnNyV3d4so9tfhPtl2Rp7SPpcn2D0iQ9ae8ovl-aPdMmPN0EvYkU65-humxnjiXDl4wQKob_VcYmZ0PCSmMwLCvJNVJ8dqlTpLCQ4evQobiB6COuL5d8cqmr2u533Y4p5uOe_61crtV0lmEcvhLYYrolEDemJeXDMZB5E_ESsTGDaidAw8ALarTv3n7ggMwTLgZKNkjkftv9iGUOxjdIOtm939Cg3HXzWuzX6z3VO_-TWRXTxbZ8fcucBvRiwRNTO08OkfBeLSdfF2tr7jMKc2E5fiLNrl8VDJcy7G6-9u3y2eQUTVcxTkcDZg3EUg-GXz_ijg9gUnNrIWXRRY2Z3G3kwm2raKtlvNY2uZT_aGNUxUVDkWyCbjMXWJZvMH0P0nynjAMgQOMnzcgBLlJnnaCub-V607R2icdUWJBGtf-nYFgWt6d7WPQih8-ytkn5q_4oPLquQyE7WrEFxQnq3eGq_6ni4pEj0uZVKJpIslz4pnao-tDew8oFYIH5NGKVBVCQo6UrBz0sxt5dJP533nB3qDnFeoMEYZdcbNpZbqn9ITMezruBVhQ9X-2jaQZ7dZIjGJSG_Ch47u8GtoHcCMTQYdBISRdPI6qruuLNwz4Q8RtgkDIG2BLd1e6hPSRaW6e21Xg24gcfYCQ07cRJNIeevj2_w_3Jx8ky08jNCmYYc9iWTEM8AJZvoEDd95yZ958fW2Mtx9nbYfoxJZhTmjsrEW9qbA8PTfLwl_FEbxzWS_p5-wSjEr7gx0ZK1BXfpr3tUD3l-WDxoVg-JHlPmxayQ2FMyPvBnbI0ZaVcx9nlpV4u1WhXNrBLM_-BPo4VbRFbqKUjJGzH7E-n3yK4B_-2cQS78DjhUTwa9hNlh7QzZB0BlLcdIaCui_BD6Twm0XFWp4Dw0iwtDohU3utZC3uU5E_MKAfSfrNe8HIbR7KR9XeJNfJdv7W4aSYTEWI-xdbG-o0yvl6a3Ny17wVkrmcgL-JsE&reqid=xZlezvWrqwtZhXZL&type=CLICK&pos=3,-16%,650.0,dolotnu,48750000.0
3,Quần lót nữ cotton mặc váy iBasic V107,59000,https://tka.tiki.vn/pixel/pixel?data=mfyW3CQ_Pv3ZS9lCVxEg-qFIuA0S2TgoIZfs64AINwJi7OzofI3Bxb7HjmDeFLb7N0ZtsuQmq7KTCkxGOMb2iRpIPmsxZ0_tmGaoEbu1BMxoZre9SgeV_m36pP4gtu1G22eP6pEN6OTtVAnBswXSDR6JSFHi-NV2_CH2TwZCa-yYR-BcPj7nG4AIfZKv1yDOks6M1mh11jvBYqqdEecGIdvV0Nn5K3bjnNCM8c5Q8HrvDlg9GEPKVnygBc0G7oCUutPugaxiMRbQFKtLIp0gSuhSVUsY9n_ZrnfV19mh8D9MsLsbCTfjsF2ui-G494t03pDj7PQ6Pyiz9BlN1PmOpe1nRruZRyUh12gltC5gvkMjacsZhx9NrvmA9vJgLKWua8cWlHhQ9Fy1bXpJToL06JcboWerERY6iEqdDEcVrFoSSZ3FykLiDcKqII04zWC1ikHRUD1WE8VhIh2WFNgJXDfUfdEnqtW7JWQRBAc2PM2OFrfoWWoOLUu2T08wfGa7IQH_7BhBYhxYmFU-_Zmnt-Gl7z1Sdjtqs52RPuwsfJgPJMrn_7v9zshxqM0yY87gDEQLf3leWzymWe8RPeF2g6Y_CwjvLDJazddMpzOy6wlKB7lAwV7jxn168VyUOUuLhjOXFTutbEhIhcVgRjiAvY3T-JM7T-hl7hZI_RWJsB3TShZwv-Xbvv5z1syaQrlUDadc0g1TP0cl6JgXXnJkVwpWgMDCTIn9R0m7vvz-SAjG02EeL2jw40iNkVZivjIooVPkmB-ubRtq2MrmKwwn66IBO7XPC5uGjlIAZ-3p_uT4Wk9nmo3HoyUBx2gdc8gKhDOagVDJSdifQIQ_lxosUszxo-D9R1BMQBGFwEn3CAv40Qmcz2FtdmNIGIsVaEZiJrP7v2-kE8bAwaQHh2Qwt-QmP14CDh0JwxGofKgv3z5Pf2T28HgkJOMy9TOQljlwSy9k7kUk-mC4W9S_d-UMI_b_pNAtOiahdy_7Tpnc8MmPYkQNO04HdwERTbOyxKcaI23UqqZJSMyYOTGElPU70LP6WG5ukzbDuaX0xm8Ij_jb&reqid=xZlezvWrqwtZhXZL&type=CLICK&pos=4,-14%,197.0,dolotnu,11623000.0
4,Quần lót nữ không đường may iBasic V109,119000,https://tka.tiki.vn/pixel/pixel?data=Q-_4AwSstwaNy1FQofi7anME4r8LWEHzGkkvZMQScWBvNteGayB_ioHeqA0UfCsbfb97t2P8fg-Hy-MPDG9UrxcexZNbLRKgQIAsuOcFd4xrVxTU5WcoMhYtRsKkAyDhe3aI1F-hDoFzr7rBjNEOw-ie89HbdnuWQGKIoWFbaNDQ-GEDQufMCMCf-13O-Bht15I9NIopBBSYTXcrquDjwL170MmMgA5ZU1vRpfvITj3b20eAb-otqT00kiDVc1kDmzNQaXEDPg0RQIqVmjSJ0v44uqYJdbJvmoXHzp_YeaTRv_po6L5INIqyP_6BUZRoNp-nDR0qZ1KxwzGarwgpqT49hAHxCG-qaEcFdLP6QDOTTFOz8Lq3yXLlGjINhuBBgQO7Dgnf6f08wDrBE3c93hvAKTRcwIdCmQUyAbH4Bojn16JrInGUhm6IbABmim2E6L8vjrEO90_kf5vnWN1x5fojI-TiJm8uEunOIQu9prSyZd1Dobsp5vrQjCI7jdwxA_23yanDimNQweejZ0NPUmP9lFNC0ssYaMKEIKNxKrsYrbvMshWD_cCHrjSaeyTVdcO6LUh_rSobHzQPjRjz5dfKU7UTtjsanevk3Ranpkd5Pzg_i4ZG5wKxq1zQRsYdg4BTG_nwboakKX6tDckvsfhxLqlTWLnY9WLH52hh7NrWb6_rwgkwyDGB6yfok131bAu7vdpJbVbrHJ6okn70nPWkPKTZr62krPFYPhA0RNlTbfqRkojSGpNfPhzkrn4Ae3V9-eF1MZp-6N7Tm-uhG_56xlsYEUQYs26coQKpKlPF8XDBA5EMk_EEc_TsOuTulz6xEbvYtDbKuQXvBmlaXy8ZLGR-oaEqcIZZSdCcMxAD_OT0pqnDzgiepCHbH9tbsEXCX9C2lQercWuv18SDK9Z6S7aUhDKM2_eAsqY8XRpkwJ0pnMbQp77yehhnbP-UFvH5BR-x7jys5_YwOdEdpYcRrKU366z_3nCiM2D1XqnP0RNNvGQgukmxCoEEG4oF8_JHLTJfFFuO2MdGDptsQZTmRAMg4db22M8GYXbpfk9dlG6GOPTN7UFjlyShirw&reqid=xZlezvWrqwtZhXZL&type=CLICK&pos=5,-25%,62.0,dolotnu,7378000.0
5,"Dây áo ngực, áo lót trong suốt- Hàng Chính Hãng",20240,https://tiki.vn/day-ao-nguc-ao-lot-trong-suot-hang-chinh-hang-p252131124.html?spid=252131126,-8%,761.0,dolotnu,15402640.0
6,BỘ 5 QUẦN LÓT LỤA LẠNH FABIC CẠP CAO KHÁNG KHUẨN KHÔNG LỘ VIỀN CAO CẤP thương hiệu BAW QLN16,175000,https://tiki.vn/bo-5-quan-lot-lua-lanh-fabic-cap-cao-khang-khuan-khong-lo-vien-cao-cap-thuong-hieu-baw-qln16-p82700818.html?spid=82700822,-12%,1600.0,dolotnu,280000000.0
7,"Quần Lót Nữ, Bộ 5 Quần Lót Nữ Cotton Mềm Mịn, Quần Lót Nữ Kháng Khuẩn, Quần Lót Nữ Co Giãn Tốt Thương Hiệu Baw Mã QLN03000",114000,https://tiki.vn/quan-lot-nu-bo-5-quan-lot-nu-cotton-mem-min-quan-lot-nu-khang-khuan-quan-lot-nu-co-gian-tot-thuong-hieu-baw-ma-qln03000-p111058227.html?spid=111058229,-12%,87.0,dolotnu,9918000.0
8,"Miếng Dán Ngực Silicon siêu chắc chắn ,tiện lợi cho phái đẹp - giao màu ngẫu nhiên - Hàng chính hãng",11000,https://tiki.vn/mieng-dan-nguc-silicon-sieu-chac-chan-tien-loi-cho-phai-dep-giao-mau-ngau-nhien-hang-chinh-hang-p183058686.html?spid=183058689,-31%,1300.0,dolotnu,14300000.0
9,"Áo Lót Đúc Su Siêu Nâng Ngực Tạo Khe Quyến Rũ, Áo Lót Su Không Gọng Không Đường May Thương Hiệu BAW Mã AN36",78000,https://tiki.vn/ao-lot-duc-su-sieu-nang-nguc-tao-khe-quyen-ru-ao-lot-su-khong-gong-khong-duong-may-thuong-hieu-baw-ma-an36-p97685241.html?spid=97685276,-51%,332.0,dolotnu,25896000.0
